TransactionLineId,TransactionId,ProductId,Quantity,UnitPriceEUR,LineDiscountPct,NetAmountEUR
TL000000061,TR00001234,PR00528,1.0,67.66,0.0253,65.95
TL000000062,TR00000144,PR00061,1.0,115.72,0.1352,100.08
TL000000063,TR00000211,PR00091,3.0,80.18,0.1125,213.49
TL000000064,TR00001006,PR00586,3.0,44.24,0.1003,119.4
TL000000065,TR00000050,PR00050,0.5,109.46,0.0287,53.16
TL000000066,TR00000393,PR00548,2.0,56.55,0.001,113.0
TL000000067,TR00000598,PR00201,2.0,88.83,0.1257,155.33
TL000000068,TR00000519,PR00207,3.0,6.25,0.0773,17.29
TL000000069,TR00000655,PR00382,5.26,102.22,0.0341,519.35
TL000000070,TR00000113,PR00276,7.73,3.25,0.0105,24.89
TL000000071,TR00000686,PR00521,5.0,95.7,0.0286,464.83
TL000000072,TR00000664,PR00208,2.0,112.55,0.1026,202.02
TL000000073,TR00000644,PR00463,2.0,64.02,0.0225,125.17
TL000000074,TR00000801,PR00454,3.0,36.45,0.0765,100.98
TL000000075,TR00000564,PR00500,5.0,109.24,0.1068,487.84
TL000000076,TR00001154,PR00094,0.53,40.04,0.0755,19.62
TL000000077,TR00000234,PR00513,3.05,37.16,0.076,104.73
TL000000078,TR00000944,PR00397,3.0,11.54,0.0391,33.25
TL000000079,TR00001202,PR00056,3.0,90.69,0.1183,239.88
TL000000080,TR00001347,PR00487,5.0,33.73,0.0986,152.04
TL000000081,TR00000362,PR00584,5.0,71.71,0.0174,352.3
TL000000082,TR00001400,PR00444,1.5,61.39,0.107,82.23
TL000000083,TR00000693,PR00560,1.0,65.89,0.1322,57.18
TL000000084,TR00000142,PR00148,4.0,60.38,0.1039,216.43
TL000000085,TR00001272,PR00249,5.38,105.55,0.1448,485.63
TL000000086,TR00001195,PR00194,1.21,6.22,0.0709,6.99
TL000000087,TR00000972,PR00299,2.0,86.44,0.1422,148.3
TL000000088,TR00000339,PR00444,0.84,67.35,0.0064,56.22
TL000000089,TR00000929,PR00161,2.0,71.4,0.0033,142.32
TL000000090,TR00000016,PR00549,4.0,98.7,0.0743,365.45
TL000000091,TR00000588,PR00345,9.58,97.51,0.0863,853.53
TL000000092,TR00001025,PR00520,6.4,103.5,0.045,632.57
TL000000093,TR00000401,PR00206,4.0,3.55,0.0648,13.27
TL000000094,TR00000983,PR00461,2.06,74.65,0.1423,131.89
TL000000095,TR00000615,PR00065,3.0,88.77,0.0588,250.66
TL000000096,TR00001218,PR00295,7.6,49.38,0.1427,321.75
TL000000097,TR00001245,PR00131,15.36,78.08,0.05,1139.34
TL000000098,TR00000802,PR00176,6.0,23.72,0.1476,121.33
TL000000099,TR00000709,PR00508,3.26,60.27,0.1499,167.03
TL000000100,TR00000895,PR00243,4.55,65.93,0.0952,271.41
TL000000101,TR00000047,PR00349,6.4,77.85,0.1339,431.53
TL000000102,TR00000743,PR00187,1.0,20.31,0.1293,17.68
TL000000103,TR00000232,PR00542,5.0,85.19,0.0553,402.38
TL000000104,TR00001078,PR00149,7.02,89.78,0.0423,603.63
TL000000105,TR00001063,PR00223,7.0,102.24,0.0788,659.25
TL000000106,TR00000288,PR00190,1.0,73.36,0.0911,66.67
TL000000107,TR00000566,PR00124,7.16,67.91,0.1467,414.9
TL000000108,TR00000931,PR00267,3.67,47.61,0.0337,168.84
TL000000109,TR00000038,PR00366,1.97,75.37,0.0655,138.76
TL000000110,TR00000740,PR00342,6.39,55.81,0.0464,340.08
TL000000111,TR00000319,PR00303,3.0,86.28,0.1238,226.8
TL000000112,TR00000319,PR00091,4.0,78.79,0.0338,304.53
TL000000113,TR00000630,PR00200,9.98,33.23,0.1154,293.34
TL000000114,TR00001128,PR00434,4.0,10.14,0.0954,36.7
TL000000115,TR00001062,PR00201,6.0,88.95,0.0353,514.85
TL000000116,TR00001210,PR00244,4.0,50.85,0.0464,193.97
TL000000117,TR00000031,PR00263,7.0,27.46,0.1167,169.77
TL000000118,TR00001079,PR00565,2.0,81.9,0.0182,160.81
TL000000119,TR00000772,PR00035,2.0,28.03,0.0119,55.39
TL000000120,TR00001293,PR00230,3.0,58.99,0.1236,155.1
TL000000121,TR00001002,PR00195,6.09,29.63,0.0357,174.02
TL000000122,TR00001135,PR00107,3.83,88.65,0.116,300.14
TL000000123,TR00000288,PR00088,3.8,90.07,0.1391,294.67
TL000000124,TR00000865,PR00435,1.0,27.69,0.0611,26.0
TL000000125,TR00000511,PR00410,2.0,73.16,0.0796,134.68
TL000000126,TR00001015,PR00265,2.75,38.34,0.128,91.95
TL000000127,TR00000151,PR00259,4.86,45.76,0.1292,193.66
TL000000128,TR00001367,PR00110,1.0,51.96,0.0891,47.33
TL000000129,TR00001349,PR00572,3.9,34.81,0.1318,117.88
TL000000130,TR00001149,PR00183,1.0,46.42,0.0345,44.82
TL000000131,TR00000820,PR00417,6.0,61.75,0.025,361.26
TL000000132,TR00000593,PR00197,1.0,23.49,0.0981,21.19
TL000000133,TR00000266,PR00180,2.86,14.67,0.0417,40.21
TL000000134,TR00001190,PR00514,8.0,49.47,0.1125,351.22
TL000000135,TR00000197,PR00264,2.41,15.73,0.1292,33.02
TL000000136,TR00000333,PR00374,4.76,71.77,0.0336,330.15
TL000000137,TR00001329,PR00591,6.0,42.83,0.0655,240.14
TL000000138,TR00000307,PR00470,1.25,103.38,0.1482,110.07
TL000000139,TR00000276,PR00303,1.0,110.87,0.0932,100.54
TL000000140,TR00000453,PR00230,4.0,75.05,0.1143,265.91
TL000000141,TR00001331,PR00239,3.0,12.8,0.0576,36.19
TL000000142,TR00001031,PR00219,2.0,6.58,0.0416,12.61
TL000000143,TR00000523,PR00545,1.0,1.6,0.0624,1.5
TL000000144,TR00000558,PR00369,11.18,82.96,0.0781,855.04
TL000000145,TR00000013,PR00121,3.0,9.72,0.0492,27.73
TL000000146,TR00001039,PR00522,7.0,93.73,0.0707,609.76
TL000000147,TR00000523,PR00228,3.0,47.67,0.122,125.57
TL000000148,TR00000632,PR00164,7.0,41.47,0.1385,250.1
TL000000149,TR00001343,PR00236,1.0,98.8,0.0113,97.69
TL000000150,TR00000415,PR00508,1.09,44.68,0.1411,41.83
TL000000151,TR00001253,PR00216,4.0,89.41,0.0899,325.49
TL000000152,TR00000728,PR00016,2.0,19.67,0.0902,35.79
TL000000153,TR00000829,PR00270,2.0,85.25,0.0678,158.95
TL000000154,TR00001295,PR00004,3.0,16.79,0.0517,47.76
TL000000155,TR00001239,PR00304,3.99,27.94,0.001,111.35
TL000000156,TR00000486,PR00395,2.05,43.9,0.0093,89.16
TL000000157,TR00000465,PR00585,1.0,68.68,0.1422,58.92
TL000000158,TR00001169,PR00536,1.72,74.89,0.0268,125.35
TL000000159,TR00000256,PR00534,3.0,15.02,0.0469,42.95
TL000000160,TR00000872,PR00418,9.45,9.27,0.0344,84.59
TL000000161,TR00001257,PR00258,5.0,96.61,0.013,476.79
TL000000162,TR00000260,PR00072,6.0,69.49,0.0317,403.72
TL000000163,TR00000292,PR00499,2.0,35.04,0.0296,68.0
TL000000164,TR00000058,PR00238,1.39,59.76,0.0495,78.96
TL000000165,TR00000538,PR00045,3.73,63.96,0.1082,212.75
TL000000166,TR00000960,PR00396,7.0,100.65,0.0696,655.54
TL000000167,TR00000931,PR00180,2.06,14.47,0.0667,27.83
TL000000168,TR00000960,PR00409,4.0,108.63,0.128,378.9
TL000000169,TR00001048,PR00409,9.0,116.65,0.0141,1035.09
TL000000170,TR00000895,PR00558,1.0,32.95,0.072,30.57
TL000000171,TR00000099,PR00457,8.0,61.02,0.0927,442.9
TL000000172,TR00000382,PR00336,0.5,96.64,0.12,42.52
TL000000173,TR00001033,PR00335,4.0,85.38,0.0359,329.26
TL000000174,TR00000305,PR00012,4.0,35.8,0.0055,142.42
TL000000175,TR00000261,PR00118,4.44,76.46,0.1296,295.45
TL000000176,TR00001262,PR00317,3.0,61.75,0.0986,166.99
TL000000177,TR00000091,PR00326,9.0,17.68,0.1322,138.09
TL000000178,TR00000515,PR00390,4.1,10.48,0.0907,39.08
TL000000179,TR00000066,PR00261,5.0,71.42,0.1266,311.91
TL000000180,TR00000044,PR00225,4.62,78.9,0.0428,348.91
TL000000181,TR00000295,PR00492,6.0,22.53,0.1181,119.2
TL000000182,TR00001192,PR00383,1.0,75.48,0.0151,74.34
TL000000183,TR00000386,PR00398,3.0,50.18,0.1322,130.62
TL000000184,TR00000130,PR00173,5.0,49.18,0.0679,229.19
TL000000185,TR00000699,PR00245,5.33,9.85,0.1426,44.99
TL000000186,TR00000008,PR00484,9.28,48.01,0.0044,443.61
TL000000187,TR00001304,PR00190,1.0,80.48,0.046,76.77
TL000000188,TR00001253,PR00354,4.36,43.38,0.1039,169.48
TL000000189,TR00000585,PR00112,5.0,99.33,0.0257,483.89
TL000000190,TR00000063,PR00446,3.0,9.32,0.0999,25.15
TL000000191,TR00001244,PR00372,4.0,30.81,0.0433,117.9
TL000000192,TR00000801,PR00570,2.43,77.92,0.0268,184.28
TL000000193,TR00000720,PR00190,2.0,78.2,0.0688,145.64
TL000000194,TR00001154,PR00459,9.0,44.75,0.0793,370.78
TL000000195,TR00000263,PR00156,6.0,10.99,0.0869,60.19
TL000000196,TR00001161,PR00107,1.57,109.05,0.0372,164.84
TL000000197,TR00000193,PR00578,10.0,88.68,0.1086,790.48
TL000000198,TR00000245,PR00298,2.0,17.98,0.0442,34.36
TL000000199,TR00000235,PR00184,8.0,46.5,0.0439,355.7
TL000000200,TR00000615,PR00513,1.29,36.54,0.091,42.85
TL000000201,TR00000431,PR00533,4.0,40.42,0.1026,145.08
TL000000202,TR00000230,PR00312,3.2,47.17,0.147,128.75
TL000000203,TR00000492,PR00425,2.0,34.78,0.0603,65.37
TL000000204,TR00000365,PR00574,9.0,52.72,0.0105,469.5
TL000000205,TR00000736,PR00021,3.52,62.12,0.0289,212.35
TL000000206,TR00000417,PR00524,2.0,68.18,0.1027,122.36
TL000000207,TR00000722,PR00519,5.0,32.69,0.0349,157.76
TL000000208,TR00000086,PR00392,3.0,57.01,0.1012,153.72
TL000000209,TR00001116,PR00013,3.48,73.54,0.0378,246.22
TL000000210,TR00001173,PR00583,1.22,61.99,0.1404,65.01
TL000000211,TR00001352,PR00278,3.0,57.21,0.0442,164.04
TL000000212,TR00000530,PR00511,1.0,15.11,0.1227,13.26
TL000000213,TR00001326,PR00538,5.65,8.39,0.0308,45.97
TL000000214,TR00000642,PR00373,2.84,65.98,0.1069,167.36
TL000000215,TR00000956,PR00138,1.82,83.3,0.0755,140.15
TL000000216,TR00000625,PR00124,1.65,64.97,0.0834,98.26
TL000000217,TR00000845,PR00224,6.58,31.14,0.0087,203.1
TL000000218,TR00001338,PR00457,9.0,55.2,0.0495,472.21
TL000000219,TR00000262,PR00424,2.0,32.65,0.0626,61.22
TL000000220,TR00000383,PR00105,5.04,16.24,0.0029,81.61
TL000000221,TR00000052,PR00585,5.0,80.48,0.113,356.92
TL000000222,TR00000956,PR00483,4.0,37.17,0.0784,137.01
TL000000223,TR00000815,PR00011,1.0,89.7,0.1223,78.73
TL000000224,TR00001280,PR00369,1.3,95.45,0.0097,122.88
TL000000225,TR00000864,PR00577,5.0,89.31,0.0367,430.16
TL000000226,TR00000967,PR00520,4.58,94.01,0.1435,368.8
TL000000227,TR00000055,PR00457,1.0,66.97,0.1271,58.46
TL000000228,TR00000496,PR00195,1.27,33.19,0.1108,37.49
TL000000229,TR00001124,PR00478,4.55,53.43,0.1349,210.32
TL000000230,TR00001035,PR00366,3.59,69.0,0.0232,241.96
TL000000231,TR00000827,PR00026,1.94,116.16,0.0127,222.49
TL000000232,TR00000554,PR00265,1.33,41.55,0.0293,53.64
TL000000233,TR00000116,PR00369,4.11,90.24,0.0867,338.75
TL000000234,TR00000371,PR00534,4.0,12.62,0.0464,48.13
TL000000235,TR00000001,PR00141,1.0,56.37,0.0002,56.35
TL000000236,TR00001004,PR00100,6.23,83.46,0.0671,485.1
TL000000237,TR00001122,PR00476,1.0,28.22,0.0265,27.47
TL000000238,TR00000156,PR00294,4.0,98.84,0.0019,394.61
TL000000239,TR00000091,PR00526,9.0,27.04,0.0784,224.26
TL000000240,TR00000466,PR00296,1.0,106.44,0.1066,95.09
TL000000241,TR00000700,PR00056,1.0,94.54,0.1352,81.76
TL000000242,TR00000010,PR00525,10.84,6.64,0.1225,63.12
TL000000243,TR00000322,PR00121,5.0,10.6,0.136,45.78
TL000000244,TR00000575,PR00008,2.0,27.56,0.0063,54.78
TL000000245,TR00001282,PR00513,1.25,39.95,0.1299,43.45
TL000000246,TR00000589,PR00366,1.79,64.88,0.1486,98.88
TL000000247,TR00000403,PR00394,1.0,60.05,0.0715,55.76
TL000000248,TR00000375,PR00409,1.0,100.69,0.1476,85.83
TL000000249,TR00000056,PR00383,7.0,83.6,0.0013,584.46
TL000000250,TR00000284,PR00269,4.0,107.69,0.0609,404.51
TL000000251,TR00001242,PR00329,1.0,58.04,0.1192,51.12
TL000000252,TR00000320,PR00313,3.35,57.82,0.1354,167.48
TL000000253,TR00001035,PR00420,2.0,1.59,0.0884,2.89
TL000000254,TR00000928,PR00172,5.0,24.66,0.1369,106.41
TL000000255,TR00000347,PR00550,1.0,79.51,0.0562,75.05
TL000000256,TR00000957,PR00174,5.0,82.55,0.0742,382.12
TL000000257,TR00000083,PR00489,2.0,53.21,0.1184,93.81
TL000000258,TR00000264,PR00215,3.0,68.8,0.0437,197.38
TL000000259,TR00000901,PR00003,3.0,22.04,0.0127,65.27
TL000000260,TR00000445,PR00216,6.0,87.26,0.0173,514.51
TL000000261,TR00000169,PR00383,7.0,91.58,0.0698,596.31
TL000000262,TR00000723,PR00546,6.0,58.21,0.0913,317.39
TL000000263,TR00001362,PR00201,2.0,77.46,0.1031,138.94
TL000000264,TR00001240,PR00379,2.0,33.51,0.098,60.46
TL000000265,TR00000404,PR00266,6.15,93.09,0.0982,516.33
TL000000266,TR00001161,PR00435,6.0,23.02,0.0218,135.14
TL000000267,TR00000723,PR00078,4.0,79.38,0.1,285.76
TL000000268,TR00000718,PR00500,10.0,117.36,0.0647,1097.75
TL000000269,TR00000598,PR00456,1.63,81.75,0.1392,114.7
TL000000270,TR00000617,PR00062,7.0,5.34,0.1016,33.59
TL000000271,TR00000529,PR00059,2.0,58.56,0.133,101.54
TL000000272,TR00000219,PR00186,6.0,75.14,0.0424,431.7
TL000000273,TR00001207,PR00529,2.0,65.01,0.137,112.21
TL000000274,TR00000669,PR00133,1.73,94.82,0.0636,153.59
TL000000275,TR00000367,PR00373,8.16,67.97,0.1307,482.13
TL000000276,TR00000082,PR00488,3.0,19.04,0.1336,49.49
TL000000277,TR00000677,PR00231,2.0,34.11,0.0022,68.06
TL000000278,TR00000702,PR00444,3.56,73.25,0.0824,239.29
TL000000279,TR00000127,PR00372,3.0,25.46,0.0201,74.84
TL000000280,TR00000086,PR00361,6.0,109.91,0.0575,621.57
TL000000281,TR00001265,PR00559,2.0,47.11,0.0687,87.76
TL000000282,TR00000304,PR00277,1.0,8.08,0.0802,7.43
TL000000283,TR00000181,PR00528,3.0,64.02,0.1437,164.46
TL000000284,TR00000336,PR00273,1.6,51.4,0.0018,82.08
TL000000285,TR00001026,PR00528,3.0,63.06,0.0696,176.03
TL000000286,TR00000426,PR00073,7.0,62.73,0.0997,395.36
TL000000287,TR00000589,PR00399,1.0,5.51,0.1254,4.82
TL000000288,TR00000281,PR00193,3.0,9.13,0.1439,23.45
TL000000289,TR00000557,PR00180,4.21,17.24,0.1156,64.18
TL000000290,TR00001104,PR00533,1.0,40.35,0.1491,34.34
TL000000291,TR00000800,PR00449,4.0,99.68,0.122,350.05
TL000000292,TR00001012,PR00191,1.05,62.69,0.0596,61.9
TL000000293,TR00000129,PR00248,5.92,16.95,0.0132,99.02
TL000000294,TR00000773,PR00317,3.0,63.39,0.1364,164.22
TL000000295,TR00000807,PR00315,4.0,104.22,0.0231,407.27
TL000000296,TR00000423,PR00114,2.0,45.73,0.0845,83.73
TL000000297,TR00000009,PR00408,10.0,2.32,0.0099,22.97
TL000000298,TR00000352,PR00240,1.17,77.76,0.0496,86.47
TL000000299,TR00000433,PR00422,1.0,34.21,0.0359,32.98
TL000000300,TR00000994,PR00354,9.72,49.24,0.0555,452.03
TL000000301,TR00000267,PR00391,7.3,46.68,0.0518,323.08
TL000000302,TR00000540,PR00125,7.0,7.94,0.1218,48.84
TL000000303,TR00001114,PR00198,4.0,111.03,0.0106,439.43
TL000000304,TR00001160,PR00384,7.0,78.31,0.1145,485.36
TL000000305,TR00000268,PR00028,1.0,55.93,0.0719,51.91
TL000000306,TR00001291,PR00021,0.5,65.64,0.1075,29.29
TL000000307,TR00001035,PR00121,3.0,8.88,0.0056,26.5
TL000000308,TR00000190,PR00521,3.0,90.39,0.0401,260.3
TL000000309,TR00000783,PR00054,2.0,105.63,0.1196,185.99
TL000000310,TR00001392,PR00045,1.9,60.89,0.1488,98.47
TL000000311,TR00000917,PR00441,7.34,59.14,0.1314,377.07
TL000000312,TR00001039,PR00544,0.88,71.97,0.1306,55.06
TL000000313,TR00000430,PR00296,1.0,84.22,0.1378,72.62
TL000000314,TR00000819,PR00542,4.0,82.49,0.0859,301.62
TL000000315,TR00000414,PR00465,1.48,64.34,0.0343,91.96
TL000000316,TR00000345,PR00280,2.0,62.4,0.0018,124.57
TL000000317,TR00000660,PR00507,3.0,91.45,0.1451,234.54
TL000000318,TR00000219,PR00541,6.0,60.58,0.1328,315.23
TL000000319,TR00000265,PR00465,1.34,58.59,0.1163,69.37
TL000000320,TR00000712,PR00126,1.71,57.32,0.0942,88.78
TL000000321,TR00000462,PR00050,4.03,113.81,0.0906,417.12
TL000000322,TR00001324,PR00272,5.51,21.97,0.1362,104.58
TL000000323,TR00001148,PR00502,2.19,8.41,0.087,16.82
TL000000324,TR00001032,PR00295,4.11,44.53,0.0314,177.29
TL000000325,TR00000936,PR00338,2.42,74.48,0.0766,166.43
TL000000326,TR00000427,PR00078,3.08,79.49,0.0677,228.25
TL000000327,TR00000790,PR00042,6.0,13.9,0.0361,80.38
TL000000328,TR00000359,PR00349,6.23,74.8,0.1498,396.16
TL000000329,TR00001224,PR00026,6.39,94.59,0.0425,578.75
TL000000330,TR00001372,PR00216,1.0,114.42,0.1074,102.13
TL000000331,TR00001197,PR00078,4.24,58.75,0.0729,230.92
TL000000332,TR00000357,PR00555,2.0,14.04,0.058,26.44
TL000000333,TR00000007,PR00234,2.0,24.52,0.1265,42.84
TL000000334,TR00000526,PR00277,1.0,8.22,0.0173,8.08
TL000000335,TR00000500,PR00073,3.0,59.09,0.0076,175.92
TL000000336,TR00000839,PR00581,0.88,59.54,0.0946,47.44
TL000000337,TR00000662,PR00493,8.0,3.69,0.0268,28.75
TL000000338,TR00000987,PR00240,2.61,90.58,0.088,215.6
TL000000339,TR00000020,PR00194,2.13,6.33,0.0215,13.2
TL000000340,TR00000887,PR00152,1.0,65.48,0.1296,56.99
TL000000341,TR00000619,PR00046,1.93,29.62,0.0618,53.63
TL000000342,TR00000226,PR00425,5.0,30.54,0.1301,132.84
TL000000343,TR00000168,PR00033,7.0,39.39,0.0778,254.25
TL000000344,TR00000676,PR00026,3.37,97.18,0.1361,282.94
TL000000345,TR00001219,PR00579,1.51,52.45,0.1158,70.02
TL000000346,TR00001009,PR00138,11.64,98.27,0.1114,1016.4
TL000000347,TR00001218,PR00475,5.58,7.11,0.0846,36.32
TL000000348,TR00000870,PR00502,3.82,10.36,0.0361,38.13
TL000000349,TR00000449,PR00521,3.0,91.84,0.0062,273.79
TL000000350,TR00000330,PR00371,1.0,98.3,0.1311,85.41
TL000000351,TR00000452,PR00227,3.0,58.69,0.14,151.43
TL000000352,TR00000920,PR00465,1.47,53.06,0.0314,75.55
TL000000353,TR00000225,PR00183,3.0,53.01,0.0379,152.99
TL000000354,TR00000399,PR00380,5.0,59.58,0.1035,267.07
TL000000355,TR00000116,PR00028,1.0,66.44,0.0468,63.33
TL000000356,TR00000306,PR00153,4.0,39.03,0.115,138.18
TL000000357,TR00001135,PR00349,3.5,90.29,0.0363,304.53
TL000000358,TR00000570,PR00322,4.0,76.1,0.1198,267.96
TL000000359,TR00000246,PR00381,3.0,115.77,0.0493,330.2
TL000000360,TR00000843,PR00119,9.0,38.22,0.0269,334.74
TL000000361,TR00001327,PR00506,3.0,56.76,0.0772,157.14
TL000000362,TR00001178,PR00179,6.0,60.96,0.0259,356.31
TL000000363,TR00000885,PR00068,5.76,62.78,0.0732,335.13
TL000000364,TR00000898,PR00557,5.37,48.01,0.0757,238.28
TL000000365,TR00000282,PR00055,4.54,68.78,0.105,279.46
TL000000366,TR00000951,PR00317,2.0,55.67,0.0136,109.82
TL000000367,TR00001237,PR00370,2.0,28.26,0.0003,56.49
TL000000368,TR00000478,PR00591,3.0,41.41,0.0015,124.05
TL000000369,TR00001021,PR00204,5.32,7.13,0.1324,32.92
TL000000370,TR00001105,PR00133,5.42,83.6,0.0506,430.18
TL000000371,TR00000547,PR00554,2.0,58.27,0.0479,110.96
TL000000372,TR00001241,PR00561,1.0,5.53,0.0421,5.29
TL000000373,TR00000456,PR00353,1.0,41.06,0.0069,40.78
TL000000374,TR00000590,PR00153,1.0,39.74,0.1238,34.82
TL000000375,TR00000525,PR00552,4.0,106.82,0.1369,368.77
TL000000376,TR00000982,PR00222,3.0,87.07,0.106,233.54
TL000000377,TR00000401,PR00568,5.27,74.91,0.1441,337.92
TL000000378,TR00000824,PR00353,6.0,43.81,0.0875,239.87
TL000000379,TR00000992,PR00195,11.99,29.71,0.0049,354.49
TL000000380,TR00000569,PR00479,2.2,6.18,0.0937,12.32
TL000000381,TR00000210,PR00215,2.0,60.19,0.0823,110.47
TL000000382,TR00000792,PR00336,1.78,82.13,0.046,139.46
TL000000383,TR00000290,PR00215,5.0,68.14,0.068,317.54
TL000000384,TR00000877,PR00341,2.0,94.39,0.0093,187.04
TL000000385,TR00000736,PR00383,4.0,77.96,0.0372,300.23
TL000000386,TR00000651,PR00598,2.0,46.02,0.0848,84.24
TL000000387,TR00001016,PR00278,3.0,45.43,0.1457,116.42
TL000000388,TR00000527,PR00456,2.58,87.2,0.0776,207.5
TL000000389,TR00001300,PR00588,6.0,54.52,0.0253,318.86
TL000000390,TR00000546,PR00288,3.0,19.68,0.0404,56.65
TL000000391,TR00000679,PR00126,6.89,71.53,0.0694,458.59
TL000000392,TR00000518,PR00057,2.74,65.44,0.0234,175.11
TL000000393,TR00000609,PR00371,5.0,97.05,0.0422,464.73
TL000000394,TR00000724,PR00226,9.0,18.22,0.0713,152.31
TL000000395,TR00000640,PR00023,3.0,120.49,0.0785,333.11
TL000000396,TR00001168,PR00479,1.63,4.51,0.0956,6.65
TL000000397,TR00000311,PR00559,2.0,61.16,0.037,117.79
TL000000398,TR00000086,PR00430,4.0,83.37,0.1339,288.84
TL000000399,TR00001319,PR00530,4.0,11.96,0.0365,46.08
TL000000400,TR00001310,PR00414,8.13,101.44,0.0563,778.28
TL000000401,TR00000727,PR00270,4.0,85.88,0.1113,305.3
TL000000402,TR00000963,PR00407,2.39,74.61,0.0319,172.63
TL000000403,TR00000249,PR00551,2.16,15.44,0.0287,32.39
TL000000404,TR00001003,PR00422,4.0,36.87,0.0895,134.3
TL000000405,TR00000297,PR00033,7.0,37.88,0.1069,236.8
TL000000406,TR00000276,PR00345,5.87,79.59,0.0865,426.78
TL000000407,TR00000488,PR00230,3.0,72.34,0.1444,185.67
TL000000408,TR00000014,PR00565,2.0,71.85,0.0591,135.2
TL000000409,TR00000176,PR00143,1.0,14.63,0.0385,14.07
