TransactionId,CustomerId,AccountId,StoreId,TransactionDateTime,PaymentMethod,Currency,DiscountEUR,TotalNetAmountEUR,Year,Month,Day
TR00000028,CU000395,AC00309,ST014,2024-09-19 06:00:00,Card,EUR,7.65,1295.31,2024,9,19
TR00000029,CU000220,AC00065,ST031,2025-09-25 21:00:00,Card,EUR,26.33,1380.05,2025,9,25
TR00000030,CU000418,AC00004,ST006,2024-02-01 22:00:00,Card,EUR,3.44,1029.9,2024,2,1
TR00000031,CU000518,AC00350,ST022,2024-05-26 23:00:00,Invoice,EUR,15.05,1943.62,2024,5,26
TR00000032,CU000117,AC00063,ST035,2025-08-19 08:00:00,Card,EUR,0.0,1092.6,2025,8,19
TR00000033,CU000413,AC00133,ST012,2025-07-28 01:00:00,Invoice,EUR,13.8,870.56,2025,7,28
TR00000034,CU000408,AC00164,ST030,2024-06-14 23:00:00,Card,EUR,0.91,287.41,2024,6,14
TR00000035,CU000108,AC00517,ST016,2024-04-12 02:00:00,Card,EUR,1.44,394.97,2024,4,12
TR00000036,CU000445,AC00498,ST036,2025-03-12 08:00:00,Card,EUR,11.03,116.47,2025,3,12
TR00000037,CU000313,AC00027,ST007,2025-03-22 15:00:00,Cash,EUR,0.0,405.4,2025,3,22
TR00000038,CU000001,AC00270,ST005,2024-06-04 13:00:00,Card,EUR,12.92,138.76,2024,6,4
TR00000039,CU000195,AC00347,ST010,2025-12-03 20:00:00,Card,EUR,0.0,257.08,2025,12,3
TR00000040,CU000518,AC00350,ST011,2024-01-09 09:00:00,Card,EUR,8.46,0.0,2024,1,9
TR00000041,CU000206,AC00285,ST015,2025-10-13 04:00:00,Card,EUR,19.35,901.45,2025,10,13
TR00000042,CU000157,AC00536,ST007,2024-05-24 21:00:00,Card,EUR,1.28,242.08,2024,5,24
TR00000043,CU000230,AC00047,ST023,2025-09-01 08:00:00,Card,EUR,11.9,285.05,2025,9,1
TR00000044,CU000192,AC00166,ST030,2024-10-25 11:00:00,Card,EUR,17.37,830.34,2024,10,25
TR00000045,CU000065,AC00424,ST034,2024-12-02 06:00:00,Invoice,EUR,7.3,24.06,2024,12,2
TR00000046,CU000489,AC00538,ST021,2025-10-28 22:00:00,Card,EUR,0.0,556.69,2025,10,28
TR00000047,CU000021,AC00343,ST026,2025-04-15 04:00:00,Card,EUR,2.29,474.93,2025,4,15
TR00000048,CU000494,AC00500,ST032,2024-08-01 13:00:00,Card,EUR,4.76,1892.56,2024,8,1
TR00000049,CU000395,AC00309,ST007,2025-08-07 18:00:00,Card,EUR,0.0,939.93,2025,8,7
TR00000050,CU000045,AC00040,ST028,2024-09-08 03:00:00,Card,EUR,4.83,655.38,2024,9,8
TR00000051,CU000380,AC00454,ST038,2025-03-20 11:00:00,Cash,EUR,1.85,200.31,2025,3,20
TR00000052,CU000172,AC00392,ST001,2025-07-21 08:00:00,BankTransfer,EUR,13.05,381.79,2025,7,21
TR00000053,CU000103,AC00409,ST018,2025-06-09 20:00:00,Card,EUR,0.0,867.49,2025,6,9
TR00000054,CU000254,AC00414,ST005,2026-01-05 18:00:00,Cash,EUR,5.14,1120.39,2026,1,5
TR00000055,CU000131,AC00488,ST030,2025-05-29 08:00:00,Card,EUR,13.04,58.46,2025,5,29
TR00000056,CU000456,AC00204,ST027,2025-06-24 05:00:00,Card,EUR,23.15,1944.3,2025,6,24
TR00000057,CU000120,AC00408,ST030,2025-06-19 07:00:00,Cash,EUR,8.48,254.55,2025,6,19
TR00000058,CU000516,AC00367,ST008,2025-07-11 10:00:00,Card,EUR,5.06,987.17,2025,7,11
TR00000059,CU000361,AC00271,ST038,2025-08-28 09:00:00,Card,EUR,5.97,720.42,2025,8,28
TR00000060,CU000430,AC00346,ST038,2024-02-06 21:00:00,Card,EUR,8.23,406.57,2024,2,6
TR00000061,CU000253,AC00181,ST035,2025-05-01 22:00:00,Card,EUR,11.14,198.68,2025,5,1
TR00000062,CU000307,AC00194,ST023,2025-02-21 03:00:00,Card,EUR,25.22,50.2,2025,2,21
TR00000063,CU000510,AC00295,ST012,2025-08-30 14:00:00,Invoice,EUR,12.77,1001.11,2025,8,30
TR00000064,CU000018,AC00521,ST010,2024-04-25 17:00:00,Invoice,EUR,13.81,767.82,2024,4,25
TR00000065,CU000401,AC00401,ST025,2024-06-08 09:00:00,Card,EUR,0.0,742.17,2024,6,8
TR00000066,CU000378,AC00006,ST026,2025-12-19 14:00:00,Card,EUR,7.16,679.46,2025,12,19
TR00000067,CU000394,AC00306,ST011,2024-04-08 03:00:00,Card,EUR,21.78,285.48,2024,4,8
TR00000068,CU000363,AC00316,ST037,2024-01-24 09:00:00,Card,EUR,0.0,842.68,2024,1,24
TR00000069,CU000097,AC00001,ST009,2024-07-13 08:00:00,Card,EUR,10.52,0.0,2024,7,13
TR00000070,CU000332,AC00148,ST029,2025-11-16 15:00:00,Card,EUR,0.0,416.8,2025,11,16
TR00000071,CU000210,AC00366,ST020,2025-01-14 00:00:00,Card,EUR,12.6,147.19,2025,1,14
TR00000072,CU000520,AC00121,ST038,2024-06-13 12:00:00,Invoice,EUR,19.78,658.71,2024,6,13
TR00000073,CU000167,AC00113,ST022,2025-08-30 22:00:00,Card,EUR,15.47,1344.85,2025,8,30
TR00000074,CU000334,AC00190,ST015,2024-09-15 08:00:00,Cash,EUR,4.2,29.16,2024,9,15
TR00000075,CU000280,AC00053,ST028,2024-05-10 18:00:00,Invoice,EUR,15.43,89.37,2024,5,10
TR00000076,CU000010,AC00399,ST029,2024-02-13 14:00:00,Card,EUR,10.46,492.12,2024,2,13
TR00000077,CU000306,AC00476,ST009,2024-08-26 07:00:00,Card,EUR,9.1,1281.66,2024,8,26
TR00000078,CU000024,AC00209,ST029,2024-12-02 10:00:00,Card,EUR,11.43,385.94,2024,12,2
TR00000079,CU000275,AC00458,ST031,2025-09-17 03:00:00,Cash,EUR,0.0,0.0,2025,9,17
TR00000080,CU000147,AC00452,ST040,2025-01-07 08:00:00,BankTransfer,EUR,0.0,1020.27,2025,1,7
TR00000081,CU000422,AC00519,ST028,2024-09-26 10:00:00,Cash,EUR,6.81,166.89,2024,9,26
TR00000082,CU000312,AC00002,ST005,2025-11-30 19:00:00,Card,EUR,7.13,943.31,2025,11,30
TR00000083,CU000449,AC00109,ST037,2024-04-11 22:00:00,Card,EUR,0.0,2496.23,2024,4,11
TR00000084,CU000406,AC00378,ST032,2025-08-14 03:00:00,Invoice,EUR,6.31,291.22,2025,8,14
TR00000085,CU000023,AC00537,ST036,2025-10-13 11:00:00,Card,EUR,10.53,155.3,2025,10,13
TR00000086,CU000004,AC00073,ST036,2025-12-17 03:00:00,Card,EUR,3.34,3162.31,2025,12,17
TR00000087,CU000469,AC00410,ST020,2025-01-20 21:00:00,Card,EUR,3.11,314.16,2025,1,20
TR00000088,CU000510,AC00295,ST017,2025-02-04 00:00:00,Card,EUR,31.39,0.0,2025,2,4
TR00000089,CU000361,AC00271,ST040,2025-05-16 16:00:00,Card,EUR,0.0,0.0,2025,5,16
TR00000090,CU000292,AC00197,ST026,2025-06-03 17:00:00,Card,EUR,13.99,427.61,2025,6,3
TR00000091,CU000283,AC00314,ST005,2025-02-08 00:00:00,Card,EUR,4.18,700.86,2025,2,8
TR00000092,CU000199,AC00169,ST039,2025-11-08 19:00:00,Card,EUR,0.73,225.53,2025,11,8
TR00000093,CU000517,AC00042,ST020,2024-08-02 00:00:00,Invoice,EUR,0.0,38.25,2024,8,2
TR00000094,CU000116,AC00431,ST027,2024-08-19 16:00:00,Card,EUR,7.46,513.69,2024,8,19
TR00000095,CU000474,AC00245,ST016,2024-05-31 05:00:00,Card,EUR,14.91,24.24,2024,5,31
TR00000096,CU000296,AC00499,ST030,2026-01-01 14:00:00,Card,EUR,15.05,882.05,2026,1,1
TR00000097,CU000352,AC00296,ST014,2024-10-05 20:00:00,Card,EUR,9.11,699.08,2024,10,5
TR00000098,CU000409,AC00152,ST038,2025-08-31 07:00:00,Card,EUR,7.08,860.94,2025,8,31
TR00000099,CU000110,AC00092,ST025,2025-03-16 13:00:00,Card,EUR,9.47,915.62,2025,3,16
TR00000100,CU000300,AC00041,ST038,2024-10-11 00:00:00,Card,EUR,3.91,759.24,2024,10,11
TR00000101,CU000029,AC00213,ST017,2024-10-29 08:00:00,Invoice,EUR,6.03,289.66,2024,10,29
TR00000102,CU000297,AC00325,ST021,2024-04-10 01:00:00,Card,EUR,9.64,62.5,2024,4,10
TR00000103,CU000011,AC00010,ST039,2025-06-02 00:00:00,Cash,EUR,0.0,370.1,2025,6,2
TR00000104,CU000171,AC00086,ST033,2024-02-07 21:00:00,Card,EUR,7.61,198.06,2024,2,7
TR00000105,CU000404,AC00126,ST001,2024-08-21 20:00:00,Card,EUR,0.0,124.53,2024,8,21
TR00000106,CU000335,AC00313,ST011,2025-11-06 16:00:00,Invoice,EUR,3.95,1146.52,2025,11,6
TR00000107,CU000122,AC00011,ST003,2024-07-31 15:00:00,Card,EUR,19.9,522.8,2024,7,31
TR00000108,CU000168,AC00312,ST026,2024-04-01 04:00:00,Cash,EUR,4.28,0.0,2024,4,1
TR00000109,CU000143,AC00300,ST030,2024-02-06 17:00:00,Card,EUR,12.82,1432.2,2024,2,6
TR00000110,CU000041,AC00291,ST026,2024-07-09 08:00:00,Card,EUR,16.42,334.24,2024,7,9
TR00000111,CU000410,AC00276,ST019,2024-10-25 11:00:00,Card,EUR,0.0,54.27,2024,10,25
TR00000112,CU000063,AC00003,ST002,2024-04-02 08:00:00,BankTransfer,EUR,15.25,1056.46,2024,4,2
TR00000113,CU000184,AC00477,ST018,2025-05-05 20:00:00,Card,EUR,16.93,1377.12,2025,5,5
TR00000114,CU000259,AC00315,ST023,2024-11-19 19:00:00,Invoice,EUR,0.0,716.17,2024,11,19
TR00000115,CU000107,AC00185,ST015,2025-08-19 02:00:00,Card,EUR,0.0,96.11,2025,8,19
TR00000116,CU000001,AC00270,ST036,2025-12-13 10:00:00,Card,EUR,1.87,500.72,2025,12,13
TR00000117,CU000195,AC00347,ST003,2025-10-16 11:00:00,Card,EUR,14.72,182.9,2025,10,16
TR00000118,CU000338,AC00023,ST031,2025-04-16 13:00:00,BankTransfer,EUR,2.96,10.77,2025,4,16
TR00000119,CU000313,AC00027,ST035,2025-04-13 20:00:00,Card,EUR,6.57,372.85,2025,4,13
TR00000120,CU000243,AC00115,ST040,2024-02-03 17:00:00,Card,EUR,1.84,1343.92,2024,2,3
TR00000121,CU000486,AC00465,ST017,2025-06-29 03:00:00,Card,EUR,2.95,6.82,2025,6,29
TR00000122,CU000109,AC00091,ST036,2026-01-13 20:00:00,Card,EUR,11.72,1043.99,2026,1,13
TR00000123,CU000356,AC00435,ST027,2025-10-03 14:00:00,Card,EUR,0.0,0.0,2025,10,3
TR00000124,CU000243,AC00115,ST001,2024-02-24 08:00:00,Cash,EUR,14.27,128.73,2024,2,24
TR00000125,CU000153,AC00299,ST029,2025-11-19 04:00:00,Card,EUR,1.76,1210.3,2025,11,19
TR00000126,CU000380,AC00454,ST001,2024-06-14 02:00:00,Cash,EUR,10.75,761.89,2024,6,14
TR00000127,CU000049,AC00481,ST001,2024-07-21 06:00:00,BankTransfer,EUR,0.0,2111.05,2024,7,21
TR00000128,CU000218,AC00268,ST003,2024-05-15 04:00:00,Card,EUR,0.0,280.2,2024,5,15
TR00000129,CU000354,AC00469,ST025,2025-07-06 07:00:00,Card,EUR,16.51,567.5,2025,7,6
TR00000130,CU000413,AC00133,ST007,2024-03-07 17:00:00,Card,EUR,4.52,373.13,2024,3,7
TR00000131,CU000365,AC00234,ST014,2026-01-03 14:00:00,Cash,EUR,21.4,287.15,2026,1,3
TR00000132,CU000018,AC00521,ST023,2024-08-19 21:00:00,Invoice,EUR,15.68,18.43,2024,8,19
TR00000133,CU000397,AC00252,ST019,2025-01-06 02:00:00,Card,EUR,12.78,8.75,2025,1,6
TR00000134,CU000100,AC00405,ST036,2024-05-14 07:00:00,Invoice,EUR,1.86,179.01,2024,5,14
TR00000135,CU000268,AC00491,ST037,2024-02-09 18:00:00,Cash,EUR,13.84,187.45,2024,2,9
TR00000136,CU000197,AC00139,ST029,2025-10-15 02:00:00,Card,EUR,13.79,212.73,2025,10,15
TR00000137,CU000302,AC00340,ST028,2025-05-15 23:00:00,Card,EUR,9.29,61.84,2025,5,15
TR00000138,CU000460,AC00400,ST037,2025-05-08 13:00:00,Card,EUR,25.68,387.62,2025,5,8
TR00000139,CU000054,AC00138,ST033,2024-11-06 10:00:00,Card,EUR,7.33,378.3,2024,11,6
TR00000140,CU000492,AC00068,ST002,2024-02-01 00:00:00,Card,EUR,0.0,866.65,2024,2,1
TR00000141,CU000122,AC00011,ST034,2025-03-28 23:00:00,Card,EUR,0.0,0.0,2025,3,28
TR00000142,CU000484,AC00302,ST011,2025-02-03 10:00:00,Card,EUR,0.0,648.35,2025,2,3
TR00000143,CU000425,AC00484,ST003,2025-11-08 15:00:00,Cash,EUR,0.0,0.0,2025,11,8
TR00000144,CU000032,AC00293,ST008,2025-04-18 05:00:00,Cash,EUR,18.9,363.2,2025,4,18
TR00000145,CU000209,AC00050,ST028,2024-08-17 06:00:00,Cash,EUR,23.85,3.69,2024,8,17
TR00000146,CU000382,AC00526,ST008,2025-07-21 05:00:00,Card,EUR,4.35,85.61,2025,7,21
TR00000147,CU000049,AC00481,ST015,2025-11-30 01:00:00,Invoice,EUR,4.0,354.75,2025,11,30
TR00000148,CU000278,AC00216,ST019,2025-08-06 16:00:00,Card,EUR,12.83,133.57,2025,8,6
TR00000149,CU000311,AC00318,ST017,2024-09-06 12:00:00,Card,EUR,0.0,1016.24,2024,9,6
TR00000150,CU000135,AC00060,ST039,2025-07-05 04:00:00,Card,EUR,18.13,168.9,2025,7,5
TR00000151,CU000045,AC00040,ST026,2024-04-25 21:00:00,Invoice,EUR,2.5,278.85,2024,4,25
TR00000152,CU000496,AC00102,ST018,2025-06-20 20:00:00,Invoice,EUR,26.52,166.4,2025,6,20
TR00000153,CU000352,AC00296,ST028,2024-04-04 18:00:00,Card,EUR,5.49,182.63,2024,4,4
TR00000154,CU000411,AC00229,ST024,2024-12-22 03:00:00,Card,EUR,0.56,271.71,2024,12,22
TR00000155,CU000169,AC00195,ST020,2025-06-12 07:00:00,Card,EUR,0.0,160.8,2025,6,12
TR00000156,CU000040,AC00457,ST025,2025-06-22 13:00:00,Cash,EUR,14.64,467.52,2025,6,22
TR00000157,CU000146,AC00380,ST009,2024-05-20 21:00:00,Card,EUR,9.35,0.0,2024,5,20
TR00000158,CU000120,AC00408,ST021,2024-01-15 03:00:00,Card,EUR,13.73,463.41,2024,1,15
TR00000159,CU000353,AC00208,ST040,2024-08-01 18:00:00,Card,EUR,2.91,774.01,2024,8,1
TR00000160,CU000447,AC00282,ST031,2024-11-18 05:00:00,Card,EUR,22.41,131.43,2024,11,18
TR00000161,CU000141,AC00188,ST021,2025-03-05 22:00:00,Cash,EUR,10.75,558.24,2025,3,5
TR00000162,CU000436,AC00512,ST012,2024-02-21 00:00:00,Card,EUR,8.52,412.9,2024,2,21
TR00000163,CU000189,AC00412,ST012,2025-09-28 15:00:00,Card,EUR,6.19,557.07,2025,9,28
TR00000164,CU000128,AC00144,ST039,2024-11-04 15:00:00,Card,EUR,12.97,48.41,2024,11,4
TR00000165,CU000009,AC00344,ST022,2025-09-08 06:00:00,Card,EUR,0.0,739.51,2025,9,8
TR00000166,CU000242,AC00403,ST014,2025-12-25 23:00:00,Card,EUR,25.62,172.38,2025,12,25
TR00000167,CU000302,AC00340,ST029,2025-09-30 18:00:00,Invoice,EUR,4.04,0.0,2025,9,30
TR00000168,CU000031,AC00089,ST017,2025-11-18 18:00:00,Card,EUR,20.09,492.37,2025,11,18
TR00000169,CU000511,AC00360,ST020,2025-07-03 15:00:00,Card,EUR,5.83,608.22,2025,7,3
TR00000170,CU000492,AC00068,ST025,2025-02-26 05:00:00,Card,EUR,0.0,72.78,2025,2,26
TR00000171,CU000311,AC00318,ST035,2025-12-04 02:00:00,Card,EUR,1.82,206.95,2025,12,4
TR00000172,CU000296,AC00499,ST021,2025-08-10 09:00:00,Card,EUR,3.13,45.75,2025,8,10
TR00000173,CU000382,AC00526,ST039,2025-01-03 11:00:00,Card,EUR,17.69,45.05,2025,1,3
TR00000174,CU000229,AC00507,ST039,2024-09-06 23:00:00,Invoice,EUR,15.86,49.19,2024,9,6
TR00000175,CU000448,AC00522,ST021,2025-01-07 09:00:00,Card,EUR,9.51,0.0,2025,1,7
TR00000176,CU000175,AC00368,ST007,2025-06-13 11:00:00,Card,EUR,19.76,674.87,2025,6,13
TR00000177,CU000238,AC00017,ST035,2025-03-25 14:00:00,Card,EUR,8.02,913.22,2025,3,25
TR00000178,CU000231,AC00051,ST021,2025-03-02 03:00:00,Card,EUR,4.16,94.61,2025,3,2
TR00000179,CU000007,AC00127,ST032,2025-12-11 23:00:00,Card,EUR,8.79,107.31,2025,12,11
TR00000180,CU000084,AC00156,ST009,2024-10-13 00:00:00,Card,EUR,14.25,138.23,2024,10,13
TR00000181,CU000295,AC00007,ST022,2026-01-14 12:00:00,Card,EUR,29.11,368.7,2026,1,14
TR00000182,CU000357,AC00206,ST014,2024-06-03 12:00:00,Cash,EUR,0.0,756.77,2024,6,3
TR00000183,CU000105,AC00058,ST011,2025-02-25 10:00:00,Card,EUR,0.59,50.58,2025,2,25
TR00000184,CU000058,AC00377,ST001,2024-08-21 08:00:00,Card,EUR,10.23,227.42,2024,8,21
TR00000185,CU000256,AC00529,ST026,2025-04-18 14:00:00,Card,EUR,0.0,109.26,2025,4,18
TR00000186,CU000131,AC00488,ST012,2024-12-17 17:00:00,Invoice,EUR,3.15,316.83,2024,12,17
TR00000187,CU000094,AC00461,ST005,2024-12-29 15:00:00,BankTransfer,EUR,10.65,96.85,2024,12,29
TR00000188,CU000484,AC00302,ST016,2024-05-20 09:00:00,Card,EUR,4.15,257.46,2024,5,20
TR00000189,CU000147,AC00452,ST030,2024-11-28 15:00:00,Card,EUR,0.0,1614.01,2024,11,28
TR00000190,CU000507,AC00036,ST011,2025-01-28 07:00:00,Card,EUR,6.08,923.42,2025,1,28
TR00000191,CU000436,AC00512,ST018,2024-04-17 05:00:00,Invoice,EUR,0.0,633.6,2024,4,17
TR00000192,CU000253,AC00181,ST040,2024-03-28 13:00:00,Card,EUR,4.47,0.0,2024,3,28
TR00000193,CU000355,AC00274,ST036,2024-01-06 15:00:00,Card,EUR,0.0,906.86,2024,1,6
TR00000194,CU000329,AC00163,ST021,2024-02-03 20:00:00,Card,EUR,19.58,636.79,2024,2,3
TR00000195,CU000333,AC00358,ST011,2025-02-26 02:00:00,Card,EUR,0.0,420.54,2025,2,26
TR00000196,CU000186,AC00062,ST038,2024-01-28 20:00:00,Card,EUR,0.47,147.39,2024,1,28
TR00000197,CU000313,AC00027,ST011,2024-12-18 12:00:00,Card,EUR,7.71,257.73,2024,12,18
TR00000198,CU000355,AC00274,ST009,2025-10-03 12:00:00,Cash,EUR,0.0,414.36,2025,10,3
TR00000199,CU000321,AC00535,ST007,2024-06-29 14:00:00,Card,EUR,0.0,0.0,2024,6,29
TR00000200,CU000416,AC00336,ST008,2025-11-09 13:00:00,Card,EUR,0.0,442.27,2025,11,9
TR00000201,CU000515,AC00029,ST021,2024-07-28 03:00:00,BankTransfer,EUR,20.0,151.63,2024,7,28
TR00000202,CU000501,AC00123,ST024,2024-08-20 19:00:00,Card,EUR,0.0,1683.05,2024,8,20
TR00000203,CU000087,AC00033,ST029,2024-07-17 15:00:00,Cash,EUR,0.0,0.0,2024,7,17
TR00000204,CU000069,AC00175,ST004,2024-10-24 03:00:00,Card,EUR,12.73,103.9,2024,10,24
TR00000205,CU000345,AC00191,ST004,2024-06-19 19:00:00,Card,EUR,5.51,620.19,2024,6,19
TR00000206,CU000049,AC00481,ST024,2025-10-11 06:00:00,Invoice,EUR,4.55,804.46,2025,10,11
TR00000207,CU000316,AC00018,ST039,2026-01-06 05:00:00,Card,EUR,18.51,675.38,2026,1,6
TR00000208,CU000095,AC00425,ST017,2025-11-05 16:00:00,Card,EUR,8.94,598.72,2025,11,5
TR00000209,CU000459,AC00361,ST030,2024-08-13 12:00:00,Invoice,EUR,1.65,23.48,2024,8,13
TR00000210,CU000315,AC00448,ST018,2025-06-19 22:00:00,Card,EUR,0.0,329.56,2025,6,19
TR00000211,CU000483,AC00443,ST015,2025-11-28 20:00:00,Card,EUR,1.96,213.49,2025,11,28
TR00000212,CU000375,AC00342,ST014,2024-01-10 02:00:00,Cash,EUR,14.56,160.46,2024,1,10
TR00000213,CU000366,AC00450,ST010,2025-10-28 10:00:00,Card,EUR,1.83,322.54,2025,10,28
TR00000214,CU000305,AC00230,ST029,2025-04-28 11:00:00,Card,EUR,5.17,0.0,2025,4,28
TR00000215,CU000303,AC00071,ST008,2025-11-14 19:00:00,Card,EUR,12.24,0.0,2025,11,14
TR00000216,CU000473,AC00021,ST008,2024-11-28 09:00:00,Card,EUR,0.0,199.14,2024,11,28
TR00000217,CU000365,AC00234,ST038,2024-07-08 13:00:00,Card,EUR,5.04,0.0,2024,7,8
TR00000218,CU000308,AC00184,ST037,2024-07-26 05:00:00,Cash,EUR,26.23,0.0,2024,7,26
TR00000219,CU000471,AC00094,ST013,2026-01-09 04:00:00,Card,EUR,0.0,1654.97,2026,1,9
TR00000220,CU000267,AC00248,ST019,2024-03-13 17:00:00,Card,EUR,0.0,256.66,2024,3,13
TR00000221,CU000209,AC00050,ST003,2024-06-10 15:00:00,Card,EUR,0.0,605.97,2024,6,10
TR00000222,CU000342,AC00049,ST015,2025-09-19 17:00:00,Card,EUR,6.6,0.0,2025,9,19
TR00000223,CU000501,AC00123,ST033,2024-07-05 17:00:00,Card,EUR,14.62,584.2,2024,7,5
TR00000224,CU000032,AC00293,ST015,2024-01-15 20:00:00,Card,EUR,0.0,41.01,2024,1,15
TR00000225,CU000200,AC00292,ST008,2024-08-17 03:00:00,Card,EUR,0.0,655.33,2024,8,17
TR00000226,CU000223,AC00398,ST027,2024-10-21 03:00:00,Card,EUR,11.41,554.19,2024,10,21
TR00000227,CU000086,AC00371,ST005,2025-03-01 20:00:00,Card,EUR,3.72,838.73,2025,3,1
TR00000228,CU000206,AC00285,ST016,2025-01-25 20:00:00,Invoice,EUR,10.63,1343.04,2025,1,25
TR00000229,CU000187,AC00415,ST028,2025-11-13 05:00:00,Card,EUR,14.58,0.0,2025,11,13
TR00000230,CU000039,AC00332,ST033,2024-04-24 00:00:00,Invoice,EUR,9.65,589.04,2024,4,24
TR00000231,CU000486,AC00465,ST033,2024-08-03 20:00:00,Card,EUR,17.37,484.77,2024,8,3
TR00000232,CU000180,AC00515,ST036,2024-03-21 15:00:00,Card,EUR,0.0,1554.83,2024,3,21
TR00000233,CU000070,AC00504,ST023,2025-01-20 22:00:00,Card,EUR,8.74,541.39,2025,1,20
TR00000234,CU000179,AC00114,ST031,2025-07-14 00:00:00,Card,EUR,0.0,757.1,2025,7,14
TR00000235,CU000487,AC00132,ST013,2024-07-20 12:00:00,Card,EUR,13.43,545.86,2024,7,20
TR00000236,CU000010,AC00399,ST019,2025-03-03 22:00:00,Card,EUR,0.0,54.43,2025,3,3
TR00000237,CU000446,AC00220,ST012,2024-06-01 01:00:00,Card,EUR,0.0,461.0,2024,6,1
TR00000238,CU000324,AC00356,ST005,2024-06-01 18:00:00,Card,EUR,16.53,166.65,2024,6,1
TR00000239,CU000321,AC00535,ST012,2025-02-17 01:00:00,Card,EUR,0.0,479.49,2025,2,17
TR00000240,CU000126,AC00016,ST029,2024-09-08 16:00:00,BankTransfer,EUR,0.0,632.75,2024,9,8
TR00000241,CU000314,AC00277,ST027,2026-01-09 08:00:00,Card,EUR,3.83,284.48,2026,1,9
TR00000242,CU000335,AC00313,ST014,2024-12-20 07:00:00,Cash,EUR,0.0,601.15,2024,12,20
TR00000243,CU000336,AC00428,ST015,2025-02-28 17:00:00,Card,EUR,0.0,193.88,2025,2,28
TR00000244,CU000495,AC00337,ST033,2025-04-18 23:00:00,Invoice,EUR,10.54,0.0,2025,4,18
TR00000245,CU000052,AC00359,ST007,2025-06-05 22:00:00,Cash,EUR,16.39,811.51,2025,6,5
TR00000246,CU000110,AC00092,ST023,2025-09-01 23:00:00,Card,EUR,4.01,548.65,2025,9,1
TR00000247,CU000436,AC00512,ST031,2025-09-25 11:00:00,Invoice,EUR,0.0,748.04,2025,9,25
TR00000248,CU000193,AC00463,ST019,2024-10-16 09:00:00,Card,EUR,19.86,640.75,2024,10,16
