ContactId,Category,NetAmount
CT000018,Ortofrutta,1586.2599999999998
CT000018,Pesce,928.88
CT000018,Surgelati,208.81
CT000018,Vino,1451.39
CT000019,Bevande,426.87
CT000019,Carni,222.43
CT000019,Latticini,365.93
CT000019,Ortofrutta,462.56
CT000019,Surgelati,131.02
CT000019,Vino,322.6
CT000020,Bevande,261.99
CT000020,Dispensa,285.86
CT000020,Latticini,309.27000000000004
CT000020,Ortofrutta,211.69
CT000020,Pesce,327.46
CT000020,Surgelati,434.66
CT000020,Vino,30.91
CT000021,Bevande,854.3199999999999
CT000021,Carni,571.3199999999999
CT000021,Dispensa,156.42
CT000021,Latticini,1427.8400000000001
CT000021,Ortofrutta,469.84000000000003
CT000021,Pesce,201.35
CT000021,Surgelati,365.91
CT000021,Vino,883.63
CT000022,Bevande,46.5
CT000022,Dispensa,9.0
CT000023,Bevande,204.21
CT000023,Carni,252.98
CT000023,Dispensa,143.4
CT000023,Latticini,652.1
CT000023,Ortofrutta,347.55
CT000023,Pesce,587.81
CT000023,Vino,151.51999999999998
CT000024,Bevande,1092.77
CT000024,Carni,1669.2
CT000024,Dispensa,723.8199999999999
CT000024,Latticini,435.78999999999996
CT000024,Ortofrutta,554.6
CT000024,Pesce,735.36
CT000024,Surgelati,307.51
CT000024,Vino,836.07
CT000025,Ortofrutta,97.18
CT000026,Carni,494.84
CT000026,Dispensa,63.14
CT000026,Ortofrutta,478.19000000000005
CT000026,Pesce,213.75
CT000026,Vino,450.54999999999995
CT000027,Bevande,462.1
CT000027,Carni,273.0
CT000027,Latticini,196.09
CT000027,Ortofrutta,163.81
CT000027,Pesce,279.8
CT000027,Vino,302.59
CT000028,Bevande,251.35
CT000028,Carni,179.13
CT000028,Dispensa,32.51
CT000028,Ortofrutta,226.38
CT000028,Pesce,609.23
CT000028,Vino,976.78
CT000029,Bevande,491.27
CT000029,Carni,302.85
CT000029,Dispensa,205.73
CT000029,Latticini,487.52
CT000029,Pesce,5.43
CT000029,Surgelati,53.04
CT000029,Vino,2397.5099999999998
CT000030,Bevande,1444.8400000000001
CT000030,Carni,295.9
CT000030,Dispensa,232.79
CT000030,Latticini,1426.4
CT000030,Ortofrutta,702.8299999999999
CT000030,Pesce,798.23
CT000030,Surgelati,189.29
CT000030,Vino,757.72
CT000031,Bevande,1447.26
CT000031,Carni,13.92
CT000031,Dispensa,309.57
CT000031,Latticini,351.82
CT000031,Ortofrutta,792.36
CT000031,Pesce,352.89
CT000031,Surgelati,163.42
CT000032,Carni,293.85
CT000032,Dispensa,166.21
CT000032,Latticini,224.73
CT000032,Ortofrutta,153.39
CT000032,Pesce,46.9
CT000032,Surgelati,281.82
CT000033,Bevande,866.38
CT000033,Carni,822.4100000000001
CT000033,Latticini,1010.69
CT000033,Ortofrutta,94.27
CT000033,Surgelati,373.07000000000005
CT000033,Vino,387.73
CT000034,Bevande,561.11
CT000034,Carni,791.76
CT000034,Latticini,72.04
CT000034,Ortofrutta,246.69
CT000034,Surgelati,451.55
CT000034,Vino,319.51
CT000035,Bevande,227.52
CT000035,Latticini,71.24
CT000035,Ortofrutta,344.06
CT000035,Pesce,362.13
CT000035,Vino,286.01
CT000036,Bevande,19.02
CT000036,Carni,315.57
CT000036,Dispensa,365.91999999999996
CT000036,Ortofrutta,544.31
CT000036,Surgelati,18.52
CT000036,Vino,959.55
CT000037,Bevande,655.5799999999999
CT000037,Carni,1432.38
CT000037,Dispensa,133.19
CT000037,Latticini,459.58
CT000037,Ortofrutta,1261.23
CT000037,Pesce,967.49
CT000037,Surgelati,248.17
CT000037,Vino,598.13
CT000038,Bevande,204.67000000000002
CT000038,Carni,380.9
CT000038,Dispensa,90.27
CT000038,Latticini,152.35
CT000038,Ortofrutta,425.89
CT000038,Vino,518.62
CT000039,Bevande,378.45000000000005
CT000039,Carni,169.72
CT000039,Dispensa,4.13
CT000039,Latticini,217.56
CT000039,Ortofrutta,314.75
CT000039,Pesce,174.63
CT000039,Vino,871.9300000000001
CT000040,Ortofrutta,460.24
CT000040,Vino,27.66
CT000041,Bevande,503.2
CT000041,Carni,648.03
CT000041,Dispensa,10.76
CT000041,Latticini,520.3699999999999
CT000041,Ortofrutta,537.14
CT000041,Pesce,391.34000000000003
CT000041,Surgelati,88.51
CT000041,Vino,626.36
CT000042,Bevande,349.12
CT000042,Carni,268.05
CT000042,Dispensa,582.16
CT000042,Latticini,251.89
CT000042,Ortofrutta,422.99
CT000042,Pesce,11.49
CT000042,Surgelati,350.87
CT000042,Vino,604.0799999999999
CT000043,Bevande,54.4
CT000043,Carni,643.4
CT000043,Dispensa,199.34
CT000043,Latticini,313.43
CT000043,Ortofrutta,575.92
CT000043,Pesce,164.76999999999998
CT000043,Surgelati,96.15
CT000043,Vino,1098.92
CT000044,Bevande,1064.57
CT000044,Carni,513.72
CT000044,Dispensa,108.32
CT000044,Latticini,846.22
CT000044,Ortofrutta,145.28
CT000044,Vino,277.40000000000003
CT000045,Bevande,153.14
CT000045,Carni,32.55
CT000045,Dispensa,79.71
CT000045,Latticini,612.6500000000001
CT000045,Ortofrutta,221.37
CT000045,Pesce,202.51000000000002
CT000045,Surgelati,64.64
CT000045,Vino,13.56
CT000046,Bevande,237.87
CT000046,Carni,53.83
CT000046,Dispensa,192.20000000000002
CT000046,Latticini,171.48
CT000046,Ortofrutta,914.9200000000001
CT000046,Surgelati,213.33
CT000046,Vino,741.98
CT000047,Bevande,277.19
CT000047,Carni,1100.35
CT000048,Bevande,1405.51
CT000048,Carni,235.95
CT000048,Dispensa,95.61
CT000048,Pesce,299.12
CT000048,Surgelati,428.72
CT000048,Vino,315.90000000000003
CT000049,Bevande,942.03
CT000049,Carni,504.21
CT000049,Dispensa,389.58
CT000049,Latticini,1488.73
CT000049,Pesce,647.24
CT000049,Surgelati,42.4
CT000049,Vino,463.59000000000003
CT000050,Bevande,1590.19
CT000050,Carni,226.25
CT000050,Dispensa,1145.76
CT000050,Latticini,208.03
CT000050,Ortofrutta,1000.8599999999999
CT000050,Pesce,247.26
CT000050,Surgelati,351.84
CT000050,Vino,525.19
CT000051,Bevande,1425.03
CT000051,Carni,1146.1
CT000051,Dispensa,395.58
CT000051,Latticini,1006.9200000000001
CT000051,Ortofrutta,386.03
CT000051,Pesce,852.22
CT000051,Surgelati,367.23
CT000051,Vino,1257.3899999999999
CT000052,Bevande,267.88
CT000052,Dispensa,205.66
CT000052,Latticini,195.25
CT000052,Ortofrutta,230.81
CT000052,Pesce,416.77
CT000052,Surgelati,154.62
CT000052,Vino,767.42
CT000053,Bevande,1576.83
CT000053,Carni,155.52
CT000053,Dispensa,754.47
CT000053,Latticini,1857.3100000000002
CT000053,Ortofrutta,840.03
CT000053,Pesce,206.34
CT000054,Bevande,1316.88
CT000054,Carni,361.38
CT000054,Dispensa,964.26
CT000054,Latticini,1037.06
CT000054,Ortofrutta,204.68
CT000054,Surgelati,539.03
CT000054,Vino,1055.3799999999999
CT000055,Pesce,196.69
CT000055,Surgelati,107.22
CT000055,Vino,622.1
CT000056,Bevande,464.40999999999997
CT000056,Carni,1078.49
CT000056,Dispensa,279.45
CT000056,Latticini,291.08
CT000056,Ortofrutta,1417.49
CT000056,Pesce,773.8000000000001
CT000056,Vino,852.28
CT000057,Bevande,35.34
CT000057,Carni,167.28
CT000057,Dispensa,12.31
CT000057,Latticini,147.73
CT000057,Surgelati,127.25
CT000057,Vino,405.14
CT000058,Bevande,147.78
CT000058,Carni,312.32
CT000058,Dispensa,322.57
CT000058,Latticini,271.2
CT000058,Vino,107.82
CT000059,Bevande,1271.02
CT000059,Carni,1244.3
CT000059,Dispensa,150.35
CT000059,Latticini,391.43
CT000059,Surgelati,113.26
CT000059,Vino,429.97
CT000060,Bevande,433.62
CT000060,Carni,191.85
CT000060,Dispensa,4.8
CT000060,Latticini,58.79
CT000060,Ortofrutta,190.5
CT000060,Pesce,460.71000000000004
CT000060,Surgelati,98.38
CT000060,Vino,1153.18
CT000061,Bevande,33.8
CT000061,Carni,294.79
CT000061,Dispensa,482.92
CT000061,Latticini,581.38
CT000061,Ortofrutta,89.15
CT000061,Pesce,320.58000000000004
CT000061,Vino,1356.57
CT000062,Bevande,617.77
CT000062,Carni,505.47
CT000062,Ortofrutta,248.74
CT000062,Pesce,336.65
CT000062,Surgelati,447.28
CT000062,Vino,1342.33
CT000063,Bevande,588.0
CT000063,Carni,578.6800000000001
CT000063,Dispensa,918.5899999999999
CT000063,Latticini,854.36
CT000063,Ortofrutta,199.86
CT000063,Pesce,390.89
CT000063,Surgelati,693.28
CT000063,Vino,1170.63
CT000064,Bevande,665.04
CT000064,Carni,401.53
CT000064,Dispensa,171.29000000000002
CT000064,Ortofrutta,228.55
CT000064,Pesce,25.25
CT000064,Surgelati,480.76
CT000065,Bevande,1001.0999999999999
CT000065,Carni,42.32
CT000065,Dispensa,249.93
CT000065,Latticini,614.15
CT000065,Ortofrutta,190.2
CT000065,Pesce,148.55
CT000065,Surgelati,106.08
CT000066,Bevande,233.54
CT000066,Carni,97.58
CT000066,Dispensa,783.3199999999999
CT000066,Latticini,165.08
CT000066,Ortofrutta,816.54
CT000066,Pesce,469.74
CT000066,Vino,974.4499999999999
CT000067,Carni,995.62
CT000067,Dispensa,460.94000000000005
CT000067,Pesce,236.01999999999998
CT000067,Surgelati,90.21
CT000067,Vino,41.74
CT000068,Bevande,667.77
CT000068,Carni,466.71000000000004
CT000068,Dispensa,923.97
CT000068,Latticini,883.59
CT000068,Ortofrutta,1050.69
CT000068,Pesce,481.92
CT000068,Surgelati,431.89
CT000068,Vino,1119.35
CT000069,Bevande,454.93
CT000069,Carni,188.84
CT000069,Dispensa,2.42
CT000069,Latticini,217.85999999999999
CT000069,Pesce,422.88
CT000069,Vino,280.82
CT000070,Bevande,1182.1699999999998
CT000070,Carni,211.58
CT000070,Dispensa,186.87
CT000070,Latticini,168.17000000000002
CT000070,Ortofrutta,265.91
CT000070,Pesce,1157.46
CT000070,Surgelati,424.78000000000003
CT000070,Vino,178.6
CT000071,Bevande,251.25
CT000071,Carni,495.38
CT000071,Dispensa,899.81
CT000071,Latticini,1569.6200000000001
CT000071,Ortofrutta,666.37
CT000071,Pesce,736.24
CT000071,Surgelati,403.12
CT000071,Vino,524.54
CT000072,Bevande,399.79
CT000072,Carni,512.82
CT000072,Dispensa,47.59
CT000072,Latticini,103.0
CT000072,Pesce,244.87
CT000073,Bevande,114.28999999999999
CT000073,Carni,90.97
CT000073,Dispensa,568.21
CT000073,Ortofrutta,349.40000000000003
CT000073,Pesce,157.52
CT000073,Vino,479.7
CT000074,Bevande,223.63
CT000074,Carni,802.56
CT000074,Latticini,559.7
CT000074,Ortofrutta,144.14
CT000074,Pesce,837.42
CT000074,Vino,1903.53
CT000075,Carni,599.4200000000001
CT000075,Dispensa,24.68
CT000075,Latticini,108.88
CT000075,Ortofrutta,327.54
CT000075,Pesce,11.91
CT000075,Vino,119.06
CT000076,Bevande,1146.56
CT000076,Carni,253.01
CT000076,Dispensa,142.70000000000002
CT000076,Latticini,550.59
CT000076,Pesce,254.02
CT000076,Surgelati,315.97
CT000076,Vino,705.0699999999999
CT000077,Bevande,480.24
CT000077,Carni,30.39
CT000077,Dispensa,240.02
CT000078,Bevande,824.04
CT000078,Carni,404.47
CT000078,Latticini,646.86
CT000078,Ortofrutta,404.11
CT000078,Surgelati,628.15
CT000078,Vino,774.3
CT000079,Bevande,42.86
CT000079,Dispensa,397.74
CT000079,Latticini,66.45
CT000079,Pesce,60.63
CT000080,Bevande,1332.81
CT000080,Carni,77.14
CT000080,Dispensa,730.95
CT000080,Latticini,1232.4
CT000080,Ortofrutta,860.84
CT000080,Pesce,927.26
CT000080,Vino,1242.8600000000001
CT000081,Bevande,397.53999999999996
CT000081,Carni,564.39
CT000081,Dispensa,57.51
CT000081,Latticini,571.26
CT000081,Ortofrutta,48.88
CT000081,Pesce,544.87
CT000081,Vino,121.47
CT000082,Bevande,1783.28
CT000082,Carni,779.98
CT000082,Dispensa,443.26
CT000082,Latticini,566.0
CT000082,Ortofrutta,199.77
CT000082,Pesce,703.78
CT000082,Surgelati,284.06
CT000082,Vino,3459.32
CT000083,Bevande,724.64
CT000083,Carni,149.69
CT000083,Dispensa,228.85999999999999
CT000083,Latticini,466.07
CT000083,Ortofrutta,687.49
CT000083,Pesce,570.95
CT000083,Vino,395.84999999999997
CT000084,Bevande,942.58
CT000084,Carni,131.37
CT000084,Dispensa,35.79
CT000084,Ortofrutta,313.71
CT000084,Surgelati,744.69
CT000084,Vino,400.3
CT000085,Bevande,229.87
CT000085,Carni,154.72
CT000085,Dispensa,296.48
CT000085,Latticini,327.72
CT000085,Ortofrutta,329.26
CT000085,Pesce,171.29
CT000085,Surgelati,164.28
CT000085,Vino,875.71
CT000086,Bevande,1057.65
CT000086,Carni,205.57999999999998
CT000086,Dispensa,159.98999999999998
CT000086,Latticini,95.41
CT000086,Surgelati,991.15
CT000086,Vino,651.72
CT000088,Carni,390.33
CT000088,Dispensa,14.49
CT000089,Dispensa,91.99
CT000089,Ortofrutta,93.94
CT000089,Vino,102.66
CT000090,Bevande,62.56
CT000090,Carni,1138.25
CT000090,Dispensa,701.3100000000001
CT000090,Latticini,308.09999999999997
CT000090,Ortofrutta,508.16
CT000090,Vino,664.98
CT000091,Latticini,170.69
CT000091,Vino,230.18
CT000092,Bevande,462.96
CT000092,Carni,113.42
CT000092,Dispensa,5.53
CT000092,Latticini,87.5
CT000092,Pesce,124.35
CT000092,Vino,981.46
CT000093,Bevande,1214.87
CT000093,Carni,463.75
CT000093,Dispensa,573.8399999999999
CT000093,Latticini,1537.39
CT000093,Ortofrutta,1572.11
CT000093,Pesce,723.1
CT000093,Surgelati,561.81
CT000094,Bevande,86.34
CT000094,Carni,18.29
CT000094,Dispensa,439.71
CT000094,Latticini,205.43
CT000094,Ortofrutta,465.1
CT000094,Pesce,148.74
CT000094,Surgelati,50.94
CT000094,Vino,111.07
CT000095,Bevande,679.64
CT000095,Carni,158.09
CT000095,Latticini,772.1
CT000095,Ortofrutta,82.69
CT000095,Pesce,1216.39
CT000095,Surgelati,429.31
CT000095,Vino,784.96
CT000096,Bevande,1070.1
CT000096,Carni,334.21000000000004
CT000096,Dispensa,194.45
CT000096,Ortofrutta,175.43
CT000096,Pesce,463.43
CT000096,Surgelati,97.91
CT000096,Vino,355.03999999999996
CT000097,Bevande,617.49
CT000097,Dispensa,49.83
CT000097,Latticini,38.59
CT000097,Pesce,406.90999999999997
CT000097,Vino,172.75
CT000098,Bevande,69.0
CT000098,Carni,638.16
CT000098,Latticini,288.9
CT000098,Ortofrutta,308.32
CT000098,Pesce,95.84
CT000099,Bevande,207.09
CT000099,Carni,195.64
CT000099,Dispensa,4.54
CT000099,Latticini,520.59
CT000099,Ortofrutta,245.81
CT000099,Vino,670.5699999999999
CT000100,Carni,317.05
CT000100,Ortofrutta,95.29
CT000100,Surgelati,331.27000000000004
CT000100,Vino,962.01
CT000101,Bevande,30.2
CT000101,Carni,330.94
CT000101,Dispensa,66.52
CT000101,Latticini,377.75
CT000101,Ortofrutta,1186.79
CT000101,Pesce,610.84
CT000101,Surgelati,59.59
CT000101,Vino,862.91
CT000102,Bevande,1139.62
CT000102,Carni,266.41999999999996
CT000102,Dispensa,585.39
CT000102,Latticini,141.94
CT000102,Ortofrutta,1355.67
CT000102,Pesce,895.6399999999999
CT000102,Surgelati,301.18
CT000102,Vino,2154.62
CT000103,Bevande,1145.93
CT000103,Carni,89.91
CT000103,Dispensa,199.63
CT000103,Latticini,398.65999999999997
CT000103,Ortofrutta,501.36
CT000103,Surgelati,691.38
CT000103,Vino,178.36
CT000104,Bevande,630.3399999999999
CT000104,Carni,363.44
CT000104,Dispensa,181.54
CT000104,Latticini,143.72
CT000104,Ortofrutta,965.84
CT000104,Pesce,861.1600000000001
CT000104,Surgelati,173.9
CT000104,Vino,1512.9
CT000105,Bevande,217.14000000000001
CT000105,Dispensa,1063.97
CT000105,Latticini,167.37
CT000105,Ortofrutta,793.17
CT000105,Pesce,227.82
CT000105,Vino,770.57
CT000107,Bevande,373.66
CT000107,Carni,1083.85
CT000107,Dispensa,1029.76
CT000107,Latticini,62.65
CT000107,Ortofrutta,340.99
CT000107,Pesce,95.72
CT000107,Vino,1094.0700000000002
CT000108,Bevande,803.13
CT000108,Carni,623.8299999999999
CT000108,Dispensa,36.88
CT000108,Latticini,20.1
CT000108,Ortofrutta,315.67
CT000108,Pesce,351.39
CT000108,Surgelati,427.73
CT000108,Vino,388.82
CT000109,Vino,430.27
CT000110,Carni,139.23
CT000110,Dispensa,346.35
CT000110,Latticini,20.53
CT000110,Pesce,210.14
CT000110,Vino,200.33
CT000111,Bevande,300.9
CT000111,Carni,551.97
CT000111,Dispensa,72.71
CT000111,Latticini,253.45
CT000111,Pesce,977.87
CT000111,Vino,255.45999999999998
CT000112,Bevande,1527.01
CT000112,Carni,150.92
CT000112,Dispensa,689.99
CT000112,Latticini,195.55
CT000112,Ortofrutta,575.38
CT000112,Pesce,95.5
CT000112,Vino,453.16
CT000113,Bevande,1045.24
CT000113,Carni,887.9300000000001
CT000113,Dispensa,278.56
CT000113,Latticini,252.0
CT000113,Ortofrutta,299.08
CT000113,Pesce,990.32
CT000113,Surgelati,150.85
CT000113,Vino,2011.09
CT000114,Bevande,2646.39
CT000114,Carni,1092.23
CT000114,Dispensa,1101.38
CT000114,Latticini,619.48
CT000114,Ortofrutta,1845.15
CT000114,Pesce,576.32
CT000114,Vino,2488.0
CT000115,Bevande,449.27
CT000115,Carni,737.39
CT000115,Dispensa,210.95
CT000115,Latticini,281.32
CT000115,Ortofrutta,548.48
CT000115,Pesce,439.17
CT000115,Surgelati,275.22
CT000116,Carni,59.28
CT000116,Dispensa,285.53
CT000117,Bevande,1308.45
CT000117,Carni,1888.19
CT000117,Dispensa,964.3
CT000117,Latticini,2182.18
CT000117,Ortofrutta,207.66
CT000117,Pesce,1581.4
CT000117,Surgelati,1054.76
CT000117,Vino,542.35
CT000118,Bevande,311.72
CT000118,Latticini,680.44
CT000118,Surgelati,60.09
CT000118,Vino,198.85
CT000119,Bevande,302.87
CT000119,Carni,952.03
CT000119,Dispensa,721.28
CT000119,Latticini,375.85
CT000119,Ortofrutta,609.62
CT000119,Pesce,207.19
CT000119,Surgelati,89.01
CT000119,Vino,283.9
CT000120,Dispensa,53.07
CT000120,Latticini,613.84
CT000120,Pesce,35.73
CT000120,Surgelati,109.07
CT000120,Vino,1154.23
CT000121,Bevande,874.5200000000001
CT000121,Carni,154.31
CT000121,Ortofrutta,32.13
CT000121,Pesce,36.56
CT000121,Vino,1302.56
CT000122,Bevande,231.56
CT000122,Carni,1259.2
CT000122,Dispensa,195.83
CT000122,Latticini,337.14
CT000122,Ortofrutta,689.49
CT000122,Pesce,1296.65
CT000122,Surgelati,330.01
CT000122,Vino,655.61
CT000123,Bevande,729.78
CT000123,Carni,1330.4599999999998
CT000123,Dispensa,198.25
CT000123,Latticini,538.01
CT000123,Ortofrutta,950.23
CT000123,Pesce,1145.3899999999999
CT000123,Surgelati,449.55
CT000123,Vino,1878.3000000000002
CT000124,Carni,362.64
CT000124,Latticini,1700.15
CT000124,Ortofrutta,288.65
CT000124,Surgelati,24.98
CT000125,Bevande,1005.69
CT000125,Carni,235.48
CT000125,Ortofrutta,761.6700000000001
CT000125,Surgelati,314.68
CT000125,Vino,603.93
CT000126,Bevande,269.1
CT000126,Carni,88.73
CT000126,Dispensa,52.95
CT000126,Latticini,301.72
CT000126,Pesce,114.19
CT000126,Vino,53.56
CT000127,Bevande,980.15
CT000127,Carni,73.55
CT000127,Dispensa,265.11
CT000127,Latticini,13.39
CT000127,Ortofrutta,690.28
CT000127,Pesce,90.76
CT000127,Vino,909.86
CT000128,Bevande,398.58
CT000128,Dispensa,1141.44
CT000128,Latticini,863.48
CT000128,Ortofrutta,173.14999999999998
CT000128,Pesce,144.24
CT000128,Vino,290.42
CT000129,Bevande,234.02
CT000129,Carni,199.2
CT000129,Dispensa,86.98
CT000129,Ortofrutta,186.54
CT000129,Pesce,994.02
CT000129,Surgelati,396.86
CT000129,Vino,595.97
CT000130,Bevande,324.23
CT000130,Carni,1127.66
CT000130,Dispensa,279.72
CT000130,Latticini,1090.85
CT000130,Ortofrutta,11.97
CT000130,Pesce,958.81
CT000130,Surgelati,124.12
CT000130,Vino,910.9699999999999
CT000131,Bevande,984.9200000000001
CT000131,Carni,758.6
CT000131,Dispensa,325.47
CT000131,Latticini,321.16999999999996
CT000131,Ortofrutta,558.06
CT000131,Pesce,373.7
CT000131,Surgelati,132.92
CT000131,Vino,1015.71
CT000132,Bevande,1075.85
CT000132,Carni,429.15000000000003
CT000132,Dispensa,619.54
CT000132,Latticini,762.87
CT000132,Ortofrutta,38.76
CT000132,Pesce,656.79
CT000132,Vino,2877.86
CT000133,Latticini,148.08
CT000133,Pesce,205.05
CT000133,Vino,91.0
CT000134,Bevande,505.92999999999995
CT000134,Carni,911.3900000000001
CT000134,Dispensa,356.62
CT000134,Latticini,656.86
CT000134,Ortofrutta,611.29
CT000134,Pesce,130.41
CT000134,Vino,635.02
CT000135,Bevande,623.3299999999999
CT000135,Carni,579.29
CT000135,Dispensa,185.51
CT000135,Latticini,861.4
CT000135,Ortofrutta,137.0
CT000135,Pesce,622.8
CT000135,Vino,453.0
CT000136,Bevande,797.97
CT000136,Dispensa,110.08
CT000136,Latticini,596.8299999999999
CT000136,Ortofrutta,1350.71
CT000136,Pesce,104.49000000000001
CT000136,Vino,1066.6100000000001
CT000137,Bevande,1083.91
CT000137,Carni,1085.26
CT000137,Dispensa,497.97999999999996
CT000137,Latticini,685.1999999999999
CT000137,Ortofrutta,1271.44
CT000137,Pesce,566.68
CT000137,Surgelati,678.77
CT000137,Vino,559.14
CT000138,Bevande,665.94
CT000138,Carni,796.42
CT000138,Dispensa,345.65
CT000138,Latticini,989.1300000000001
CT000138,Ortofrutta,1414.1000000000001
CT000138,Pesce,1033.62
CT000138,Surgelati,1165.8899999999999
CT000138,Vino,994.28
CT000139,Bevande,363.62
CT000139,Carni,218.16
CT000139,Dispensa,15.27
CT000139,Latticini,31.5
CT000139,Ortofrutta,664.27
CT000139,Pesce,130.7
CT000139,Vino,549.81
CT000140,Carni,576.88
CT000140,Dispensa,16.51
CT000140,Latticini,1362.81
CT000140,Ortofrutta,800.13
CT000140,Pesce,138.09
CT000140,Surgelati,672.06
CT000140,Vino,600.99
CT000141,Bevande,78.08
CT000141,Carni,987.6500000000001
CT000141,Dispensa,697.5799999999999
CT000141,Latticini,887.99
CT000141,Ortofrutta,1136.72
CT000141,Pesce,568.3199999999999
CT000141,Surgelati,171.4
CT000141,Vino,1779.29
CT000142,Bevande,242.7
CT000142,Carni,987.9100000000001
CT000142,Dispensa,115.58
CT000142,Latticini,940.46
CT000142,Ortofrutta,310.32
CT000142,Pesce,668.09
CT000142,Surgelati,38.16
CT000143,Bevande,1009.4
CT000143,Carni,397.67
CT000143,Dispensa,411.36
CT000143,Latticini,405.76
CT000143,Ortofrutta,564.5
CT000143,Pesce,30.87
CT000143,Surgelati,387.57
CT000143,Vino,908.79
CT000144,Bevande,684.85
CT000144,Carni,344.42999999999995
CT000144,Latticini,185.4
CT000144,Ortofrutta,124.17
CT000144,Surgelati,324.95
CT000145,Bevande,995.27
CT000145,Carni,432.87
CT000145,Dispensa,1043.67
CT000145,Latticini,350.49
CT000145,Ortofrutta,343.36
CT000145,Pesce,385.65
CT000145,Surgelati,590.87
CT000145,Vino,1764.36
CT000146,Bevande,66.15
CT000146,Carni,1010.6
CT000146,Dispensa,35.88
CT000146,Latticini,770.71
CT000146,Ortofrutta,44.38
CT000146,Pesce,510.40999999999997
CT000146,Surgelati,241.49
CT000146,Vino,400.35
CT000147,Bevande,92.04
CT000147,Carni,375.27
CT000147,Dispensa,562.4
CT000147,Latticini,1370.13
CT000147,Ortofrutta,1079.31
CT000147,Pesce,814.98
CT000147,Surgelati,38.86
CT000148,Bevande,1171.8
CT000148,Carni,38.14
CT000148,Dispensa,206.12
CT000148,Latticini,396.26
CT000148,Ortofrutta,223.94
CT000148,Pesce,949.46
CT000148,Surgelati,400.3
CT000148,Vino,1111.13
CT000149,Bevande,141.04
CT000149,Carni,360.16
CT000149,Ortofrutta,569.41
CT000149,Pesce,585.52
CT000149,Vino,301.53
CT000150,Bevande,213.56
CT000150,Carni,523.32
CT000150,Dispensa,630.26
CT000150,Latticini,1695.57
CT000150,Ortofrutta,274.31
CT000150,Pesce,740.4300000000001
CT000150,Surgelati,327.24
CT000150,Vino,1285.6
CT000151,Bevande,389.6
CT000151,Carni,49.47
CT000151,Latticini,470.07
CT000151,Ortofrutta,370.48
CT000151,Pesce,167.95
CT000152,Bevande,76.34
