TransactionId,TransactionDateTime,StoreId,Currency,PaymentMethod,DiscountEUR,CustomerId,AccountId,ContactId,AnonymousShopperId,TotalNetAmountEUR,Year,Month,Day
TR00000028,2024-01-11 10:00:00,ST032,EUR,BankTransfer,0.58,CU000108,AC00443,,,94.11,2024,1,11
TR00000029,2025-08-05 06:00:00,ST034,EUR,Card,0.0,CU000016,AC00007,,,1980.58,2025,8,5
TR00000030,2024-09-28 01:00:00,ST017,EUR,Card,7.4,CU000053,AC00029,CO000020,,1864.53,2024,9,28
TR00000031,2025-08-18 10:00:00,ST013,EUR,Card,3.62,CU000107,AC00485,,,157.84,2025,8,18
TR00000032,2025-04-03 22:00:00,ST001,EUR,Card,3.32,,,,AN000646,160.16,2025,4,3
TR00000033,2025-04-15 02:00:00,ST005,EUR,Invoice,0.0,,,,AN000572,110.62,2025,4,15
TR00000034,2025-02-14 00:00:00,ST009,EUR,Card,6.69,,,,AN000770,233.91,2025,2,14
TR00000035,2025-11-17 03:00:00,ST028,EUR,Card,27.88,,,,AN000049,209.43,2025,11,17
TR00000036,2025-07-09 05:00:00,ST039,EUR,Card,11.02,,,,AN000516,768.19,2025,7,9
TR00000037,2024-04-30 21:00:00,ST027,EUR,Card,7.29,CU000545,AC00370,,,119.9,2024,4,30
TR00000038,2024-06-12 08:00:00,ST013,EUR,Card,6.18,,,,AN000787,1439.09,2024,6,12
TR00000039,2024-12-23 21:00:00,ST025,EUR,Card,0.0,,,,AN000408,489.34,2024,12,23
TR00000040,2025-03-20 00:00:00,ST021,EUR,Card,0.21,CU000519,AC00042,,,25.01,2025,3,20
TR00000041,2024-05-07 02:00:00,ST025,EUR,Card,0.0,CU000297,AC00014,,,649.27,2024,5,7
TR00000042,2025-09-12 20:00:00,ST011,EUR,Card,0.0,CU000290,AC00056,,,2071.92,2025,9,12
TR00000043,2024-12-01 10:00:00,ST021,EUR,Card,0.0,CU000480,AC00311,CO000708,,21.84,2024,12,1
TR00000044,2025-11-23 09:00:00,ST022,EUR,Card,17.21,CU000200,AC00192,,,1175.24,2025,11,23
TR00000045,2024-01-05 05:00:00,ST039,EUR,Cash,0.41,,,,AN000692,648.73,2024,1,5
TR00000046,2024-07-26 22:00:00,ST013,EUR,Card,9.1,CU000124,AC00135,CO000492,,567.96,2024,7,26
TR00000047,2024-04-03 16:00:00,ST033,EUR,Card,9.56,CU000449,AC00420,,,229.18,2024,4,3
TR00000048,2025-06-26 00:00:00,ST028,EUR,Card,22.77,CU000484,AC00154,,,297.64,2025,6,26
TR00000049,2025-04-05 08:00:00,ST005,EUR,Invoice,4.47,CU000165,AC00107,CO000516,,1005.34,2025,4,5
TR00000050,2025-07-23 10:00:00,ST032,EUR,BankTransfer,5.99,,,,AN000145,522.8,2025,7,23
TR00000051,2024-02-25 09:00:00,ST027,EUR,Invoice,19.82,,,,AN000657,481.98,2024,2,25
TR00000052,2024-06-24 08:00:00,ST024,EUR,Card,6.65,CU000237,AC00576,,,202.91,2024,6,24
TR00000053,2024-02-25 16:00:00,ST008,EUR,Cash,0.0,,,,AN000615,438.27,2024,2,25
TR00000054,2025-06-12 22:00:00,ST007,EUR,Invoice,3.74,CU000443,AC00015,CO000755,,114.89,2025,6,12
TR00000055,2025-07-01 20:00:00,ST007,EUR,Card,4.16,CU000022,AC00323,CO000597,,1585.51,2025,7,1
TR00000056,2025-06-03 11:00:00,ST029,EUR,Card,0.0,CU000107,AC00485,,,258.37,2025,6,3
TR00000057,2024-11-15 07:00:00,ST033,EUR,Invoice,7.7,CU000092,AC00268,CO000986,,499.69,2024,11,15
TR00000058,2025-09-03 12:00:00,ST026,EUR,Card,7.39,,,,AN000772,239.7,2025,9,3
TR00000059,2024-07-23 00:00:00,ST021,EUR,BankTransfer,0.0,CU000392,AC00293,CO000322,,551.42,2024,7,23
TR00000060,2024-01-05 21:00:00,ST029,EUR,Card,4.81,CU000403,AC00003,CO000662,,0.0,2024,1,5
TR00000061,2025-09-16 04:00:00,ST020,EUR,Card,0.0,CU000290,AC00056,,,870.57,2025,9,16
TR00000062,2025-07-22 15:00:00,ST017,EUR,Card,6.47,CU000090,AC00344,CO000253,,705.58,2025,7,22
TR00000063,2024-06-28 21:00:00,ST025,EUR,Card,9.51,CU000047,AC00242,,,376.32,2024,6,28
TR00000064,2024-05-26 20:00:00,ST023,EUR,Invoice,10.31,,,,AN000410,325.89,2024,5,26
TR00000065,2025-09-08 09:00:00,ST033,EUR,Card,3.51,CU000222,AC00463,CO000441,,154.7,2025,9,8
TR00000066,2025-01-24 15:00:00,ST003,EUR,Card,2.76,CU000219,AC00081,CO000300,,407.57,2025,1,24
TR00000067,2024-03-23 18:00:00,ST002,EUR,Card,1.58,CU000517,AC00152,,,90.23,2024,3,23
TR00000068,2025-06-09 12:00:00,ST028,EUR,Card,4.56,CU000166,AC00554,,,2275.44,2025,6,9
TR00000069,2025-09-30 01:00:00,ST039,EUR,Invoice,7.92,CU000438,AC00373,,,453.67,2025,9,30
TR00000070,2024-01-15 04:00:00,ST038,EUR,Invoice,4.75,CU000465,AC00282,,,1255.22,2024,1,15
TR00000071,2024-06-29 04:00:00,ST012,EUR,Card,0.0,,,,AN000489,508.03,2024,6,29
TR00000072,2024-12-16 00:00:00,ST022,EUR,Card,11.01,CU000493,AC00415,,,332.21,2024,12,16
TR00000073,2024-06-24 05:00:00,ST027,EUR,Invoice,0.0,,,,AN000730,251.28,2024,6,24
TR00000074,2024-09-18 13:00:00,ST013,EUR,Card,0.0,CU000145,AC00041,CO000004,,232.52,2024,9,18
TR00000075,2025-02-08 02:00:00,ST006,EUR,BankTransfer,16.6,CU000259,AC00585,CO000543,,128.03,2025,2,8
TR00000076,2025-11-13 08:00:00,ST029,EUR,Card,3.1,CU000176,AC00518,CO000380,,0.0,2025,11,13
TR00000077,2024-02-10 05:00:00,ST014,EUR,Card,26.44,,,,AN000282,169.16,2024,2,10
TR00000078,2024-03-12 11:00:00,ST004,EUR,Card,11.38,CU000160,AC00529,CO000415,,355.36,2024,3,12
TR00000079,2024-10-30 12:00:00,ST019,EUR,Cash,13.66,,,,AN000599,763.76,2024,10,30
TR00000080,2024-02-22 06:00:00,ST010,EUR,Invoice,20.81,CU000007,AC00254,CO000031,,283.69,2024,2,22
TR00000081,2024-07-11 14:00:00,ST009,EUR,Cash,11.5,CU000288,AC00561,CO000520,,362.7,2024,7,11
TR00000082,2024-05-02 20:00:00,ST014,EUR,Invoice,0.0,,,,AN000344,435.05,2024,5,2
TR00000083,2025-05-08 05:00:00,ST006,EUR,Card,0.99,CU000098,AC00177,CO000048,,198.67,2025,5,8
TR00000084,2025-08-26 19:00:00,ST034,EUR,Cash,7.12,,,,AN000293,968.19,2025,8,26
TR00000085,2024-03-07 22:00:00,ST013,EUR,Invoice,10.65,CU000177,AC00544,CO000261,,510.99,2024,3,7
TR00000086,2025-04-29 19:00:00,ST028,EUR,Card,2.21,,,,AN000467,759.11,2025,4,29
TR00000087,2024-11-07 03:00:00,ST017,EUR,Cash,0.0,CU000018,AC00548,,,1033.92,2024,11,7
TR00000088,2024-03-01 04:00:00,ST033,EUR,Invoice,8.34,CU000003,AC00451,CO000676,,85.63,2024,3,1
TR00000089,2024-02-26 16:00:00,ST020,EUR,Invoice,4.64,CU000408,AC00355,CO000716,,474.56,2024,2,26
TR00000090,2024-02-22 09:00:00,ST021,EUR,Card,0.0,CU000195,AC00321,CO000242,,127.63,2024,2,22
TR00000091,2024-05-05 00:00:00,ST039,EUR,Card,4.14,,,,AN000052,520.25,2024,5,5
TR00000092,2025-06-22 06:00:00,ST008,EUR,Invoice,0.0,,,,AN000727,386.73,2025,6,22
TR00000093,2025-11-11 10:00:00,ST004,EUR,Cash,4.84,CU000503,AC00510,,,400.34,2025,11,11
TR00000094,2024-08-03 02:00:00,ST004,EUR,Card,12.42,,,,AN000354,126.23,2024,8,3
TR00000095,2025-12-15 17:00:00,ST024,EUR,Card,19.51,CU000128,AC00108,,,0.0,2025,12,15
TR00000096,2025-10-24 13:00:00,ST013,EUR,Cash,20.78,CU000389,AC00341,,,0.0,2025,10,24
TR00000097,2024-06-30 13:00:00,ST032,EUR,Cash,0.0,,,,AN000320,417.63,2024,6,30
TR00000098,2025-06-13 21:00:00,ST025,EUR,Invoice,7.12,,,,AN000240,1066.49,2025,6,13
TR00000099,2024-01-28 01:00:00,ST018,EUR,Card,12.88,CU000496,AC00591,CO000650,,186.6,2024,1,28
TR00000100,2024-10-31 07:00:00,ST030,EUR,Card,2.94,,,,AN000654,962.87,2024,10,31
TR00000101,2024-12-13 22:00:00,ST017,EUR,Invoice,0.0,CU000160,AC00529,CO000495,,924.35,2024,12,13
TR00000102,2025-10-24 20:00:00,ST030,EUR,BankTransfer,0.13,,,,AN000493,239.03,2025,10,24
TR00000103,2025-02-23 10:00:00,ST005,EUR,Invoice,13.72,CU000296,AC00330,CO000169,,0.0,2025,2,23
TR00000104,2024-03-29 19:00:00,ST013,EUR,Card,0.0,CU000544,AC00087,,,860.58,2024,3,29
TR00000105,2024-06-07 05:00:00,ST032,EUR,Invoice,0.5,CU000029,AC00464,,,456.8,2024,6,7
TR00000106,2024-12-14 16:00:00,ST035,EUR,Invoice,0.0,CU000477,AC00250,,,0.0,2024,12,14
TR00000107,2026-01-13 04:00:00,ST016,EUR,Card,15.81,CU000461,AC00173,CO000130,,493.88,2026,1,13
TR00000108,2025-03-12 14:00:00,ST035,EUR,Card,5.38,,,,AN000445,0.0,2025,3,12
TR00000109,2024-03-16 04:00:00,ST023,EUR,Invoice,0.0,,,,AN000100,398.71,2024,3,16
TR00000110,2025-06-08 23:00:00,ST030,EUR,Card,0.0,CU000058,AC00414,,,0.0,2025,6,8
TR00000111,2025-02-21 03:00:00,ST030,EUR,Card,20.61,CU000119,AC00203,,,1784.95,2025,2,21
TR00000112,2024-05-28 10:00:00,ST004,EUR,Card,6.22,CU000545,AC00370,,,1173.81,2024,5,28
TR00000113,2025-02-28 23:00:00,ST008,EUR,Card,1.13,CU000351,AC00092,CO000843,,1790.71,2025,2,28
TR00000114,2024-08-13 06:00:00,ST027,EUR,Card,0.0,CU000068,AC00271,CO000952,,352.2,2024,8,13
TR00000115,2024-10-07 21:00:00,ST015,EUR,Invoice,19.73,,,,AN000241,183.3,2024,10,7
TR00000116,2025-09-23 23:00:00,ST031,EUR,Invoice,7.92,CU000403,AC00003,,,666.85,2025,9,23
TR00000117,2025-08-28 22:00:00,ST009,EUR,Cash,0.15,CU000395,AC00486,CO000406,,560.46,2025,8,28
TR00000118,2025-03-14 23:00:00,ST029,EUR,Card,0.0,,,,AN000189,1879.98,2025,3,14
TR00000119,2025-08-07 07:00:00,ST022,EUR,Card,7.71,,,,AN000436,0.0,2025,8,7
TR00000120,2024-10-19 10:00:00,ST009,EUR,Card,0.0,CU000454,AC00346,CO000959,,428.59,2024,10,19
TR00000121,2024-10-10 13:00:00,ST005,EUR,Cash,11.09,CU000451,AC00306,CO000069,,628.74,2024,10,10
TR00000122,2025-03-06 13:00:00,ST015,EUR,Invoice,0.0,,,,AN000314,360.41,2025,3,6
TR00000123,2025-08-31 21:00:00,ST006,EUR,Card,0.59,CU000213,AC00174,,,886.27,2025,8,31
TR00000124,2024-06-23 23:00:00,ST019,EUR,Invoice,21.22,CU000432,AC00468,CO000139,,1914.23,2024,6,23
TR00000125,2024-09-21 23:00:00,ST027,EUR,Invoice,14.28,CU000067,AC00142,,,801.45,2024,9,21
TR00000126,2024-09-22 16:00:00,ST019,EUR,Card,8.42,CU000424,AC00067,CO000823,,1579.24,2024,9,22
TR00000127,2024-11-17 10:00:00,ST005,EUR,Card,13.53,,,,AN000124,187.71,2024,11,17
TR00000128,2025-05-21 19:00:00,ST038,EUR,Card,0.0,,,,AN000399,1068.45,2025,5,21
TR00000129,2025-02-21 19:00:00,ST012,EUR,Card,3.72,CU000106,AC00530,,,763.93,2025,2,21
TR00000130,2025-03-17 03:00:00,ST004,EUR,Invoice,1.7,CU000287,AC00365,CO000815,,420.2,2025,3,17
TR00000131,2025-03-31 14:00:00,ST006,EUR,Card,5.12,,,,AN000520,170.24,2025,3,31
TR00000132,2025-12-21 08:00:00,ST020,EUR,Cash,0.0,,,,AN000078,138.79,2025,12,21
TR00000133,2024-08-11 18:00:00,ST007,EUR,Invoice,3.38,CU000414,AC00369,,,686.51,2024,8,11
TR00000134,2025-11-19 20:00:00,ST022,EUR,Invoice,1.39,CU000463,AC00065,CO000999,,175.47,2025,11,19
TR00000135,2024-05-06 11:00:00,ST015,EUR,Card,0.05,CU000196,AC00077,CO000393,,3626.48,2024,5,6
TR00000136,2025-10-17 09:00:00,ST015,EUR,Card,6.57,CU000057,AC00593,CO000272,,91.49,2025,10,17
TR00000137,2024-04-02 14:00:00,ST016,EUR,Card,7.06,CU000150,AC00169,,,516.74,2024,4,2
TR00000138,2024-01-09 16:00:00,ST012,EUR,Card,7.99,,,,AN000242,179.99,2024,1,9
TR00000139,2024-03-17 05:00:00,ST033,EUR,Card,17.6,,,,AN000784,151.51,2024,3,17
TR00000140,2026-01-11 00:00:00,ST015,EUR,Invoice,4.47,CU000003,AC00451,,,522.54,2026,1,11
TR00000141,2024-08-02 21:00:00,ST008,EUR,Card,0.0,CU000012,AC00088,CO000297,,373.97,2024,8,2
TR00000142,2025-04-24 12:00:00,ST040,EUR,Card,0.0,CU000420,AC00101,CO000047,,553.64,2025,4,24
TR00000143,2025-12-08 00:00:00,ST026,EUR,Card,4.46,,,,AN000327,587.96,2025,12,8
TR00000144,2025-03-25 10:00:00,ST029,EUR,Card,10.27,CU000326,AC00045,CO000039,,0.0,2025,3,25
TR00000145,2024-04-01 23:00:00,ST036,EUR,Card,25.1,CU000291,AC00025,CO000280,,514.26,2024,4,1
TR00000146,2025-04-08 02:00:00,ST033,EUR,Card,3.57,CU000550,AC00028,CO000038,,767.33,2025,4,8
TR00000147,2025-05-19 02:00:00,ST039,EUR,Card,9.1,CU000382,AC00411,,,0.0,2025,5,19
TR00000148,2025-10-17 04:00:00,ST003,EUR,Card,0.0,,,,AN000711,438.9,2025,10,17
TR00000149,2024-08-15 10:00:00,ST011,EUR,Card,0.0,,,,AN000625,718.61,2024,8,15
TR00000150,2025-03-23 18:00:00,ST026,EUR,Cash,6.77,,,,AN000639,115.94,2025,3,23
TR00000151,2024-07-05 02:00:00,ST001,EUR,Card,11.6,CU000047,AC00242,CO000509,,0.0,2024,7,5
TR00000152,2024-03-19 03:00:00,ST009,EUR,Card,13.53,,,,AN000410,13.15,2024,3,19
TR00000153,2024-01-19 11:00:00,ST038,EUR,Invoice,5.24,,,,AN000724,1590.21,2024,1,19
TR00000154,2024-05-03 10:00:00,ST002,EUR,Card,9.63,CU000259,AC00585,,,1980.58,2024,5,3
TR00000155,2025-07-27 22:00:00,ST023,EUR,Card,1.45,,,,AN000756,761.94,2025,7,27
TR00000156,2025-12-15 19:00:00,ST033,EUR,Invoice,9.13,CU000225,AC00533,,,258.66,2025,12,15
TR00000157,2024-08-19 11:00:00,ST013,EUR,Card,5.65,,,,AN000100,385.37,2024,8,19
TR00000158,2025-06-23 05:00:00,ST005,EUR,Card,11.55,CU000507,AC00594,CO000919,,971.62,2025,6,23
TR00000159,2024-04-25 04:00:00,ST036,EUR,Cash,11.4,CU000107,AC00485,,,65.39,2024,4,25
TR00000160,2024-09-16 18:00:00,ST004,EUR,Card,8.77,CU000302,AC00284,CO000305,,523.02,2024,9,16
TR00000161,2025-12-04 22:00:00,ST018,EUR,Invoice,0.27,,,,AN000542,199.2,2025,12,4
TR00000162,2024-04-08 18:00:00,ST010,EUR,Invoice,0.0,CU000505,AC00460,CO000643,,56.72,2024,4,8
TR00000163,2025-09-19 01:00:00,ST025,EUR,Card,16.51,CU000520,AC00559,CO000657,,185.51,2025,9,19
TR00000164,2025-10-21 11:00:00,ST028,EUR,Invoice,16.49,,,,AN000327,514.69,2025,10,21
TR00000165,2024-05-03 01:00:00,ST025,EUR,Invoice,3.39,CU000084,AC00449,CO000825,,0.0,2024,5,3
TR00000166,2025-07-30 14:00:00,ST038,EUR,Card,3.35,,,,AN000479,227.01,2025,7,30
TR00000167,2025-03-10 13:00:00,ST034,EUR,Card,20.75,,,,AN000749,474.17,2025,3,10
TR00000168,2025-11-30 16:00:00,ST006,EUR,Card,10.03,CU000426,AC00417,,,576.05,2025,11,30
TR00000169,2024-09-04 23:00:00,ST013,EUR,Invoice,0.0,,,,AN000230,358.1,2024,9,4
TR00000170,2025-03-31 09:00:00,ST029,EUR,Card,2.0,CU000329,AC00392,CO000741,,517.89,2025,3,31
TR00000171,2024-06-15 01:00:00,ST026,EUR,Card,11.83,CU000521,AC00490,,,651.72,2024,6,15
TR00000172,2025-05-14 18:00:00,ST036,EUR,Invoice,8.89,,,,AN000100,1275.31,2025,5,14
TR00000173,2024-11-03 12:00:00,ST021,EUR,Card,6.67,CU000159,AC00102,CO000780,,280.63,2024,11,3
TR00000174,2024-03-27 05:00:00,ST005,EUR,Cash,0.0,,,,AN000403,535.89,2024,3,27
TR00000175,2024-02-07 21:00:00,ST029,EUR,Cash,2.9,CU000477,AC00250,CO000260,,573.62,2024,2,7
TR00000176,2024-04-18 02:00:00,ST003,EUR,Cash,10.51,,,,AN000227,319.74,2024,4,18
TR00000177,2025-09-30 14:00:00,ST005,EUR,Card,15.13,,,,AN000503,981.05,2025,9,30
TR00000178,2024-09-20 18:00:00,ST008,EUR,Cash,29.01,CU000550,AC00028,CO000467,,883.08,2024,9,20
TR00000179,2024-03-10 15:00:00,ST024,EUR,Card,6.02,,,,AN000589,105.64,2024,3,10
TR00000180,2024-02-07 15:00:00,ST001,EUR,Card,0.0,CU000450,AC00150,,,228.87,2024,2,7
TR00000181,2024-09-03 01:00:00,ST021,EUR,Card,9.72,CU000371,AC00291,,,725.25,2024,9,3
TR00000182,2024-01-26 05:00:00,ST010,EUR,Invoice,0.0,,,,AN000095,1413.68,2024,1,26
TR00000183,2025-03-13 14:00:00,ST017,EUR,Invoice,7.01,,,,AN000612,349.68,2025,3,13
TR00000184,2025-05-07 07:00:00,ST032,EUR,Invoice,8.39,CU000506,AC00245,,,45.62,2025,5,7
TR00000185,2024-05-21 16:00:00,ST024,EUR,Invoice,8.54,CU000125,AC00132,,,180.53,2024,5,21
TR00000186,2024-09-22 04:00:00,ST021,EUR,Card,17.03,CU000282,AC00596,CO000674,,555.53,2024,9,22
TR00000187,2025-12-02 12:00:00,ST014,EUR,Invoice,0.12,CU000431,AC00348,,,550.36,2025,12,2
TR00000188,2024-04-21 03:00:00,ST009,EUR,Card,1.48,CU000434,AC00573,CO000928,,145.4,2024,4,21
TR00000189,2024-03-30 06:00:00,ST002,EUR,Card,11.53,,,,AN000429,49.15,2024,3,30
TR00000190,2026-01-05 03:00:00,ST016,EUR,Card,20.48,CU000043,AC00146,CO000619,,0.0,2026,1,5
TR00000191,2025-11-29 05:00:00,ST013,EUR,Card,7.71,CU000100,AC00333,,,663.66,2025,11,29
TR00000192,2025-01-20 05:00:00,ST003,EUR,Invoice,0.0,,,,AN000161,430.82,2025,1,20
TR00000193,2024-08-03 05:00:00,ST026,EUR,Card,0.0,,,,AN000582,116.83,2024,8,3
TR00000194,2024-04-16 01:00:00,ST006,EUR,Card,1.39,CU000226,AC00465,,,251.83,2024,4,16
TR00000195,2025-10-23 14:00:00,ST034,EUR,Card,5.77,,,,AN000132,268.67,2025,10,23
TR00000196,2024-12-31 17:00:00,ST002,EUR,Card,14.12,,,,AN000286,0.0,2024,12,31
TR00000197,2024-01-18 04:00:00,ST008,EUR,Card,0.0,CU000550,AC00028,,,490.56,2024,1,18
TR00000198,2024-05-19 23:00:00,ST030,EUR,Card,0.0,CU000414,AC00369,CO000964,,0.0,2024,5,19
TR00000199,2025-04-18 17:00:00,ST023,EUR,Card,13.43,CU000055,AC00413,,,1616.4,2025,4,18
TR00000200,2025-06-18 01:00:00,ST016,EUR,Card,0.37,,,,AN000069,671.0,2025,6,18
TR00000201,2025-05-20 15:00:00,ST011,EUR,Card,8.6,CU000172,AC00459,,,0.0,2025,5,20
TR00000202,2025-11-06 16:00:00,ST010,EUR,Card,0.0,CU000560,AC00240,CO000143,,1088.75,2025,11,6
TR00000203,2025-05-13 10:00:00,ST018,EUR,Card,4.89,,,,AN000413,142.85,2025,5,13
TR00000204,2025-12-02 21:00:00,ST014,EUR,Cash,0.0,,,,AN000223,130.55,2025,12,2
TR00000205,2024-12-06 18:00:00,ST026,EUR,Card,18.98,CU000360,AC00223,CO000499,,82.43,2024,12,6
TR00000206,2025-04-06 04:00:00,ST031,EUR,Invoice,0.0,CU000024,AC00445,CO000340,,676.69,2025,4,6
TR00000207,2024-03-08 09:00:00,ST039,EUR,Card,12.17,CU000195,AC00321,CO000242,,737.05,2024,3,8
TR00000208,2025-07-14 02:00:00,ST027,EUR,Card,11.75,CU000228,AC00032,CO000400,,1758.01,2025,7,14
TR00000209,2025-12-26 14:00:00,ST023,EUR,Card,23.66,CU000316,AC00111,,,184.85,2025,12,26
TR00000210,2025-09-24 05:00:00,ST007,EUR,Card,13.33,CU000455,AC00479,,,288.57,2025,9,24
TR00000211,2024-07-19 06:00:00,ST027,EUR,Card,5.1,CU000038,AC00366,CO000926,,327.43,2024,7,19
TR00000212,2024-11-08 06:00:00,ST039,EUR,Card,8.88,CU000486,AC00337,,,434.67,2024,11,8
TR00000213,2024-04-30 12:00:00,ST037,EUR,Card,14.97,CU000475,AC00116,CO000458,,0.0,2024,4,30
TR00000214,2025-09-26 13:00:00,ST001,EUR,Card,13.43,CU000501,AC00405,CO000090,,886.69,2025,9,26
TR00000215,2025-08-09 00:00:00,ST002,EUR,Card,15.29,,,,AN000366,386.1,2025,8,9
TR00000216,2024-11-03 06:00:00,ST019,EUR,Card,26.76,,,,AN000183,633.72,2024,11,3
TR00000217,2025-08-15 03:00:00,ST001,EUR,Invoice,14.58,,,,AN000116,12.44,2025,8,15
TR00000218,2025-01-13 18:00:00,ST035,EUR,Card,4.76,,,,AN000021,1308.7,2025,1,13
TR00000219,2025-08-15 12:00:00,ST016,EUR,Card,9.95,CU000356,AC00047,CO000581,,298.5,2025,8,15
TR00000220,2024-01-27 15:00:00,ST007,EUR,Card,0.86,CU000487,AC00517,CO000838,,197.84,2024,1,27
TR00000221,2025-02-21 05:00:00,ST017,EUR,Invoice,10.49,,,,AN000757,96.36,2025,2,21
TR00000222,2025-06-16 03:00:00,ST028,EUR,Card,3.14,CU000467,AC00335,CO000531,,0.0,2025,6,16
TR00000223,2025-10-29 21:00:00,ST019,EUR,Card,4.65,CU000427,AC00204,,,135.01,2025,10,29
TR00000224,2024-03-24 23:00:00,ST028,EUR,Invoice,3.75,,,,AN000313,79.24,2024,3,24
TR00000225,2024-07-23 09:00:00,ST031,EUR,Card,0.0,,,,AN000670,603.94,2024,7,23
TR00000226,2024-02-21 19:00:00,ST011,EUR,Cash,11.82,CU000486,AC00337,,,109.39,2024,2,21
TR00000227,2024-05-02 00:00:00,ST005,EUR,Invoice,0.0,,,,AN000386,1022.47,2024,5,2
TR00000228,2024-11-29 02:00:00,ST035,EUR,Cash,8.1,CU000339,AC00461,CO000801,,1073.18,2024,11,29
TR00000229,2024-08-04 05:00:00,ST016,EUR,Card,0.0,,,,AN000421,602.48,2024,8,4
TR00000230,2025-03-20 22:00:00,ST020,EUR,Invoice,1.5,,,,AN000587,1167.8,2025,3,20
TR00000231,2025-08-05 11:00:00,ST019,EUR,Card,0.0,CU000216,AC00121,CO000267,,622.69,2025,8,5
TR00000232,2025-01-04 12:00:00,ST013,EUR,Cash,0.0,,,,AN000363,664.56,2025,1,4
TR00000233,2024-06-30 19:00:00,ST037,EUR,Card,7.35,CU000311,AC00303,,,1137.81,2024,6,30
TR00000234,2024-04-22 06:00:00,ST034,EUR,Cash,3.37,,,,AN000191,1730.25,2024,4,22
TR00000235,2025-06-13 03:00:00,ST023,EUR,Card,4.75,CU000439,AC00213,,,550.81,2025,6,13
TR00000236,2024-06-06 20:00:00,ST040,EUR,Card,10.72,CU000143,AC00564,CO000789,,523.67,2024,6,6
TR00000237,2025-01-09 17:00:00,ST012,EUR,Card,0.0,,,,AN000196,94.37,2025,1,9
TR00000238,2024-02-05 12:00:00,ST036,EUR,Card,8.52,CU000342,AC00309,CO000289,,1122.46,2024,2,5
TR00000239,2024-02-27 02:00:00,ST030,EUR,BankTransfer,0.0,CU000441,AC00426,,,411.71,2024,2,27
TR00000240,2024-01-30 18:00:00,ST040,EUR,Card,14.05,CU000078,AC00500,,,900.32,2024,1,30
