AccountId,AccountName,VATNumber,Industry,City,Province,Region,CustomerTier,CreatedDate
AC00065,Macelleria T3G8CD Ditta Individuale,10000000065,Gelateria,Reggio Emilia,PC,Emilia-Romagna,Platinum,2024-02-17
AC00066,Panificio 31NRXD Cooperativa,10000000066,Pizzeria,Arezzo,MO,Liguria,Bronze,2022-04-25
AC00067,Macelleria 356WAF SRL,10000000067,Pizzeria,Reggio Emilia,CN,Lombardia,Bronze,2025-02-18
AC00068,Macelleria FTOUHY SAS,10000000068,Bar,Modena,AT,Lombardia,Silver,2022-03-06
AC00069,Pescheria LU6K7P SAS,10000000069,Bar,Varese,VA,Toscana,Platinum,2025-07-23
AC00070,Hotel 9MDA9O Ditta Individuale,10000000070,Bar,Bologna,AT,Valle d'Aosta,Gold,2024-04-04
AC00071,Pescheria EKNTBZ Cooperativa,10000000071,Panificio,Sanremo,CN,Liguria,Silver,2022-08-27
AC00072,Panificio 3M55IZ Ditta Individuale,10000000072,Gelateria,Forlì,PR,Piemonte,Gold,2022-10-29
AC00073,Catering OLNNTX Cooperativa,10000000073,Catering,Livorno,LI,Liguria,Bronze,2025-11-16
AC00074,Pescheria RGN74F SRL,10000000074,Ristorante,Varese,PO,Piemonte,Platinum,2024-08-26
AC00075,Pescheria 9YECAZ SAS,10000000075,Hotel,Piacenza,AR,Piemonte,Platinum,2023-01-04
AC00076,Hotel RP9DXO Ditta Individuale,10000000076,Pizzeria,Reggio Emilia,TO,Emilia-Romagna,Bronze,2022-08-21
AC00077,Ristorante Q2VPGS SPA,10000000077,Catering,Bergamo,AT,Piemonte,Bronze,2022-07-14
AC00078,Panificio TQMGVU SRL,10000000078,Gelateria,Livorno,VA,Piemonte,Bronze,2024-06-25
AC00079,Macelleria 4ISOTN SAS,10000000079,Altro,Cremona,PR,Toscana,Bronze,2024-11-01
AC00080,Catering 9UZERY Cooperativa,10000000080,Bar,Pisa,PI,Lombardia,Gold,2024-07-09
AC00081,Gelateria F0992Q SRL,10000000081,Catering,Modena,AO,Liguria,Silver,2023-11-20
AC00082,Alimentari C6DR08 Ditta Individuale,10000000082,Catering,Cremona,FC,Liguria,Bronze,2022-06-26
AC00083,Ristorante CW2LBM SRL,10000000083,Bar,Chiavari,AO,Piemonte,Bronze,2022-08-05
AC00084,Alimentari 2QSQ0P SPA,10000000084,Bar,Pavia,RN,Valle d'Aosta,Platinum,2024-10-31
AC00085,Bar 82KB70 SPA,10000000085,Ristorante,Parma,AL,Liguria,Silver,2023-09-22
AC00086,Bar 0UCRGB SPA,10000000086,Panificio,Forlì,RA,Piemonte,Silver,2022-06-13
AC00087,Macelleria 93WKCS SRL,10000000087,Hotel,Forlì,RA,Emilia-Romagna,Bronze,2022-02-22
AC00088,Pescheria 4KEK4A SAS,10000000088,Alimentari,Forlì,RE,Emilia-Romagna,Platinum,2022-08-06
AC00089,Mensa EGVFQ3 SAS,10000000089,Macelleria,Milano,RA,Emilia-Romagna,Gold,2024-09-25
AC00090,Bar JZR25M SPA,10000000090,Gelateria,Monza,RA,Piemonte,Bronze,2024-04-03
AC00091,Catering DF7FR9 SPA,10000000091,Ristorante,Sanremo,RN,Toscana,Bronze,2025-10-15
AC00092,Gelateria 1IPWH0 SPA,10000000092,Alimentari,Massa,AT,Valle d'Aosta,Bronze,2023-01-20
AC00093,Macelleria MX1EGO SRL,10000000093,Catering,Forlì,SI,Piemonte,Bronze,2022-02-25
AC00094,Mensa K01TNZ SPA,10000000094,Gelateria,Cuneo,SP,Toscana,Silver,2022-04-28
AC00095,Gelateria RF5A7Q SPA,10000000095,Mensa,Firenze,SV,Toscana,Platinum,2024-06-18
AC00096,Macelleria Y8YB7W SRL,10000000096,Pizzeria,Cremona,IM,Liguria,Silver,2025-06-30
AC00097,Panificio 8P74MJ Cooperativa,10000000097,Hotel,Torino,AL,Piemonte,Gold,2024-03-08
AC00098,Pizzeria DXO100 SPA,10000000098,Gelateria,Forlì,CN,Piemonte,Silver,2024-02-19
AC00099,Panificio VHMYGT SRL,10000000099,Ristorante,Alessandria,IM,Toscana,Gold,2024-10-12
AC00100,Altro Y3ADDQ Ditta Individuale,10000000100,Ristorante,Massa,FI,Toscana,Gold,2024-03-13
AC00101,Ristorante HKGAD7 Cooperativa,10000000101,Bar,Sestri Levante,SP,Toscana,Bronze,2024-04-24
AC00102,Panificio X48WZE SAS,10000000102,Ristorante,Modena,RA,Liguria,Silver,2025-04-18
AC00103,Gelateria 4EX6U8 SPA,10000000103,Bar,Brescia,GR,Piemonte,Silver,2025-12-09
AC00104,Alimentari 6ZJQ7W SAS,10000000104,Panificio,Como,PV,Toscana,Bronze,2025-06-12
AC00105,Macelleria 7JP61L SPA,10000000105,Pescheria,Alessandria,BS,Emilia-Romagna,Silver,2024-05-04
AC00106,Pescheria FC1NLC Ditta Individuale,10000000106,Bar,Parma,NO,Piemonte,Silver,2023-12-09
AC00107,Pizzeria 8JPR7V SAS,10000000107,Bar,Alessandria,PC,Liguria,Platinum,2025-01-08
AC00108,Gelateria GRF1HX Ditta Individuale,10000000108,Bar,Rimini,GE,Emilia-Romagna,Silver,2022-01-22
AC00109,Bar 6ZDCUJ Ditta Individuale,10000000109,Bar,Imperia,RE,Lombardia,Gold,2024-04-22
AC00110,Pescheria Q6FX7X Cooperativa,10000000110,Ristorante,Cremona,MO,Piemonte,Silver,2025-01-21
AC00111,Altro JZ6US7 SAS,10000000111,Macelleria,Pisa,NO,Lombardia,Gold,2022-07-11
AC00112,Bar RP422T SPA,10000000112,Bar,Modena,NO,Toscana,Silver,2024-10-15
AC00113,Macelleria A83RU7 SRL,10000000113,Catering,Sanremo,PV,Liguria,Gold,2025-01-31
AC00114,Catering MYOW8D Cooperativa,10000000114,Ristorante,Forlì,PO,Toscana,Silver,2023-01-31
AC00115,Pescheria T8CQ1X Ditta Individuale,10000000115,Panificio,Como,RN,Liguria,Silver,2024-10-27
AC00116,Altro GBNGZ6 SRL,10000000116,Mensa,Carrara,BG,Valle d'Aosta,Silver,2023-10-02
AC00117,Mensa WMDW0F SPA,10000000117,Pescheria,Piacenza,NO,Toscana,Silver,2024-10-15
AC00118,Pizzeria GZVRCT SAS,10000000118,Gelateria,Lucca,VA,Lombardia,Bronze,2023-07-21
AC00119,Panificio LT4Q9B SRL,10000000119,Bar,Piacenza,NO,Liguria,Bronze,2022-08-19
AC00120,Pizzeria C2BE3Y Cooperativa,10000000120,Bar,Savona,BS,Toscana,Bronze,2024-05-23
AC00121,Alimentari QY5FU7 SRL,10000000121,Pizzeria,Chiavari,LI,Piemonte,Gold,2023-07-28
AC00122,Macelleria BFXQ7B Ditta Individuale,10000000122,Hotel,Parma,RA,Liguria,Bronze,2022-08-28
AC00123,Alimentari ZEGBL2 SAS,10000000123,Alimentari,Genova,RA,Liguria,Bronze,2022-03-31
AC00124,Mensa QGV3DR SPA,10000000124,Ristorante,Bologna,LI,Toscana,Gold,2022-08-20
AC00125,Catering 2H2P39 SPA,10000000125,Ristorante,Parma,BS,Valle d'Aosta,Bronze,2023-04-02
AC00126,Hotel YL9UE4 Ditta Individuale,10000000126,Alimentari,Genova,IM,Toscana,Silver,2022-08-21
AC00127,Alimentari 21VMEF SRL,10000000127,Alimentari,Viareggio,RA,Lombardia,Bronze,2022-12-20
AC00128,Catering OZTP7B Ditta Individuale,10000000128,Mensa,Savona,VA,Lombardia,Platinum,2024-10-01
AC00129,Altro D4W1AR SPA,10000000129,Ristorante,Modena,SP,Liguria,Gold,2025-09-18
AC00130,Gelateria AGDX5O SAS,10000000130,Alimentari,Asti,TO,Liguria,Gold,2023-03-15
AC00131,Mensa 31YHXS SRL,10000000131,Bar,Reggio Emilia,RA,Toscana,Silver,2025-10-30
AC00132,Alimentari O7VBGR Cooperativa,10000000132,Ristorante,Firenze,BO,Lombardia,Gold,2025-08-08
AC00133,Macelleria 8W2MAI Ditta Individuale,10000000133,Hotel,Sestri Levante,SV,Lombardia,Bronze,2022-12-11
AC00134,Gelateria ETDN1T SRL,10000000134,Ristorante,Siena,LI,Valle d'Aosta,Bronze,2023-10-26
AC00135,Mensa H1XJG2 Cooperativa,10000000135,Bar,Massa,LU,Piemonte,Bronze,2025-12-22
AC00136,Catering Y8RGYB SAS,10000000136,Bar,Sestri Levante,FI,Valle d'Aosta,Silver,2023-10-19
AC00137,Ristorante XKPM21 SAS,10000000137,Bar,Reggio Emilia,RA,Emilia-Romagna,Silver,2022-05-10
AC00138,Macelleria B07G2R SRL,10000000138,Ristorante,Pavia,IM,Valle d'Aosta,Silver,2022-05-21
AC00139,Ristorante E6ZVLH Cooperativa,10000000139,Ristorante,Ravenna,PI,Toscana,Bronze,2023-02-19
AC00140,Panificio YL2LD0 SPA,10000000140,Bar,Chiavari,LI,Piemonte,Silver,2025-01-21
AC00141,Hotel 5NHQR6 SRL,10000000141,Ristorante,Arezzo,PC,Toscana,Gold,2023-09-18
AC00142,Pizzeria F7QNEZ Cooperativa,10000000142,Pizzeria,Chiavari,MS,Emilia-Romagna,Silver,2022-10-11
AC00143,Macelleria W9HEYC SRL,10000000143,Bar,Varese,RA,Piemonte,Gold,2022-08-11
AC00144,Altro E4QGM5 SPA,10000000144,Bar,Arezzo,CO,Liguria,Bronze,2024-01-14
AC00145,Panificio V2WWG8 SRL,10000000145,Bar,Prato,RN,Lombardia,Gold,2023-04-08
AC00146,Alimentari 4D4R9V Cooperativa,10000000146,Pizzeria,Siena,SV,Valle d'Aosta,Silver,2025-07-23
AC00147,Catering 4K00IL Cooperativa,10000000147,Panificio,Forlì,PR,Toscana,Bronze,2025-03-09
AC00148,Ristorante U6VFUA Cooperativa,10000000148,Mensa,Siena,CR,Emilia-Romagna,Bronze,2022-12-23
AC00149,Bar 9BQ1BT Cooperativa,10000000149,Mensa,Chiavari,AO,Lombardia,Silver,2024-11-12
AC00150,Pizzeria R23QIU Ditta Individuale,10000000150,Alimentari,Varese,PI,Valle d'Aosta,Gold,2025-07-17
AC00151,Bar A08EKX SRL,10000000151,Pizzeria,Rimini,CR,Lombardia,Silver,2024-05-08
AC00152,Ristorante DRKZ40 SPA,10000000152,Alimentari,Pavia,CN,Valle d'Aosta,Bronze,2023-10-27
AC00153,Macelleria AQ15O2 SPA,10000000153,Bar,Siena,SV,Liguria,Gold,2025-09-18
AC00154,Macelleria NQW4C6 SAS,10000000154,Bar,Firenze,VA,Piemonte,Silver,2024-10-11
AC00155,Altro LBPJ8T SPA,10000000155,Bar,Arezzo,VA,Lombardia,Silver,2022-03-26
AC00156,Catering 22C50B SAS,10000000156,Macelleria,Varese,SP,Lombardia,Silver,2023-09-13
AC00157,Panificio 8Y5DNW SAS,10000000157,Alimentari,Modena,FI,Lombardia,Bronze,2024-11-20
AC00158,Altro NGUCZH SPA,10000000158,Mensa,Massa,SV,Piemonte,Silver,2022-08-28
AC00159,Mensa 9IER7U SPA,10000000159,Hotel,Arezzo,LI,Emilia-Romagna,Silver,2022-12-29
AC00160,Pizzeria 8H0IMJ Ditta Individuale,10000000160,Hotel,Chiavari,NO,Valle d'Aosta,Platinum,2024-04-01
AC00161,Gelateria YJCMRS SPA,10000000161,Ristorante,Parma,AL,Liguria,Silver,2025-11-13
AC00162,Panificio EZYTKW SRL,10000000162,Ristorante,Cremona,MS,Lombardia,Silver,2023-10-30
AC00163,Ristorante 2837C6 SPA,10000000163,Gelateria,Parma,BG,Piemonte,Silver,2025-08-15
AC00164,Hotel QC6K8D SAS,10000000164,Alimentari,Milano,PI,Emilia-Romagna,Gold,2025-10-26
AC00165,Gelateria JZR5SW SAS,10000000165,Bar,Torino,MB,Valle d'Aosta,Gold,2022-04-09
AC00166,Ristorante K8TEMP Cooperativa,10000000166,Gelateria,Imperia,AT,Piemonte,Silver,2022-02-16
AC00167,Bar XKC5I8 SAS,10000000167,Bar,Grosseto,FI,Liguria,Gold,2024-04-18
AC00168,Hotel XOMXLV Cooperativa,10000000168,Altro,Monza,LU,Liguria,Silver,2023-02-26
AC00169,Pizzeria Z4QKE2 SRL,10000000169,Hotel,Massa,BS,Valle d'Aosta,Silver,2022-03-03
AC00170,Bar GJR81B Cooperativa,10000000170,Bar,Sestri Levante,SI,Lombardia,Bronze,2025-02-06
AC00171,Ristorante MQF7ZK Cooperativa,10000000171,Bar,Rimini,AL,Liguria,Silver,2025-02-16
AC00172,Mensa 94YXFI SAS,10000000172,Ristorante,Imperia,BG,Emilia-Romagna,Bronze,2024-10-06
AC00173,Ristorante BLEJGU Cooperativa,10000000173,Ristorante,Cuneo,VA,Piemonte,Gold,2023-08-21
AC00174,Alimentari BLMNTF SAS,10000000174,Pizzeria,Novara,FC,Emilia-Romagna,Bronze,2025-11-06
AC00175,Ristorante K7ORFQ SPA,10000000175,Panificio,Modena,BS,Lombardia,Platinum,2023-01-27
AC00176,Mensa LA09LZ SAS,10000000176,Gelateria,Rimini,MI,Emilia-Romagna,Silver,2024-09-03
AC00177,Ristorante RK79UF Cooperativa,10000000177,Ristorante,Rimini,BO,Emilia-Romagna,Silver,2024-12-11
AC00178,Ristorante U6PY06 SRL,10000000178,Alimentari,Pisa,AO,Toscana,Silver,2023-08-26
AC00179,Ristorante FTLO4Q SPA,10000000179,Ristorante,Novara,SP,Emilia-Romagna,Bronze,2025-08-05
AC00180,Panificio DBXVH7 SPA,10000000180,Ristorante,Lucca,MI,Valle d'Aosta,Silver,2022-12-03
AC00181,Hotel KATQYD Cooperativa,10000000181,Pizzeria,Varese,CR,Piemonte,Bronze,2024-03-20
AC00182,Alimentari SHLV76 SPA,10000000182,Alimentari,Cuneo,PR,Toscana,Silver,2025-05-12
AC00183,Macelleria MF4NNK Ditta Individuale,10000000183,Ristorante,Reggio Emilia,AO,Piemonte,Silver,2025-06-15
AC00184,Panificio M95D0P Ditta Individuale,10000000184,Ristorante,Aosta,SP,Piemonte,Gold,2025-11-06
AC00185,Panificio 92K38P SRL,10000000185,Altro,Aosta,PO,Lombardia,Bronze,2024-01-22
AC00186,Panificio 6FVDHR SRL,10000000186,Ristorante,Como,BG,Lombardia,Bronze,2025-03-05
AC00187,Hotel 59C81D Ditta Individuale,10000000187,Catering,Cuneo,CN,Toscana,Silver,2025-12-01
AC00188,Hotel O6OUZ1 SRL,10000000188,Alimentari,Massa,RA,Liguria,Platinum,2025-10-17
AC00189,Mensa EGNTB3 Cooperativa,10000000189,Ristorante,Savona,CO,Lombardia,Gold,2025-11-05
AC00190,Hotel 4KUQAA SPA,10000000190,Ristorante,Prato,PV,Lombardia,Silver,2024-05-30
AC00191,Bar J84RX6 SRL,10000000191,Hotel,Sanremo,CO,Lombardia,Silver,2023-09-27
AC00192,Hotel PRYIEJ SPA,10000000192,Mensa,Novara,BO,Piemonte,Bronze,2022-09-11
AC00193,Alimentari 9C0UU5 SRL,10000000193,Alimentari,Grosseto,PV,Toscana,Platinum,2025-02-11
AC00194,Gelateria WRYESU SAS,10000000194,Pizzeria,Imperia,PC,Piemonte,Silver,2022-01-20
AC00195,Hotel 4FCL5E SAS,10000000195,Altro,Bergamo,GR,Valle d'Aosta,Bronze,2023-06-12
AC00196,Gelateria FJP6MK Ditta Individuale,10000000196,Mensa,Asti,LI,Piemonte,Silver,2025-03-14
AC00197,Panificio T7S1GD Ditta Individuale,10000000197,Catering,Rimini,LI,Valle d'Aosta,Bronze,2025-05-16
AC00198,Altro 1T53YK Ditta Individuale,10000000198,Catering,Monza,MO,Emilia-Romagna,Platinum,2023-01-11
AC00199,Panificio YYDU3A SRL,10000000199,Pizzeria,Genova,FI,Emilia-Romagna,Bronze,2022-06-15
AC00200,Bar SNRM6D SAS,10000000200,Pizzeria,Reggio Emilia,MS,Valle d'Aosta,Silver,2025-04-19
AC00201,Pizzeria FHG6W3 Ditta Individuale,10000000201,Alimentari,Carrara,MO,Valle d'Aosta,Bronze,2024-05-10
AC00202,Pescheria STT1EQ SAS,10000000202,Pizzeria,Sanremo,CN,Piemonte,Gold,2023-09-09
AC00203,Hotel C37RLN SPA,10000000203,Ristorante,Ravenna,CN,Valle d'Aosta,Gold,2023-09-04
AC00204,Hotel 36V1MZ SPA,10000000204,Catering,Sanremo,SP,Toscana,Silver,2025-09-17
AC00205,Mensa B3I4FI Ditta Individuale,10000000205,Bar,La Spezia,AR,Emilia-Romagna,Silver,2023-05-18
AC00206,Pescheria EECY2C Ditta Individuale,10000000206,Ristorante,Carrara,GE,Emilia-Romagna,Gold,2024-07-01
AC00207,Catering 11BD2S SPA,10000000207,Ristorante,Grosseto,FI,Liguria,Bronze,2022-03-20
AC00208,Macelleria CEJCY1 SPA,10000000208,Pizzeria,Rimini,TO,Valle d'Aosta,Bronze,2023-08-08
AC00209,Pescheria 27H6GM SPA,10000000209,Alimentari,Brescia,PI,Lombardia,Bronze,2023-11-19
AC00210,Bar D478MF SRL,10000000210,Bar,Savona,MS,Lombardia,Platinum,2023-01-31
AC00211,Panificio S0IUDU Ditta Individuale,10000000211,Catering,Forlì,CO,Valle d'Aosta,Silver,2025-01-31
AC00212,Altro AHGK6T SAS,10000000212,Alimentari,Torino,MB,Toscana,Gold,2023-02-06
AC00213,Gelateria 9DHSZN SRL,10000000213,Bar,Modena,TO,Lombardia,Silver,2024-09-01
AC00214,Catering VP8GMN SRL,10000000214,Pizzeria,Torino,AT,Liguria,Bronze,2022-08-12
AC00215,Macelleria HIE9ED SAS,10000000215,Gelateria,Cremona,MI,Valle d'Aosta,Bronze,2023-06-02
AC00216,Alimentari E1ZUBL Cooperativa,10000000216,Gelateria,Forlì,AL,Toscana,Bronze,2023-09-26
AC00217,Mensa EKVL9P SAS,10000000217,Pizzeria,Prato,SV,Toscana,Silver,2022-08-24
AC00218,Catering TK4GC4 SRL,10000000218,Alimentari,Viareggio,FI,Piemonte,Bronze,2025-12-21
AC00219,Hotel RYG9RD Cooperativa,10000000219,Ristorante,Pisa,CN,Toscana,Bronze,2022-04-26
AC00220,Hotel PXDFOV Ditta Individuale,10000000220,Bar,Aosta,MO,Lombardia,Gold,2025-04-01
AC00221,Pescheria D79C9M Ditta Individuale,10000000221,Ristorante,Imperia,MS,Lombardia,Platinum,2022-08-14
AC00222,Panificio V9E40K Ditta Individuale,10000000222,Altro,Chiavari,BG,Valle d'Aosta,Bronze,2022-08-18
AC00223,Pizzeria ZUJ2XO Cooperativa,10000000223,Ristorante,Imperia,PV,Valle d'Aosta,Bronze,2022-07-01
AC00224,Macelleria RVORK1 SRL,10000000224,Ristorante,Como,BO,Toscana,Bronze,2025-06-26
AC00225,Mensa DJRWED SPA,10000000225,Panificio,Lucca,FI,Liguria,Silver,2025-09-03
AC00226,Alimentari BCY8NY SAS,10000000226,Pescheria,Savona,PR,Emilia-Romagna,Gold,2022-07-29
AC00227,Catering FWDC11 SAS,10000000227,Mensa,Chiavari,SV,Piemonte,Bronze,2025-11-16
AC00228,Alimentari 2HXRJM Cooperativa,10000000228,Ristorante,Sanremo,PV,Emilia-Romagna,Bronze,2022-04-06
AC00229,Pizzeria 4T8BP6 SAS,10000000229,Ristorante,Torino,BO,Toscana,Gold,2024-06-12
AC00230,Altro NLNQBU SAS,10000000230,Hotel,Piacenza,MO,Toscana,Silver,2024-01-26
AC00231,Pescheria 4KZREZ SPA,10000000231,Ristorante,Parma,CO,Emilia-Romagna,Bronze,2025-01-14
AC00232,Panificio RDYXYU Cooperativa,10000000232,Ristorante,Asti,VA,Piemonte,Silver,2023-02-19
AC00233,Pescheria R4SOR8 SAS,10000000233,Catering,Reggio Emilia,PV,Emilia-Romagna,Bronze,2023-01-29
AC00234,Altro WM9LBB SAS,10000000234,Pescheria,Massa,PO,Valle d'Aosta,Silver,2023-11-27
AC00235,Altro 4M0A6M SPA,10000000235,Bar,Genova,FI,Lombardia,Gold,2024-04-23
AC00236,Ristorante DMMMXI SAS,10000000236,Pizzeria,Como,LI,Liguria,Gold,2023-08-27
AC00237,Bar XV6CKM SAS,10000000237,Pizzeria,Aosta,CO,Valle d'Aosta,Silver,2023-08-05
AC00238,Altro ALQ5U6 SPA,10000000238,Bar,Siena,MB,Lombardia,Platinum,2022-05-13
AC00239,Macelleria JZV9NO SAS,10000000239,Pizzeria,Livorno,CO,Liguria,Silver,2024-03-01
AC00240,Ristorante U3DYMS SRL,10000000240,Bar,Siena,LU,Liguria,Gold,2023-10-11
AC00241,Hotel 1MWNPR SPA,10000000241,Ristorante,Varese,VA,Liguria,Silver,2025-08-30
