TransactionLineId,TransactionId,ProductId,Category,Quantity,UnitPrice,NetAmount,DiscountPct,IsBundle
TL000000040,T00000007,P00086,Carni,7,73.52,514.63,0.0,No
TL000000041,T00000007,P00059,Latticini,6,30.87,185.24,0.0,No
TL000000042,T00000008,P00237,Vino,3,78.39,199.89,0.15,No
TL000000043,T00000008,P00237,Vino,1,73.47,58.77,0.2,No
TL000000044,T00000008,P00103,Carni,1,95.53,85.98,0.1,No
TL000000045,T00000008,P00205,Surgelati,4,46.84,168.62,0.1,Yes
TL000000046,T00000009,P00238,Dispensa,4,13.55,51.49,0.05,No
TL000000047,T00000009,P00045,Pesce,7,67.12,422.84,0.1,Yes
TL000000048,T00000009,P00098,Pesce,7,66.39,464.73,0.0,No
TL000000049,T00000010,P00224,Bevande,4,46.54,167.54,0.1,No
TL000000050,T00000010,P00049,Vino,5,92.85,441.06,0.05,No
TL000000051,T00000010,P00129,Vino,2,99.67,179.41,0.1,No
TL000000052,T00000010,P00101,Latticini,4,8.67,27.76,0.2,No
TL000000053,T00000010,P00175,Carni,7,90.35,505.98,0.2,No
TL000000054,T00000010,P00143,Pesce,7,25.1,166.93,0.05,No
TL000000055,T00000010,P00060,Dispensa,5,118.36,591.79,0.0,No
TL000000056,T00000011,P00254,Latticini,3,76.97,219.36,0.05,No
TL000000057,T00000011,P00245,Dispensa,5,121.73,578.2,0.05,No
TL000000058,T00000011,P00168,Latticini,7,81.38,569.64,0.0,No
TL000000059,T00000011,P00105,Latticini,7,25.31,150.62,0.15,No
TL000000060,T00000011,P00151,Bevande,3,72.63,217.9,0.0,No
TL000000061,T00000012,P00054,Ortofrutta,6,49.16,294.93,0.0,No
TL000000062,T00000012,P00103,Carni,7,86.15,482.44,0.2,No
TL000000063,T00000012,P00169,Carni,7,100.99,706.92,0.0,No
TL000000064,T00000012,P00187,Vino,3,70.6,211.8,0.0,No
TL000000065,T00000012,P00181,Vino,3,72.21,216.63,0.0,No
TL000000066,T00000012,P00158,Carni,4,20.34,81.34,0.0,No
TL000000067,T00000013,P00254,Latticini,2,70.64,141.29,0.0,No
TL000000068,T00000014,P00223,Surgelati,3,10.76,32.28,0.0,No
TL000000069,T00000014,P00087,Pesce,4,6.9,27.6,0.0,No
TL000000070,T00000015,P00139,Ortofrutta,3,13.39,38.17,0.05,No
TL000000071,T00000015,P00184,Ortofrutta,1,66.83,56.81,0.15,No
TL000000072,T00000015,P00135,Surgelati,4,14.28,51.41,0.1,No
TL000000073,T00000016,P00079,Vino,5,69.99,349.95,0.0,No
TL000000074,T00000016,P00246,Pesce,6,38.6,231.62,0.0,No
TL000000075,T00000016,P00219,Vino,2,82.83,165.65,0.0,No
TL000000076,T00000016,P00157,Bevande,4,53.72,182.65,0.15,No
TL000000077,T00000016,P00192,Dispensa,2,24.39,43.91,0.1,No
TL000000078,T00000016,P00022,Vino,1,100.16,80.13,0.2,No
TL000000079,T00000016,P00035,Bevande,6,97.51,555.83,0.05,Yes
TL000000080,T00000017,P00191,Dispensa,3,38.84,104.87,0.1,Yes
TL000000081,T00000017,P00010,Ortofrutta,3,93.42,280.26,0.0,No
TL000000082,T00000017,P00201,Vino,3,30.55,91.65,0.0,No
TL000000083,T00000017,P00067,Bevande,5,42.78,213.88,0.0,Yes
TL000000084,T00000017,P00222,Latticini,4,101.81,407.25,0.0,No
TL000000085,T00000017,P00207,Vino,7,8.18,57.25,0.0,No
TL000000086,T00000018,P00068,Latticini,1,27.21,24.49,0.1,No
TL000000087,T00000018,P00011,Surgelati,4,47.45,189.79,0.0,No
TL000000088,T00000018,P00204,Vino,5,77.18,385.92,0.0,No
TL000000089,T00000018,P00185,Bevande,6,35.88,193.75,0.1,No
TL000000090,T00000018,P00189,Bevande,6,28.59,171.51,0.0,No
TL000000091,T00000018,P00175,Carni,3,92.05,220.93,0.2,No
TL000000092,T00000018,P00010,Ortofrutta,6,86.52,519.11,0.0,No
TL000000093,T00000019,P00083,Vino,3,86.99,234.87,0.1,No
TL000000094,T00000020,P00185,Bevande,3,30.78,87.71,0.05,No
TL000000095,T00000020,P00176,Dispensa,3,65.0,195.0,0.0,Yes
TL000000096,T00000020,P00084,Surgelati,2,10.95,20.8,0.05,No
TL000000097,T00000021,P00013,Pesce,7,45.49,318.43,0.0,No
TL000000098,T00000021,P00137,Vino,7,89.03,592.06,0.05,Yes
TL000000099,T00000021,P00004,Pesce,4,117.95,377.45,0.2,No
TL000000100,T00000021,P00189,Bevande,2,33.84,54.15,0.2,No
TL000000101,T00000022,P00041,Bevande,5,10.92,54.62,0.0,No
TL000000102,T00000023,P00256,Bevande,4,8.4,33.59,0.0,No
TL000000103,T00000023,P00103,Carni,5,87.84,439.2,0.0,No
TL000000104,T00000023,P00241,Ortofrutta,1,19.22,19.22,0.0,Yes
TL000000105,T00000024,P00011,Surgelati,1,37.83,37.83,0.0,No
TL000000106,T00000024,P00224,Bevande,4,42.11,168.44,0.0,No
TL000000107,T00000024,P00109,Vino,2,56.63,96.27,0.15,No
TL000000108,T00000024,P00139,Ortofrutta,5,14.24,71.18,0.0,Yes
TL000000109,T00000024,P00005,Carni,4,92.26,369.05,0.0,No
TL000000110,T00000024,P00088,Pesce,7,91.44,640.05,0.0,No
TL000000111,T00000025,P00018,Pesce,7,60.6,424.17,0.0,No
TL000000112,T00000025,P00016,Bevande,6,7.53,42.9,0.05,No
TL000000113,T00000025,P00185,Bevande,4,33.1,119.15,0.1,No
TL000000114,T00000026,P00222,Latticini,4,93.68,337.23,0.1,No
TL000000115,T00000026,P00200,Surgelati,5,9.27,44.02,0.05,No
TL000000116,T00000026,P00064,Bevande,6,58.99,318.56,0.1,No
TL000000117,T00000026,P00168,Latticini,5,65.2,260.8,0.2,No
TL000000118,T00000026,P00108,Bevande,4,35.1,119.35,0.15,No
TL000000119,T00000026,P00192,Dispensa,6,21.96,131.78,0.0,No
TL000000120,T00000026,P00149,Dispensa,4,63.62,203.6,0.2,No
TL000000121,T00000026,P00052,Carni,1,92.46,78.59,0.15,Yes
TL000000122,T00000027,P00236,Bevande,7,98.85,622.77,0.1,Yes
TL000000123,T00000028,P00188,Pesce,5,67.25,336.23,0.0,No
TL000000124,T00000028,P00087,Pesce,4,6.69,26.75,0.0,No
TL000000125,T00000028,P00006,Dispensa,3,112.98,288.11,0.15,No
TL000000126,T00000028,P00062,Vino,4,71.06,270.04,0.05,No
TL000000127,T00000028,P00004,Pesce,6,116.34,698.06,0.0,No
TL000000128,T00000029,P00124,Bevande,7,42.59,298.12,0.0,No
TL000000129,T00000029,P00042,Carni,5,58.3,291.51,0.0,No
TL000000130,T00000030,P00118,Dispensa,1,81.3,65.04,0.2,No
TL000000131,T00000030,P00011,Surgelati,1,45.99,43.69,0.05,No
TL000000132,T00000030,P00230,Latticini,7,28.87,202.09,0.0,No
TL000000133,T00000030,P00223,Surgelati,4,11.36,45.42,0.0,No
TL000000134,T00000030,P00063,Carni,7,45.7,287.89,0.1,No
TL000000135,T00000030,P00116,Carni,6,19.08,97.32,0.15,No
TL000000136,T00000030,P00005,Carni,2,73.89,118.22,0.2,No
TL000000137,T00000031,P00017,Bevande,1,83.19,79.03,0.05,No
TL000000138,T00000031,P00004,Pesce,4,103.98,415.92,0.0,No
TL000000139,T00000031,P00205,Surgelati,7,48.32,287.48,0.15,No
TL000000140,T00000032,P00093,Ortofrutta,1,100.36,100.36,0.0,No
TL000000141,T00000032,P00077,Ortofrutta,4,86.95,347.78,0.0,No
TL000000142,T00000032,P00207,Vino,2,8.02,16.04,0.0,No
TL000000143,T00000033,P00099,Latticini,3,7.94,22.63,0.05,No
TL000000144,T00000034,P00162,Carni,2,3.96,6.74,0.15,No
TL000000145,T00000034,P00256,Bevande,4,8.69,31.27,0.1,No
TL000000146,T00000034,P00121,Carni,2,3.83,7.27,0.05,No
TL000000147,T00000034,P00096,Latticini,5,20.57,97.72,0.05,No
TL000000148,T00000034,P00225,Dispensa,4,38.78,124.11,0.2,No
TL000000149,T00000035,P00257,Carni,6,54.21,260.19,0.2,No
TL000000150,T00000035,P00083,Vino,5,96.33,481.64,0.0,No
TL000000151,T00000035,P00089,Carni,6,86.15,413.54,0.2,No
TL000000152,T00000035,P00114,Pesce,2,54.16,86.65,0.2,No
TL000000153,T00000035,P00063,Carni,3,46.85,112.44,0.2,No
TL000000154,T00000035,P00047,Dispensa,1,19.45,17.5,0.1,No
TL000000155,T00000035,P00102,Bevande,2,80.28,128.44,0.2,No
TL000000156,T00000036,P00038,Bevande,1,11.59,11.59,0.0,No
TL000000157,T00000036,P00194,Carni,1,61.74,52.48,0.15,No
TL000000158,T00000037,P00214,Vino,2,68.84,137.68,0.0,No
TL000000159,T00000037,P00036,Bevande,7,48.13,320.07,0.05,No
TL000000160,T00000037,P00174,Carni,4,86.31,345.24,0.0,No
TL000000161,T00000037,P00155,Dispensa,5,2.95,13.28,0.1,No
TL000000162,T00000037,P00091,Ortofrutta,5,104.12,520.62,0.0,No
TL000000163,T00000037,P00014,Pesce,1,44.32,42.11,0.05,Yes
TL000000164,T00000037,P00200,Surgelati,4,9.92,39.69,0.0,No
TL000000165,T00000038,P00117,Pesce,2,49.67,99.35,0.0,No
TL000000166,T00000039,P00092,Bevande,3,59.33,178.0,0.0,No
TL000000167,T00000039,P00003,Bevande,5,41.59,207.95,0.0,No
TL000000168,T00000039,P00067,Bevande,6,41.6,212.16,0.15,No
TL000000169,T00000039,P00235,Vino,6,93.82,562.93,0.0,Yes
TL000000170,T00000039,P00237,Vino,2,83.6,150.49,0.1,No
TL000000171,T00000039,P00137,Vino,2,82.72,165.43,0.0,No
TL000000172,T00000040,P00177,Ortofrutta,3,25.06,75.17,0.0,No
TL000000173,T00000040,P00057,Latticini,7,114.42,800.91,0.0,No
TL000000174,T00000040,P00064,Bevande,7,71.02,497.13,0.0,No
TL000000175,T00000040,P00178,Surgelati,1,24.27,23.05,0.05,No
TL000000176,T00000040,P00048,Carni,2,33.78,54.05,0.2,No
TL000000177,T00000040,P00131,Surgelati,5,1.4,7.01,0.0,No
TL000000178,T00000041,P00243,Bevande,5,86.3,409.94,0.05,No
TL000000179,T00000041,P00052,Carni,4,81.36,325.43,0.0,No
TL000000180,T00000041,P00103,Carni,3,84.56,240.99,0.05,No
TL000000181,T00000041,P00218,Ortofrutta,3,5.0,15.01,0.0,No
TL000000182,T00000041,P00210,Dispensa,5,18.42,82.87,0.1,No
TL000000183,T00000042,P00095,Pesce,5,80.4,381.88,0.05,No
TL000000184,T00000042,P00234,Dispensa,5,38.12,190.61,0.0,No
TL000000185,T00000042,P00002,Dispensa,6,48.66,291.95,0.0,No
TL000000186,T00000042,P00244,Carni,2,20.87,41.73,0.0,No
TL000000187,T00000042,P00044,Surgelati,6,95.02,513.13,0.1,No
TL000000188,T00000042,P00170,Dispensa,3,76.37,229.11,0.0,No
TL000000189,T00000042,P00017,Bevande,4,83.98,302.34,0.1,No
TL000000190,T00000042,P00101,Latticini,6,8.76,52.58,0.0,No
TL000000191,T00000043,P00075,Pesce,2,94.89,189.78,0.0,No
TL000000192,T00000043,P00017,Bevande,1,77.53,77.53,0.0,No
TL000000193,T00000043,P00094,Latticini,7,87.53,612.74,0.0,Yes
TL000000194,T00000043,P00015,Dispensa,3,108.38,260.12,0.2,No
TL000000195,T00000043,P00048,Carni,2,38.44,76.89,0.0,No
TL000000196,T00000043,P00011,Surgelati,1,46.04,39.13,0.15,Yes
TL000000197,T00000044,P00172,Surgelati,6,24.99,149.95,0.0,No
TL000000198,T00000045,P00008,Bevande,2,82.48,164.97,0.0,No
TL000000199,T00000045,P00035,Bevande,1,98.18,78.55,0.2,No
TL000000200,T00000045,P00159,Vino,5,47.66,226.39,0.05,No
TL000000201,T00000045,P00243,Bevande,2,91.26,182.52,0.0,No
TL000000202,T00000045,P00211,Carni,2,45.28,90.56,0.0,No
TL000000203,T00000045,P00014,Pesce,2,42.55,85.1,0.0,No
TL000000204,T00000045,P00185,Bevande,4,29.25,117.02,0.0,No
TL000000205,T00000046,P00224,Bevande,5,40.54,192.58,0.05,No
TL000000206,T00000047,P00250,Bevande,6,84.65,431.7,0.15,Yes
TL000000207,T00000047,P00168,Latticini,5,82.64,413.21,0.0,No
TL000000208,T00000047,P00256,Bevande,3,8.67,26.02,0.0,No
TL000000209,T00000047,P00059,Latticini,1,29.05,29.05,0.0,No
TL000000210,T00000047,P00241,Ortofrutta,4,17.24,68.98,0.0,No
TL000000211,T00000047,P00108,Bevande,2,35.17,66.82,0.05,No
TL000000212,T00000048,P00082,Dispensa,1,125.63,125.63,0.0,No
TL000000213,T00000049,P00160,Bevande,1,59.08,53.17,0.1,No
TL000000214,T00000049,P00259,Pesce,6,12.78,61.33,0.2,No
TL000000215,T00000049,P00055,Surgelati,4,5.82,23.29,0.0,No
TL000000216,T00000049,P00005,Carni,4,89.64,358.57,0.0,No
TL000000217,T00000049,P00009,Vino,5,55.2,275.98,0.0,No
TL000000218,T00000049,P00140,Bevande,2,64.84,103.74,0.2,No
TL000000219,T00000049,P00011,Surgelati,4,42.53,144.59,0.15,No
TL000000220,T00000050,P00032,Vino,4,64.49,206.37,0.2,No
TL000000221,T00000050,P00071,Carni,5,5.73,28.63,0.0,No
TL000000222,T00000051,P00127,Pesce,3,75.6,181.45,0.2,No
TL000000223,T00000051,P00215,Bevande,7,76.29,427.25,0.2,No
TL000000224,T00000051,P00133,Bevande,7,32.21,180.39,0.2,No
TL000000225,T00000052,P00250,Bevande,3,74.21,222.63,0.0,No
TL000000226,T00000052,P00076,Pesce,5,25.89,129.45,0.0,No
TL000000227,T00000053,P00161,Vino,5,44.9,224.48,0.0,No
TL000000228,T00000053,P00188,Pesce,5,71.54,339.81,0.05,No
TL000000229,T00000053,P00200,Surgelati,7,9.35,65.47,0.0,No
TL000000230,T00000054,P00243,Bevande,5,84.56,422.79,0.0,No
TL000000231,T00000054,P00034,Pesce,6,66.23,397.36,0.0,No
TL000000232,T00000055,P00173,Vino,4,96.05,384.18,0.0,No
TL000000233,T00000055,P00056,Carni,4,97.93,391.7,0.0,No
TL000000234,T00000055,P00206,Pesce,3,100.27,285.76,0.05,No
TL000000235,T00000056,P00023,Ortofrutta,5,71.18,302.49,0.15,No
TL000000236,T00000056,P00079,Vino,5,67.93,339.64,0.0,No
TL000000237,T00000056,P00086,Carni,3,74.86,213.34,0.05,No
TL000000238,T00000056,P00057,Latticini,1,111.72,94.96,0.15,No
TL000000239,T00000056,P00182,Surgelati,6,44.63,267.78,0.0,No
TL000000240,T00000057,P00107,Vino,7,90.87,636.06,0.0,Yes
TL000000241,T00000057,P00133,Bevande,6,31.82,152.73,0.2,No
TL000000242,T00000057,P00042,Carni,2,60.84,97.35,0.2,No
TL000000243,T00000057,P00185,Bevande,4,28.75,109.24,0.05,Yes
TL000000244,T00000057,P00056,Carni,7,105.61,628.37,0.15,No
TL000000245,T00000058,P00238,Dispensa,2,11.35,22.7,0.0,No
TL000000246,T00000058,P00045,Pesce,5,62.23,248.91,0.2,No
TL000000247,T00000058,P00195,Dispensa,4,8.63,27.63,0.2,Yes
TL000000248,T00000058,P00195,Dispensa,1,9.16,9.16,0.0,No
TL000000249,T00000058,P00136,Bevande,5,47.75,238.73,0.0,Yes
TL000000250,T00000058,P00182,Surgelati,3,47.4,142.2,0.0,No
TL000000251,T00000058,P00144,Pesce,1,120.2,120.2,0.0,No
TL000000252,T00000059,P00035,Bevande,7,93.74,623.38,0.05,No
TL000000253,T00000059,P00117,Pesce,7,43.75,275.64,0.1,No
TL000000254,T00000059,P00242,Bevande,5,92.88,371.53,0.2,No
TL000000255,T00000059,P00215,Bevande,5,63.59,317.95,0.0,No
TL000000256,T00000060,P00059,Latticini,1,25.1,21.33,0.15,No
TL000000257,T00000060,P00138,Carni,1,67.26,63.9,0.05,No
TL000000258,T00000060,P00049,Vino,2,101.58,193.01,0.05,No
TL000000259,T00000061,P00187,Vino,4,69.04,262.33,0.05,Yes
TL000000260,T00000061,P00230,Latticini,4,28.15,112.61,0.0,No
TL000000261,T00000062,P00248,Dispensa,7,82.96,493.6,0.15,No
TL000000262,T00000062,P00076,Pesce,6,23.68,142.1,0.0,No
TL000000263,T00000062,P00023,Ortofrutta,7,68.2,477.41,0.0,No
TL000000264,T00000062,P00224,Bevande,3,37.79,113.37,0.0,No
TL000000265,T00000062,P00116,Carni,5,21.28,106.39,0.0,No
TL000000266,T00000062,P00190,Bevande,2,106.89,213.79,0.0,No
TL000000267,T00000062,P00060,Dispensa,3,121.53,364.59,0.0,No
TL000000268,T00000063,P00163,Surgelati,3,49.56,126.39,0.15,No
TL000000269,T00000063,P00113,Bevande,6,40.31,229.78,0.05,No
TL000000270,T00000063,P00143,Pesce,7,25.1,149.35,0.15,No
TL000000271,T00000064,P00139,Ortofrutta,1,15.1,12.08,0.2,No
TL000000272,T00000064,P00006,Dispensa,5,116.3,581.5,0.0,No
TL000000273,T00000065,P00228,Carni,6,9.08,54.45,0.0,No
TL000000274,T00000065,P00174,Carni,4,101.32,405.26,0.0,No
TL000000275,T00000065,P00030,Vino,2,33.29,66.57,0.0,No
TL000000276,T00000065,P00058,Pesce,7,25.54,160.88,0.1,No
TL000000277,T00000065,P00047,Dispensa,2,20.98,39.85,0.05,No
TL000000278,T00000066,P00068,Latticini,2,29.88,59.76,0.0,No
TL000000279,T00000067,P00186,Ortofrutta,3,33.26,79.83,0.2,No
TL000000280,T00000068,P00131,Surgelati,5,1.32,6.58,0.0,No
TL000000281,T00000068,P00144,Pesce,6,108.41,585.44,0.1,Yes
TL000000282,T00000069,P00004,Pesce,5,99.65,498.26,0.0,Yes
TL000000283,T00000070,P00083,Vino,2,98.47,196.93,0.0,No
TL000000284,T00000070,P00212,Dispensa,6,43.74,262.45,0.0,No
TL000000285,T00000070,P00218,Ortofrutta,5,4.76,23.78,0.0,No
TL000000286,T00000070,P00165,Dispensa,3,9.19,23.44,0.15,Yes
TL000000287,T00000070,P00256,Bevande,2,8.72,15.69,0.1,No
TL000000288,T00000070,P00138,Carni,1,60.67,51.57,0.15,No
TL000000289,T00000070,P00180,Pesce,3,53.85,137.32,0.15,No
TL000000290,T00000070,P00126,Bevande,1,97.17,97.17,0.0,No
TL000000291,T00000071,P00086,Carni,1,77.48,77.48,0.0,No
TL000000292,T00000071,P00152,Pesce,3,89.93,269.8,0.0,No
TL000000293,T00000072,P00056,Carni,7,99.45,696.15,0.0,No
TL000000294,T00000072,P00183,Bevande,3,8.01,24.02,0.0,No
TL000000295,T00000072,P00120,Carni,4,30.69,122.76,0.0,No
TL000000296,T00000072,P00071,Carni,7,5.02,31.62,0.1,No
TL000000297,T00000073,P00173,Vino,3,92.67,278.01,0.0,No
TL000000298,T00000073,P00174,Carni,4,100.13,400.51,0.0,No
TL000000299,T00000073,P00246,Pesce,4,41.64,149.92,0.1,No
TL000000300,T00000073,P00156,Carni,6,118.66,640.76,0.1,Yes
TL000000301,T00000073,P00035,Bevande,4,108.72,413.12,0.05,No
TL000000302,T00000074,P00093,Ortofrutta,7,99.9,559.43,0.2,Yes
TL000000303,T00000074,P00204,Vino,2,83.8,167.6,0.0,No
TL000000304,T00000075,P00081,Bevande,5,94.78,450.22,0.05,No
TL000000305,T00000075,P00166,Latticini,3,18.08,43.39,0.2,No
TL000000306,T00000075,P00189,Bevande,2,35.29,56.47,0.2,Yes
TL000000307,T00000075,P00213,Vino,1,84.77,72.06,0.15,No
TL000000308,T00000075,P00040,Bevande,5,58.42,292.09,0.0,No
TL000000309,T00000075,P00133,Bevande,7,32.29,180.85,0.2,No
TL000000310,T00000076,P00173,Vino,4,84.61,287.69,0.15,No
TL000000311,T00000076,P00002,Dispensa,5,54.75,273.74,0.0,No
TL000000312,T00000077,P00061,Ortofrutta,6,15.29,91.76,0.0,No
TL000000313,T00000077,P00055,Surgelati,2,6.67,12.01,0.1,No
TL000000314,T00000077,P00170,Dispensa,1,83.48,83.48,0.0,No
TL000000315,T00000077,P00229,Dispensa,1,96.28,96.28,0.0,No
TL000000316,T00000077,P00039,Vino,3,26.12,62.68,0.2,No
TL000000317,T00000077,P00234,Dispensa,1,42.24,35.91,0.15,No
TL000000318,T00000077,P00244,Carni,5,22.27,111.33,0.0,No
TL000000319,T00000077,P00166,Latticini,5,19.78,79.11,0.2,Yes
TL000000320,T00000078,P00040,Bevande,3,57.5,172.51,0.0,No
TL000000321,T00000078,P00042,Carni,4,66.32,252.01,0.05,No
TL000000322,T00000078,P00090,Vino,1,111.99,100.79,0.1,No
TL000000323,T00000078,P00091,Ortofrutta,5,96.21,481.07,0.0,No
TL000000324,T00000078,P00026,Carni,3,68.69,206.06,0.0,No
TL000000325,T00000078,P00189,Bevande,4,34.03,129.31,0.05,No
TL000000326,T00000078,P00168,Latticini,2,83.48,133.56,0.2,No
TL000000327,T00000079,P00244,Carni,7,20.82,145.76,0.0,No
TL000000328,T00000079,P00232,Pesce,1,110.63,94.03,0.15,No
TL000000329,T00000080,P00018,Pesce,4,65.18,247.67,0.05,No
TL000000330,T00000080,P00164,Bevande,3,93.27,279.82,0.0,No
TL000000331,T00000080,P00025,Bevande,5,120.87,483.49,0.2,No
TL000000332,T00000080,P00138,Carni,1,62.64,62.64,0.0,No
TL000000333,T00000080,P00046,Latticini,7,76.2,506.72,0.05,No
TL000000334,T00000080,P00143,Pesce,1,21.73,21.73,0.0,No
TL000000335,T00000080,P00191,Dispensa,1,38.98,38.98,0.0,No
TL000000336,T00000081,P00072,Vino,6,6.11,36.67,0.0,No
TL000000337,T00000081,P00150,Vino,1,110.98,110.98,0.0,No
TL000000338,T00000081,P00003,Bevande,2,44.15,88.31,0.0,Yes
TL000000339,T00000082,P00089,Carni,3,78.73,236.2,0.0,No
TL000000340,T00000082,P00176,Dispensa,6,69.95,419.69,0.0,No
TL000000341,T00000082,P00249,Bevande,5,105.89,502.97,0.05,Yes
TL000000342,T00000082,P00129,Vino,7,89.41,625.86,0.0,No
TL000000343,T00000082,P00075,Pesce,7,96.4,539.84,0.2,Yes
TL000000344,T00000082,P00122,Pesce,1,60.07,57.07,0.05,No
TL000000345,T00000082,P00092,Bevande,5,47.78,238.9,0.0,Yes
TL000000346,T00000083,P00235,Vino,6,101.15,606.93,0.0,No
TL000000347,T00000083,P00086,Carni,2,61.39,122.79,0.0,No
TL000000348,T00000083,P00144,Pesce,5,95.67,406.61,0.15,No
TL000000349,T00000083,P00256,Bevande,4,10.07,36.25,0.1,Yes
TL000000350,T00000083,P00019,Bevande,4,52.81,211.23,0.0,No
TL000000351,T00000083,P00160,Bevande,3,51.49,123.58,0.2,No
TL000000352,T00000083,P00177,Ortofrutta,6,26.23,133.78,0.15,No
TL000000353,T00000084,P00078,Bevande,4,112.9,451.59,0.0,No
TL000000354,T00000084,P00066,Surgelati,3,39.51,118.53,0.0,Yes
TL000000355,T00000084,P00018,Pesce,2,61.88,123.76,0.0,No
TL000000356,T00000084,P00088,Pesce,4,103.34,413.35,0.0,No
TL000000357,T00000084,P00043,Vino,2,54.13,108.26,0.0,No
TL000000358,T00000084,P00166,Latticini,4,18.81,67.73,0.1,No
TL000000359,T00000084,P00136,Bevande,5,47.19,224.14,0.05,No
TL000000360,T00000085,P00074,Pesce,1,99.49,94.52,0.05,No
TL000000361,T00000085,P00002,Dispensa,3,46.85,119.47,0.15,No
TL000000362,T00000085,P00245,Dispensa,6,114.55,549.82,0.2,No
TL000000363,T00000085,P00052,Carni,1,98.89,89.0,0.1,No
TL000000364,T00000085,P00186,Ortofrutta,5,32.56,146.53,0.1,Yes
TL000000365,T00000085,P00202,Vino,2,99.99,199.97,0.0,No
TL000000366,T00000086,P00039,Vino,7,28.4,188.87,0.05,No
TL000000367,T00000086,P00105,Latticini,1,25.96,24.66,0.05,No
TL000000368,T00000087,P00188,Pesce,7,69.75,415.01,0.15,No
TL000000369,T00000087,P00007,Ortofrutta,5,114.71,573.54,0.0,No
TL000000370,T00000087,P00193,Pesce,2,96.82,193.65,0.0,No
TL000000371,T00000088,P00181,Vino,2,73.14,146.28,0.0,No
TL000000372,T00000088,P00056,Carni,5,106.82,480.71,0.1,No
TL000000373,T00000088,P00203,Bevande,1,8.54,8.54,0.0,No
TL000000374,T00000088,P00022,Vino,5,107.74,430.96,0.2,No
TL000000375,T00000088,P00017,Bevande,6,91.71,495.21,0.1,No
TL000000376,T00000088,P00114,Pesce,5,65.45,327.25,0.0,No
TL000000377,T00000088,P00193,Pesce,1,123.45,111.1,0.1,Yes
TL000000378,T00000089,P00163,Surgelati,2,49.17,98.35,0.0,No
TL000000379,T00000089,P00015,Dispensa,2,98.02,196.03,0.0,No
TL000000380,T00000089,P00165,Dispensa,7,8.77,61.42,0.0,No
TL000000381,T00000090,P00225,Dispensa,4,36.53,116.91,0.2,No
TL000000382,T00000091,P00259,Pesce,7,13.93,97.52,0.0,No
