ProductId,ProductName,Category,ListPrice,Brand,SubCategory,PriceRange,IsPrivateLabel,MarginBand,IsStrategic
P00059,Prodotto 59,Latticini,29.36,BioZ,Formaggi,Medium,No,High,No
P00060,Prodotto 60,Dispensa,114.02,MarcaC,Olio,Ultra,No,High,No
P00061,Prodotto 61,Ortofrutta,17.2,EconomyY,Verdura,Medium,No,Low,No
P00062,Prodotto 62,Vino,82.2,EconomyY,Spumante,Ultra,No,High,Yes
P00063,Prodotto 63,Carni,50.76,MarcaC,Suino,Premium,No,Low,No
P00064,Prodotto 64,Bevande,67.58,MarcaA,Acqua,Ultra,Yes,Low,No
P00065,Prodotto 65,Pesce,63.8,BioZ,Surgelato,Ultra,No,Medium,Yes
P00066,Prodotto 66,Surgelati,37.37,MarcaB,Primi,Premium,No,Low,Yes
P00067,Prodotto 67,Bevande,45.66,BioZ,Succhi,Premium,Yes,Low,No
P00068,Prodotto 68,Latticini,32.01,PremiumX,Formaggi,Premium,No,Low,No
P00069,Prodotto 69,Bevande,24.73,BioZ,Succhi,Medium,Yes,Low,No
P00070,Prodotto 70,Vino,57.79,MarcaC,Spumante,Premium,No,Medium,No
P00071,Prodotto 71,Carni,5.31,PremiumX,Bovino,Low,Yes,Low,No
P00072,Prodotto 72,Vino,5.78,MarcaA,Bianco,Low,No,Medium,No
P00073,Prodotto 73,Ortofrutta,40.53,MarcaA,Verdura,Premium,Yes,Medium,No
P00074,Prodotto 74,Pesce,95.5,MarcaB,Fresco,Ultra,No,Low,No
P00075,Prodotto 75,Pesce,104.09,MarcaA,Fresco,Ultra,No,Medium,No
P00076,Prodotto 76,Pesce,26.53,EconomyY,Surgelato,Medium,No,Low,No
P00077,Prodotto 77,Ortofrutta,86.12,MarcaB,IV Gamma,Ultra,Yes,Medium,Yes
P00078,Prodotto 78,Bevande,105.46,EconomyY,Birra,Ultra,No,Medium,Yes
P00079,Prodotto 79,Vino,77.8,PremiumX,Bianco,Ultra,Yes,Medium,Yes
P00080,Prodotto 80,Latticini,113.78,EconomyY,Latte,Ultra,No,Medium,No
P00081,Prodotto 81,Bevande,104.87,MarcaB,Birra,Ultra,No,Medium,No
P00082,Prodotto 82,Dispensa,118.51,BioZ,Conserve,Ultra,No,High,No
P00083,Prodotto 83,Vino,95.75,PremiumX,Rosso,Ultra,No,High,No
P00084,Prodotto 84,Surgelati,11.12,PremiumX,Verdure,Medium,No,Medium,No
P00085,Prodotto 85,Carni,54.6,MarcaC,Pollame,Premium,No,Low,No
P00086,Prodotto 86,Carni,72.22,MarcaC,Suino,Ultra,No,Medium,No
P00087,Prodotto 87,Pesce,7.5,MarcaB,Surgelato,Low,No,Low,No
P00088,Prodotto 88,Pesce,108.52,MarcaB,Conservato,Ultra,No,Medium,No
P00089,Prodotto 89,Carni,93.03,EconomyY,Suino,Ultra,No,Medium,No
P00090,Prodotto 90,Vino,107.0,EconomyY,Rosé,Ultra,No,High,No
P00091,Prodotto 91,Ortofrutta,102.05,EconomyY,Verdura,Ultra,No,Low,Yes
P00092,Prodotto 92,Bevande,56.42,EconomyY,Acqua,Premium,No,Medium,No
P00093,Prodotto 93,Ortofrutta,102.39,PremiumX,IV Gamma,Ultra,No,High,Yes
P00094,Prodotto 94,Latticini,88.06,MarcaB,Yogurt,Ultra,No,Medium,Yes
P00095,Prodotto 95,Pesce,79.62,MarcaB,Fresco,Ultra,Yes,Low,No
P00096,Prodotto 96,Latticini,21.24,EconomyY,Latte,Medium,No,Low,No
P00097,Prodotto 97,Pesce,15.79,BioZ,Conservato,Medium,Yes,Medium,No
P00098,Prodotto 98,Pesce,65.92,PremiumX,Surgelato,Ultra,No,Low,No
P00099,Prodotto 99,Latticini,7.38,MarcaB,Yogurt,Low,No,High,No
P00100,Prodotto 100,Ortofrutta,83.11,BioZ,Verdura,Ultra,No,Medium,No
P00101,Prodotto 101,Latticini,8.18,MarcaC,Formaggi,Low,No,Medium,Yes
P00102,Prodotto 102,Bevande,74.9,MarcaC,Acqua,Ultra,Yes,Medium,No
P00103,Prodotto 103,Carni,103.05,MarcaA,Suino,Ultra,Yes,Medium,No
P00104,Prodotto 104,Vino,82.0,MarcaA,Bianco,Ultra,No,Medium,No
P00105,Prodotto 105,Latticini,30.16,BioZ,Latte,Premium,No,Medium,No
P00106,Prodotto 106,Ortofrutta,9.39,PremiumX,IV Gamma,Low,No,Low,No
P00107,Prodotto 107,Vino,95.89,MarcaC,Spumante,Ultra,No,Low,No
P00108,Prodotto 108,Bevande,37.38,MarcaB,Birra,Premium,No,Low,No
P00109,Prodotto 109,Vino,55.93,EconomyY,Bianco,Premium,Yes,Medium,No
P00110,Prodotto 110,Vino,11.35,MarcaC,Rosso,Medium,Yes,Medium,No
P00111,Prodotto 111,Bevande,13.36,BioZ,Bibite,Medium,Yes,Medium,No
P00112,Prodotto 112,Pesce,49.42,PremiumX,Fresco,Premium,No,Low,No
P00113,Prodotto 113,Bevande,38.01,BioZ,Succhi,Premium,No,Low,Yes
P00114,Prodotto 114,Pesce,65.67,PremiumX,Fresco,Ultra,No,Medium,Yes
P00115,Prodotto 115,Carni,104.14,MarcaC,Bovino,Ultra,No,Medium,Yes
P00116,Prodotto 116,Carni,22.38,MarcaB,Salumi,Medium,No,Medium,No
P00117,Prodotto 117,Pesce,52.15,BioZ,Surgelato,Premium,No,High,Yes
P00118,Prodotto 118,Dispensa,89.25,BioZ,Conserve,Ultra,No,Medium,No
P00119,Prodotto 119,Pesce,75.39,BioZ,Fresco,Ultra,Yes,Medium,No
P00120,Prodotto 120,Carni,35.82,BioZ,Pollame,Premium,No,Medium,Yes
P00121,Prodotto 121,Carni,4.16,MarcaA,Pollame,Low,No,High,No
P00122,Prodotto 122,Pesce,66.97,MarcaC,Fresco,Ultra,No,Medium,Yes
P00123,Prodotto 123,Carni,94.07,BioZ,Suino,Ultra,No,Low,No
P00124,Prodotto 124,Bevande,47.5,PremiumX,Birra,Premium,No,Medium,Yes
P00125,Prodotto 125,Latticini,8.83,PremiumX,Latte,Low,Yes,Low,No
P00126,Prodotto 126,Bevande,94.47,MarcaC,Birra,Ultra,No,Low,No
P00127,Prodotto 127,Pesce,76.68,PremiumX,Fresco,Ultra,No,Medium,No
P00128,Prodotto 128,Bevande,6.21,EconomyY,Succhi,Low,Yes,Low,No
P00129,Prodotto 129,Vino,93.59,BioZ,Rosso,Ultra,No,Medium,No
P00130,Prodotto 130,Pesce,74.1,BioZ,Fresco,Ultra,No,Low,Yes
P00131,Prodotto 131,Surgelati,1.43,MarcaC,Dolci,Low,Yes,Low,No
P00132,Prodotto 132,Ortofrutta,91.83,MarcaC,Frutta,Ultra,No,Medium,Yes
P00133,Prodotto 133,Bevande,31.91,MarcaC,Bibite,Premium,Yes,Medium,No
P00134,Prodotto 134,Ortofrutta,81.92,MarcaC,Verdura,Ultra,No,Low,No
P00135,Prodotto 135,Surgelati,13.26,MarcaB,Primi,Medium,No,High,No
P00136,Prodotto 136,Bevande,52.8,MarcaB,Birra,Premium,No,Medium,No
P00137,Prodotto 137,Vino,98.27,PremiumX,Rosé,Ultra,No,Medium,Yes
P00138,Prodotto 138,Carni,73.71,PremiumX,Pollame,Ultra,Yes,Medium,No
P00139,Prodotto 139,Ortofrutta,15.55,MarcaB,IV Gamma,Medium,No,High,No
P00140,Prodotto 140,Bevande,71.27,MarcaA,Succhi,Ultra,Yes,Medium,Yes
P00141,Prodotto 141,Ortofrutta,35.94,BioZ,IV Gamma,Premium,Yes,Low,Yes
P00142,Prodotto 142,Carni,39.73,BioZ,Bovino,Premium,No,High,No
P00143,Prodotto 143,Pesce,24.89,MarcaB,Surgelato,Medium,No,High,No
P00144,Prodotto 144,Pesce,116.03,PremiumX,Conservato,Ultra,No,Low,Yes
P00145,Prodotto 145,Bevande,14.51,BioZ,Acqua,Medium,Yes,Low,No
P00146,Prodotto 146,Latticini,22.27,BioZ,Latte,Medium,No,Medium,Yes
P00147,Prodotto 147,Pesce,112.28,MarcaA,Surgelato,Ultra,No,Medium,Yes
P00148,Prodotto 148,Dispensa,18.35,MarcaA,Conserve,Medium,No,Low,Yes
P00149,Prodotto 149,Dispensa,76.04,BioZ,Olio,Ultra,No,Medium,Yes
P00150,Prodotto 150,Vino,113.05,EconomyY,Spumante,Ultra,No,High,No
P00151,Prodotto 151,Bevande,83.59,EconomyY,Acqua,Ultra,No,Medium,No
P00152,Prodotto 152,Pesce,95.99,MarcaC,Surgelato,Ultra,No,Low,No
P00153,Prodotto 153,Carni,91.31,BioZ,Salumi,Ultra,No,Medium,No
P00154,Prodotto 154,Latticini,55.36,PremiumX,Latte,Premium,No,Low,No
P00155,Prodotto 155,Dispensa,3.09,EconomyY,Conserve,Low,No,Medium,No
P00156,Prodotto 156,Carni,110.56,BioZ,Bovino,Ultra,No,Medium,No
P00157,Prodotto 157,Bevande,57.48,EconomyY,Acqua,Premium,No,Medium,No
P00158,Prodotto 158,Carni,23.41,MarcaC,Suino,Medium,No,Medium,Yes
P00159,Prodotto 159,Vino,51.22,MarcaC,Bianco,Premium,No,Medium,No
P00160,Prodotto 160,Bevande,56.34,MarcaA,Birra,Premium,No,Low,No
P00161,Prodotto 161,Vino,51.81,BioZ,Rosé,Premium,No,Medium,Yes
P00162,Prodotto 162,Carni,4.24,BioZ,Suino,Low,No,Medium,Yes
P00163,Prodotto 163,Surgelati,48.02,EconomyY,Verdure,Premium,No,High,No
P00164,Prodotto 164,Bevande,112.42,EconomyY,Acqua,Ultra,No,Low,No
P00165,Prodotto 165,Dispensa,8.61,MarcaC,Olio,Low,Yes,Low,No
P00166,Prodotto 166,Latticini,18.83,MarcaC,Formaggi,Medium,No,Low,No
P00167,Prodotto 167,Carni,108.09,MarcaA,Salumi,Ultra,Yes,Medium,No
P00168,Prodotto 168,Latticini,78.85,PremiumX,Yogurt,Ultra,No,Low,Yes
P00169,Prodotto 169,Carni,111.34,EconomyY,Salumi,Ultra,No,Medium,No
P00170,Prodotto 170,Dispensa,86.86,PremiumX,Spezie,Ultra,No,Medium,No
P00171,Prodotto 171,Carni,16.38,PremiumX,Pollame,Medium,No,High,No
P00172,Prodotto 172,Surgelati,23.28,MarcaC,Primi,Medium,Yes,Low,No
P00173,Prodotto 173,Vino,99.91,PremiumX,Spumante,Ultra,No,Low,No
P00174,Prodotto 174,Carni,96.18,MarcaC,Pollame,Ultra,No,Medium,Yes
P00175,Prodotto 175,Carni,95.81,EconomyY,Bovino,Ultra,No,High,No
P00176,Prodotto 176,Dispensa,68.97,MarcaB,Pasta,Ultra,No,Medium,No
P00177,Prodotto 177,Ortofrutta,28.16,EconomyY,Frutta,Medium,No,Low,No
P00178,Prodotto 178,Surgelati,23.56,MarcaC,Verdure,Medium,No,Medium,No
P00179,Prodotto 179,Ortofrutta,3.67,EconomyY,IV Gamma,Low,Yes,Medium,No
P00180,Prodotto 180,Pesce,60.01,PremiumX,Fresco,Ultra,No,Low,No
P00181,Prodotto 181,Vino,68.0,MarcaC,Rosso,Ultra,No,Medium,Yes
P00182,Prodotto 182,Surgelati,49.12,MarcaC,Verdure,Premium,No,Medium,No
P00183,Prodotto 183,Bevande,7.78,MarcaB,Bibite,Low,No,Medium,No
P00184,Prodotto 184,Ortofrutta,78.68,BioZ,Frutta,Ultra,Yes,Medium,No
P00185,Prodotto 185,Bevande,34.13,BioZ,Birra,Premium,No,Medium,Yes
P00186,Prodotto 186,Ortofrutta,34.71,MarcaA,Verdura,Premium,No,Medium,No
P00187,Prodotto 187,Vino,67.16,MarcaC,Rosso,Ultra,No,Medium,No
P00188,Prodotto 188,Pesce,74.64,MarcaA,Conservato,Ultra,No,Low,No
P00189,Prodotto 189,Bevande,33.49,MarcaC,Acqua,Premium,Yes,High,Yes
P00190,Prodotto 190,Bevande,102.8,MarcaA,Bibite,Ultra,No,Low,Yes
P00191,Prodotto 191,Dispensa,37.67,EconomyY,Spezie,Premium,Yes,Medium,Yes
P00192,Prodotto 192,Dispensa,25.86,BioZ,Pasta,Medium,No,Medium,Yes
P00193,Prodotto 193,Pesce,115.54,EconomyY,Conservato,Ultra,No,High,No
P00194,Prodotto 194,Carni,61.44,BioZ,Pollame,Ultra,No,Medium,Yes
P00195,Prodotto 195,Dispensa,8.85,MarcaB,Conserve,Low,No,Low,Yes
P00196,Prodotto 196,Vino,80.84,BioZ,Rosso,Ultra,No,High,No
P00197,Prodotto 197,Vino,103.2,MarcaB,Bianco,Ultra,No,Medium,No
P00198,Prodotto 198,Latticini,118.19,BioZ,Latte,Ultra,No,High,No
P00199,Prodotto 199,Pesce,108.29,MarcaC,Surgelato,Ultra,No,Medium,No
P00200,Prodotto 200,Surgelati,9.75,MarcaA,Primi,Low,No,High,No
P00201,Prodotto 201,Vino,29.86,BioZ,Spumante,Medium,No,Low,No
P00202,Prodotto 202,Vino,108.06,PremiumX,Rosé,Ultra,No,Low,Yes
P00203,Prodotto 203,Bevande,8.39,BioZ,Birra,Low,No,Low,No
P00204,Prodotto 204,Vino,85.58,MarcaC,Rosso,Ultra,No,Medium,No
P00205,Prodotto 205,Surgelati,45.08,MarcaC,Dolci,Premium,No,Medium,No
P00206,Prodotto 206,Pesce,113.77,MarcaC,Conservato,Ultra,No,Low,No
P00207,Prodotto 207,Vino,8.47,MarcaC,Rosé,Low,Yes,Low,No
P00208,Prodotto 208,Pesce,68.25,PremiumX,Fresco,Ultra,No,Low,No
P00209,Prodotto 209,Bevande,22.81,MarcaC,Acqua,Medium,Yes,Low,Yes
P00210,Prodotto 210,Dispensa,20.83,MarcaC,Conserve,Medium,Yes,High,No
P00211,Prodotto 211,Carni,52.36,BioZ,Pollame,Premium,No,High,Yes
P00212,Prodotto 212,Dispensa,43.99,PremiumX,Pasta,Premium,No,Medium,Yes
P00213,Prodotto 213,Vino,92.77,MarcaC,Rosso,Ultra,No,High,No
P00214,Prodotto 214,Vino,66.24,MarcaA,Rosé,Ultra,No,Low,No
P00215,Prodotto 215,Bevande,74.78,MarcaC,Bibite,Ultra,Yes,Low,No
P00216,Prodotto 216,Latticini,26.85,MarcaB,Yogurt,Medium,No,Medium,No
P00217,Prodotto 217,Vino,92.75,PremiumX,Rosso,Ultra,No,Low,No
P00218,Prodotto 218,Ortofrutta,5.79,EconomyY,Verdura,Low,No,Low,No
P00219,Prodotto 219,Vino,97.54,MarcaC,Spumante,Ultra,No,High,No
P00220,Prodotto 220,Surgelati,6.13,EconomyY,Dolci,Low,Yes,Medium,No
P00221,Prodotto 221,Surgelati,57.71,MarcaB,Primi,Premium,No,Low,No
P00222,Prodotto 222,Latticini,102.9,MarcaC,Yogurt,Ultra,No,Medium,No
P00223,Prodotto 223,Surgelati,11.85,MarcaA,Verdure,Medium,No,Low,No
P00224,Prodotto 224,Bevande,44.27,MarcaB,Bibite,Premium,No,Low,No
P00225,Prodotto 225,Dispensa,40.01,MarcaA,Olio,Premium,Yes,Low,No
P00226,Prodotto 226,Vino,11.24,MarcaB,Spumante,Medium,No,Low,No
P00227,Prodotto 227,Bevande,58.57,MarcaB,Acqua,Premium,Yes,Low,No
P00228,Prodotto 228,Carni,9.68,EconomyY,Bovino,Low,Yes,Medium,No
P00229,Prodotto 229,Dispensa,114.01,EconomyY,Olio,Ultra,No,Medium,No
P00230,Prodotto 230,Latticini,33.8,MarcaC,Yogurt,Premium,No,Low,No
P00231,Prodotto 231,Latticini,5.99,MarcaC,Formaggi,Low,Yes,Low,No
P00232,Prodotto 232,Pesce,117.74,MarcaA,Surgelato,Ultra,No,Low,Yes
P00233,Prodotto 233,Carni,15.28,EconomyY,Pollame,Medium,No,Medium,No
P00234,Prodotto 234,Dispensa,39.44,MarcaC,Olio,Premium,Yes,Medium,No
P00235,Prodotto 235,Vino,105.89,EconomyY,Bianco,Ultra,No,Low,No
P00236,Prodotto 236,Bevande,96.36,BioZ,Bibite,Ultra,Yes,Medium,No
P00237,Prodotto 237,Vino,86.14,BioZ,Rosé,Ultra,Yes,Low,Yes
P00238,Prodotto 238,Dispensa,12.68,BioZ,Olio,Medium,No,High,No
P00239,Prodotto 239,Ortofrutta,26.32,MarcaC,IV Gamma,Medium,No,Medium,No
P00240,Prodotto 240,Vino,91.02,MarcaB,Spumante,Ultra,No,High,Yes
P00241,Prodotto 241,Ortofrutta,19.52,MarcaB,IV Gamma,Medium,No,Medium,No
P00242,Prodotto 242,Bevande,104.66,BioZ,Birra,Ultra,No,Medium,No
P00243,Prodotto 243,Bevande,86.46,MarcaA,Birra,Ultra,No,Low,No
P00244,Prodotto 244,Carni,25.14,PremiumX,Suino,Medium,Yes,Low,No
P00245,Prodotto 245,Dispensa,115.35,MarcaA,Pasta,Ultra,No,Low,No
P00246,Prodotto 246,Pesce,39.08,MarcaC,Fresco,Premium,No,Medium,No
P00247,Prodotto 247,Vino,71.71,PremiumX,Rosso,Ultra,No,Low,No
P00248,Prodotto 248,Dispensa,100.88,EconomyY,Olio,Ultra,Yes,Low,No
P00249,Prodotto 249,Bevande,111.92,MarcaA,Acqua,Ultra,No,Low,No
P00250,Prodotto 250,Bevande,85.39,EconomyY,Acqua,Ultra,No,High,No
P00251,Prodotto 251,Vino,114.45,EconomyY,Spumante,Ultra,Yes,Low,No
P00252,Prodotto 252,Dispensa,95.36,BioZ,Conserve,Ultra,Yes,Medium,No
P00253,Prodotto 253,Dispensa,18.03,MarcaC,Pasta,Medium,No,Medium,No
P00254,Prodotto 254,Latticini,83.7,EconomyY,Yogurt,Ultra,No,Low,No
P00255,Prodotto 255,Latticini,57.33,MarcaA,Latte,Premium,No,Medium,No
P00256,Prodotto 256,Bevande,9.77,EconomyY,Succhi,Low,Yes,Medium,No
P00257,Prodotto 257,Carni,64.71,EconomyY,Salumi,Ultra,Yes,Low,No
P00258,Prodotto 258,Latticini,109.41,PremiumX,Formaggi,Ultra,Yes,Low,No
P00259,Prodotto 259,Pesce,13.34,MarcaA,Surgelato,Medium,No,High,Yes
P00260,Prodotto 260,Carni,18.76,MarcaA,Bovino,Medium,No,Low,No
