TransactionId,TransactionDateTime,StoreId,ContactId,AnonymousShopperId,Amount,Date,PaymentMethod,BasketSize,IsPromo,Channel
T00000126,2025-08-10 08:00:00,ST017,,AN000043,2552.66,2025-08-10,Cash,8,No,InStore
T00000127,2025-12-23 11:00:00,ST004,,AN000490,615.31,2025-12-23,Card,3,Yes,InStore
T00000128,2025-02-15 00:00:00,ST017,,AN000533,1074.55,2025-02-15,Card,3,No,InStore
T00000129,2025-09-11 20:00:00,ST008,CT001203,,1250.15,2025-09-11,Card,5,Yes,InStore
T00000130,2025-07-29 10:00:00,ST008,,AN000844,1902.2,2025-07-29,Cash,7,Yes,InStore
T00000131,2025-08-17 21:00:00,ST018,CT000667,,1369.72,2025-08-17,Card,7,Yes,InStore
T00000132,2025-08-13 23:00:00,ST016,,AN000393,1901.89,2025-08-13,Card,8,No,InStore
T00000133,2025-05-12 02:00:00,ST009,CT001239,,1484.57,2025-05-12,Card,5,No,InStore
T00000134,2025-03-28 23:00:00,ST013,CT001123,,791.99,2025-03-28,Card,4,No,InStore
T00000135,2025-02-26 08:00:00,ST010,CT000948,,736.16,2025-02-26,Card,5,No,InStore
T00000136,2025-02-03 03:00:00,ST021,CT000130,,18.85,2025-02-03,Cash,1,No,InStore
T00000137,2025-01-18 17:00:00,ST019,CT000437,,1991.77,2025-01-18,Card,5,No,InStore
T00000138,2026-01-09 19:00:00,ST007,CT001307,,559.24,2026-01-09,Cash,2,Yes,InStore
T00000139,2025-10-20 14:00:00,ST002,CT000930,,447.81,2025-10-20,Invoice,2,No,InStore
T00000140,2025-12-13 22:00:00,ST004,CT000206,,869.74,2025-12-13,Card,5,Yes,InStore
T00000141,2025-03-31 12:00:00,ST014,CT001208,,615.76,2025-03-31,Card,5,Yes,InStore
T00000142,2025-01-23 21:00:00,ST006,,AN000636,1377.33,2025-01-23,Card,6,Yes,InStore
T00000143,2025-05-31 11:00:00,ST019,CT000718,,2296.7,2025-05-31,Card,8,Yes,Online
T00000144,2025-01-02 14:00:00,ST007,,AN000142,251.87,2025-01-02,Card,2,No,InStore
T00000145,2025-07-16 18:00:00,ST011,CT001166,,1861.29,2025-07-16,Card,8,No,InStore
T00000146,2026-01-25 09:00:00,ST002,CT000768,,1014.6,2026-01-25,Card,5,No,InStore
T00000147,2025-02-26 05:00:00,ST016,,AN000317,1666.45,2025-02-26,Card,7,Yes,InStore
T00000148,2025-09-24 04:00:00,ST019,CT001232,,1816.1,2025-09-24,Cash,6,No,InStore
T00000149,2025-08-09 08:00:00,ST021,CT000253,,1377.26,2025-08-09,Invoice,4,No,InStore
T00000150,2025-11-13 03:00:00,ST009,CT001053,,1162.07,2025-11-13,Card,6,No,InStore
T00000151,2025-05-24 12:00:00,ST004,CT000329,,934.72,2025-05-24,Cash,4,No,InStore
T00000152,2025-06-05 13:00:00,ST001,,AN000585,800.09,2025-06-05,Card,4,No,InStore
T00000153,2025-03-12 19:00:00,ST011,CT000595,,215.31,2025-03-12,Card,2,No,InStore
T00000154,2025-03-07 18:00:00,ST008,CT000330,,2061.27,2025-03-07,Card,7,Yes,InStore
T00000155,2025-12-27 07:00:00,ST013,,AN000893,684.94,2025-12-27,Card,5,Yes,InStore
T00000156,2025-03-10 01:00:00,ST008,CT000724,,527.6,2025-03-10,Cash,1,No,InStore
T00000157,2025-01-22 21:00:00,ST009,CT000026,,1410.56,2025-01-22,Cash,5,No,InStore
T00000158,2025-08-02 12:00:00,ST007,CT001205,,1158.8,2025-08-02,Card,8,No,InStore
T00000159,2025-12-20 20:00:00,ST019,CT001341,,1515.9,2025-12-20,Card,5,No,InStore
T00000160,2025-06-27 16:00:00,ST003,CT000731,,555.41,2025-06-27,Invoice,5,No,InStore
T00000161,2025-10-29 23:00:00,ST021,CT001237,,1421.32,2025-10-29,Card,4,No,Online
T00000162,2025-12-25 21:00:00,ST002,CT001079,,1082.79,2025-12-25,Cash,6,No,InStore
T00000163,2025-02-21 05:00:00,ST003,CT001206,,1703.91,2025-02-21,Invoice,6,No,Online
T00000164,2025-02-19 18:00:00,ST012,CT000391,,719.97,2025-02-19,Card,6,No,InStore
T00000165,2025-04-23 05:00:00,ST021,CT001336,,1230.99,2025-04-23,Invoice,5,No,Online
T00000166,2025-06-11 23:00:00,ST004,,AN000064,261.34,2025-06-11,Cash,1,No,InStore
T00000167,2025-09-15 07:00:00,ST021,,AN000394,502.15,2025-09-15,Card,2,No,InStore
T00000168,2025-03-27 23:00:00,ST018,,AN000335,671.83,2025-03-27,Card,6,Yes,InStore
T00000169,2025-09-29 05:00:00,ST020,CT000508,,1059.43,2025-09-29,Cash,6,No,InStore
T00000170,2025-08-28 22:00:00,ST019,CT000361,,1135.11,2025-08-28,Card,5,Yes,InStore
T00000171,2025-12-23 22:00:00,ST016,CT000780,,2918.58,2025-12-23,Cash,8,No,InStore
T00000172,2025-11-27 12:00:00,ST008,,AN000323,1218.73,2025-11-27,Cash,5,Yes,InStore
T00000173,2026-02-06 08:00:00,ST002,CT000349,,187.34,2026-02-06,Cash,1,No,InStore
T00000174,2025-11-15 13:00:00,ST017,CT000013,,547.29,2025-11-15,Cash,3,Yes,InStore
T00000175,2025-11-07 22:00:00,ST007,CT000725,,802.84,2025-11-07,Card,3,No,InStore
T00000176,2025-05-07 16:00:00,ST016,CT000742,,1757.13,2025-05-07,Card,8,No,InStore
T00000177,2025-03-09 19:00:00,ST022,CT001290,,591.57,2025-03-09,Invoice,2,No,InStore
T00000178,2026-02-02 22:00:00,ST017,,AN000884,2015.65,2026-02-02,Card,8,Yes,InStore
T00000179,2025-06-28 06:00:00,ST012,CT001192,,1220.2,2025-06-28,Card,7,Yes,InStore
T00000180,2025-03-24 15:00:00,ST001,CT000419,,833.35,2025-03-24,Cash,7,No,Online
T00000181,2025-01-19 04:00:00,ST010,,AN000612,304.43,2025-01-19,Card,4,No,InStore
T00000182,2025-03-09 18:00:00,ST018,CT000199,,1676.16,2025-03-09,Invoice,8,No,InStore
T00000183,2025-06-24 11:00:00,ST022,CT000607,,1648.68,2025-06-24,Invoice,8,No,InStore
T00000184,2025-07-24 12:00:00,ST009,,AN000351,930.72,2025-07-24,Cash,2,No,InStore
T00000185,2025-03-08 01:00:00,ST009,CT000720,,290.11,2025-03-08,Cash,1,No,InStore
T00000186,2025-08-06 08:00:00,ST013,CT001199,,403.55,2025-08-06,Invoice,2,No,InStore
T00000187,2025-09-17 12:00:00,ST020,,AN000577,575.78,2025-09-17,Cash,2,No,InStore
T00000188,2025-11-14 19:00:00,ST018,CT001321,,2075.29,2025-11-14,Card,7,No,InStore
T00000189,2025-10-10 03:00:00,ST006,CT000187,,838.38,2025-10-10,Card,5,No,Online
T00000190,2025-12-24 21:00:00,ST009,CT000319,,1162.13,2025-12-24,Invoice,3,No,InStore
T00000191,2025-12-21 09:00:00,ST011,CT001355,,829.05,2025-12-21,Card,3,Yes,InStore
T00000192,2025-07-28 00:00:00,ST016,CT000532,,1776.76,2025-07-28,Cash,4,Yes,InStore
T00000193,2025-05-07 13:00:00,ST008,CT000737,,1067.87,2025-05-07,Card,6,No,InStore
T00000194,2025-03-10 12:00:00,ST005,,AN000059,1412.46,2025-03-10,Card,4,Yes,Online
T00000195,2025-06-27 05:00:00,ST004,CT001313,,727.06,2025-06-27,Cash,5,No,InStore
T00000196,2025-01-05 07:00:00,ST019,CT001462,,958.65,2025-01-05,Cash,7,No,InStore
T00000197,2025-07-25 13:00:00,ST018,CT000972,,1073.54,2025-07-25,Card,6,No,InStore
T00000198,2025-10-24 13:00:00,ST001,CT000123,,1648.59,2025-10-24,Invoice,6,No,Online
T00000199,2025-07-09 06:00:00,ST008,,AN000021,1379.09,2025-07-09,Card,6,No,InStore
T00000200,2025-12-11 23:00:00,ST012,CT000236,,1624.25,2025-12-11,Card,4,Yes,InStore
T00000201,2025-02-14 04:00:00,ST005,CT000226,,557.08,2025-02-14,Invoice,3,No,InStore
T00000202,2025-07-09 04:00:00,ST012,,AN000225,402.92,2025-07-09,Card,4,No,InStore
T00000203,2025-09-25 17:00:00,ST008,CT001168,,436.16,2025-09-25,Invoice,1,Yes,InStore
T00000204,2026-02-07 12:00:00,ST014,CT000418,,441.87,2026-02-07,Card,1,Yes,InStore
T00000205,2025-07-15 20:00:00,ST012,,AN000131,1000.22,2025-07-15,Cash,3,Yes,InStore
T00000206,2025-09-09 08:00:00,ST006,CT000800,,690.78,2025-09-09,Cash,3,No,InStore
T00000207,2025-01-16 06:00:00,ST010,CT000492,,707.35,2025-01-16,Card,4,No,InStore
T00000208,2025-09-12 07:00:00,ST010,CT001411,,95.68,2025-09-12,Card,1,Yes,Online
T00000209,2025-04-26 22:00:00,ST001,,AN000335,695.04,2025-04-26,Cash,5,No,InStore
T00000210,2025-02-12 20:00:00,ST017,,AN000621,1658.13,2025-02-12,Cash,6,No,InStore
T00000211,2026-01-15 20:00:00,ST008,CT001470,,1006.96,2026-01-15,Card,7,No,InStore
T00000212,2026-01-21 14:00:00,ST008,CT000111,,1449.06,2026-01-21,Invoice,6,No,InStore
T00000213,2025-09-12 04:00:00,ST007,CT000928,,1295.11,2025-09-12,Card,6,No,InStore
T00000214,2025-07-08 22:00:00,ST014,,AN000237,386.08,2025-07-08,Cash,3,No,InStore
T00000215,2025-06-19 07:00:00,ST001,CT000900,,613.62,2025-06-19,Invoice,4,No,InStore
T00000216,2025-09-20 21:00:00,ST002,CT000345,,754.4,2025-09-20,Card,4,No,InStore
T00000217,2025-03-17 18:00:00,ST004,CT000412,,1769.29,2025-03-17,Invoice,7,No,InStore
T00000218,2025-01-23 21:00:00,ST015,,AN000114,692.18,2025-01-23,Cash,4,No,Online
T00000219,2025-06-22 07:00:00,ST019,,AN000435,829.83,2025-06-22,Invoice,3,No,InStore
T00000220,2025-10-28 13:00:00,ST014,CT000667,,697.64,2025-10-28,Card,4,No,InStore
T00000221,2026-01-13 19:00:00,ST011,CT000838,,541.98,2026-01-13,Card,1,No,Online
T00000222,2025-06-15 14:00:00,ST007,,AN000296,1007.24,2025-06-15,Card,5,No,InStore
T00000223,2025-12-03 20:00:00,ST001,CT000175,,2178.82,2025-12-03,Cash,6,No,Online
T00000224,2025-04-05 21:00:00,ST015,CT000119,,2648.01,2025-04-05,Invoice,8,No,InStore
T00000225,2025-08-18 15:00:00,ST019,CT001029,,2155.82,2025-08-18,Cash,6,No,InStore
T00000226,2025-08-07 03:00:00,ST015,,AN000557,1125.26,2025-08-07,Card,3,Yes,InStore
T00000227,2025-07-02 19:00:00,ST016,,AN000724,319.65,2025-07-02,Cash,1,Yes,InStore
T00000228,2025-02-05 22:00:00,ST011,,AN000030,468.93,2025-02-05,Cash,4,No,InStore
T00000229,2025-06-23 22:00:00,ST020,,AN000710,305.08,2025-06-23,Card,3,No,Online
T00000230,2025-07-28 01:00:00,ST019,CT001142,,614.07,2025-07-28,Card,1,No,InStore
T00000231,2025-07-11 17:00:00,ST005,,AN000737,449.13,2025-07-11,Card,1,No,InStore
T00000232,2025-06-26 23:00:00,ST004,CT000698,,27.86,2025-06-26,Cash,1,No,InStore
T00000233,2025-11-02 12:00:00,ST014,,AN000052,1473.22,2025-11-02,Card,8,No,InStore
T00000234,2025-06-28 05:00:00,ST022,,AN000263,1025.37,2025-06-28,Card,3,No,InStore
T00000235,2025-03-09 21:00:00,ST005,CT000052,,1495.27,2025-03-09,Card,6,No,InStore
T00000236,2025-05-30 21:00:00,ST002,,AN000219,14.66,2025-05-30,Card,1,No,Online
T00000237,2026-02-06 17:00:00,ST010,CT000095,,1737.43,2026-02-06,Card,6,No,InStore
T00000238,2025-05-29 09:00:00,ST014,CT000465,,1197.97,2025-05-29,Card,4,No,InStore
T00000239,2025-07-08 04:00:00,ST008,CT000608,,605.13,2025-07-08,Invoice,6,No,InStore
T00000240,2025-06-05 16:00:00,ST004,CT001294,,2267.95,2025-06-05,Card,8,No,InStore
T00000241,2025-04-21 20:00:00,ST007,CT000025,,1492.35,2025-04-21,Card,7,No,InStore
T00000242,2025-03-31 21:00:00,ST022,CT000413,,1068.67,2025-03-31,Invoice,4,Yes,InStore
T00000243,2025-06-28 10:00:00,ST001,,AN000020,494.53,2025-06-28,Card,2,Yes,Online
T00000244,2025-11-13 16:00:00,ST020,CT000325,,401.1,2025-11-13,Card,2,No,Click&Collect
T00000245,2025-08-26 16:00:00,ST001,CT001369,,875.34,2025-08-26,Card,8,Yes,InStore
T00000246,2025-08-09 07:00:00,ST015,,AN000509,594.22,2025-08-09,Cash,6,Yes,InStore
T00000247,2025-03-07 22:00:00,ST017,CT000190,,770.3,2025-03-07,Card,3,No,Online
T00000248,2025-04-12 02:00:00,ST012,,AN000661,1163.04,2025-04-12,Card,6,No,InStore
T00000249,2025-01-18 04:00:00,ST006,CT000735,,1156.03,2025-01-18,Card,6,No,InStore
T00000250,2025-02-26 05:00:00,ST017,CT000035,,791.25,2025-02-26,Card,5,No,InStore
T00000251,2026-01-08 17:00:00,ST019,,AN000701,404.53,2026-01-08,Cash,3,No,InStore
T00000252,2026-01-04 14:00:00,ST001,CT000152,,611.66,2026-01-04,Card,5,No,InStore
T00000253,2025-04-27 10:00:00,ST021,CT000958,,1062.67,2025-04-27,Card,8,Yes,InStore
T00000254,2025-07-23 15:00:00,ST012,CT000867,,226.33,2025-07-23,Card,1,Yes,InStore
T00000255,2025-06-11 22:00:00,ST006,CT001036,,1424.76,2025-06-11,Card,6,No,InStore
T00000256,2025-01-06 19:00:00,ST013,CT000102,,870.1,2025-01-06,Cash,3,Yes,Click&Collect
T00000257,2025-05-12 10:00:00,ST019,,AN000771,1529.17,2025-05-12,Card,8,No,Online
T00000258,2025-04-20 18:00:00,ST007,CT000967,,1159.46,2025-04-20,Invoice,6,No,InStore
T00000259,2025-08-20 19:00:00,ST002,CT001355,,807.27,2025-08-20,Card,5,No,InStore
T00000260,2025-06-15 20:00:00,ST005,CT000882,,1186.35,2025-06-15,Cash,5,No,InStore
T00000261,2025-03-28 19:00:00,ST002,CT001159,,194.9,2025-03-28,Cash,2,No,InStore
T00000262,2025-10-18 18:00:00,ST010,CT000186,,225.63,2025-10-18,Card,2,No,InStore
T00000263,2025-07-17 09:00:00,ST001,,AN000001,367.7,2025-07-17,Card,3,No,InStore
T00000264,2025-09-27 22:00:00,ST020,CT001435,,542.67,2025-09-27,Cash,2,No,Online
T00000265,2025-10-23 11:00:00,ST022,CT001292,,1318.94,2025-10-23,Card,8,No,InStore
T00000266,2026-02-04 08:00:00,ST010,CT000116,,1101.04,2026-02-04,Invoice,7,No,InStore
T00000267,2025-05-09 22:00:00,ST001,CT000052,,887.06,2025-05-09,Cash,4,No,InStore
T00000268,2025-12-07 13:00:00,ST021,CT001327,,701.28,2025-12-07,Card,2,No,InStore
T00000269,2026-02-08 06:00:00,ST006,CT000953,,671.48,2026-02-08,Card,4,No,InStore
